Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),CO2-C (g)
56.0,0.0,5,11.0,0.13,21,4,55.0,1.80435,1,56.0,0.0,7.4,25.02125419,0.0441696,0.5,45.1471,1.111111111,0.0,0.0,0.152866,0.0,87.8
56.0,2.0,5,11.0,0.13,2,3,55.0,1.84239,1,56.0,0.0,7.8,25.08996467,0.0883392,0.5,46.2255,1.111111111,0.0,0.0,0.136943,0.0,213.82
56.0,4.0,5,11.0,0.13,2,3,55.0,1.8587,1,56.0,0.0,7.8,25.00166783,0.132509,0.5,46.4706,1.111111111,0.0,0.0,0.121019,0.0,2547.46
56.0,6.0,5,11.0,0.13,2,3,55.0,1.95109,1,56.0,0.0,8.0,23.99361383,0.185512,0.5,46.8137,1.111111111,0.0,0.0,0.10828,0.0,416.95
56.0,8.0,5,11.0,0.13,2,3,55.0,2.11957,1,56.0,0.0,8.0,22.31768708,0.20318,0.5,47.3039,1.111111111,0.0,0.0,0.0987261,0.0,749.2
56.0,12.0,5,11.0,0.13,2,3,55.0,2.27717,1,56.0,0.0,8.1,21.13908931,0.238516,0.5,48.1373,1.111111111,0.0,0.0,0.0859873,0.0,577.06
56.0,18.0,5,11.0,0.13,2,3,55.0,2.42935,1,56.0,0.0,8.2,20.4000247,0.282686,0.5,49.5588,1.111111111,0.0,0.0,0.0700637,0.0,873.77
50.0,0.0,4,7.0,0.288,21,4,67.71,2.412,1,50.0,60.0,7.82,21.24,0.187612,0.0,51.23088,0.0,0.0,0.0,0.0257595,0.0,3.867763636
50.0,12.0,4,7.0,0.288,2,3,66.08,2.53,1,50.0,60.0,8.01,21.21,0.130564,0.0,53.6613,0.0,0.0,0.0,0.0356083,0.0,3.601718182
56.0,0.0,5,11.0,0.1,21,4,56.03,1.86,0,56.0,0.0,7.1,25.17,0.45977,0.5,46.82,0.0,0.0,0.0,0.0,2.03,297.126837
56.0,10.0,5,11.0,0.1,20,3,55.0,1.80701,0,56.0,0.0,7.6,25.17971677,0.373563,0.5,45.5,0.0,0.0,0.0,0.0,0.0,612.080829
56.0,10.0,5,11.0,0.1,8,3,55.0,1.77226,0,56.0,0.0,8.6,25.67343392,0.306513,0.5,45.5,0.0,0.0,0.0,0.0,0.0,762.455004
56.0,10.0,5,11.0,0.1,1,1,55.0,1.78861,0,56.0,0.0,8.7,25.43874853,0.335249,0.5,45.5,0.0,0.0,0.0,0.0,0.0,728.280774
50.0,0.0,5,9.0,0.1,21,4,60.0,0.0,2,0.0,0.0,6.53,31.0074,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,310.06926
50.0,2.0,5,9.0,0.1,3,3,60.0,0.0,2,0.0,0.0,6.85,30.0553,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,282.1082
50.0,4.0,5,9.0,0.1,3,3,60.0,0.0,2,0.0,0.0,6.46,30.3317,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,300.08323
50.0,6.0,5,9.0,0.1,3,3,60.0,0.0,2,0.0,0.0,6.52,30.5467,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,435.644885
50.0,8.0,5,9.0,0.1,3,3,60.0,0.0,2,0.0,0.0,6.5,31.0381,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,444.299551
50.0,10.0,5,9.0,0.1,3,3,60.0,0.0,2,0.0,0.0,6.55,30.7924,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,453.12054
50.0,0.0,5,9.0,0.1,21,4,55.0,2.084,0,50.0,0.0,7.74382,25.0,1.94737,0.0,52.1,0.3,0.0,0.0,0.0360493,0.0,346.8872727
50.0,10.0,5,9.0,0.1,2,3,0.0,0.0,0,50.0,0.0,8.21499,0.0,2.38947,0.0,0.0,0.3,0.0,0.0,0.00672348,0.0,256.1124545
50.0,20.0,5,9.0,0.1,2,3,0.0,0.0,0,50.0,0.0,8.13921,0.0,1.68421,0.0,0.0,0.3,0.0,0.0,0.040558,0.0,242.4962727
50.0,20.5,5,9.0,0.1,2,2,0.0,0.0,0,50.0,0.0,8.0173,0.0,1.86316,0.0,0.0,0.3,0.0,0.0,0.0360416,0.0,228.2318182
50.0,21.0,5,9.0,0.1,2,2,0.0,0.0,0,50.0,0.0,7.84926,0.0,1.67368,0.0,0.0,0.3,0.0,0.0,0.0270318,0.0,189.3286364
50.0,22.0,5,9.0,0.1,2,2,0.0,0.0,0,50.0,0.0,7.82949,0.0,2.77895,0.0,0.0,0.3,0.0,0.0,0.0157537,0.0,184.1416364
34.0,0.0,3,7.0,0.005,21,4,67.6,1.46,0,34.0,0.0,6.1,33.5,0.115183,2.2,42.91,0.033670034,11.0,0.0,0.0,0.311927,29.34545455
34.0,7.73359,3,7.0,0.005,11,1,67.3,1.22,0,34.0,0.0,7.65,33.52459016,0.230366,0.0,40.9,0.033670034,0.0,0.0,0.0,2.43119,27.6
34.0,7.128276,3,7.0,0.005,5,1,66.8,1.24,0,34.0,0.0,6.7,33.11290323,0.366492,0.0,41.06,0.033670034,0.0,0.0,0.0,2.54128,31.66363636
34.0,6.050428,3,7.0,0.005,11,1,66.0,1.32,0,34.0,0.0,6.43,31.53030303,0.26178,0.0,41.62,0.033670034,0.0,0.0,0.0,1.69725,32.42727273
42.0,0.0,5,9.0,0.1,21,4,56.23,1.78,0,42.0,0.0,7.43228,25.0965,0.432228,0.5,44.89,0.0,0.0,0.0,0.0,0.0,250.0184
42.0,2.0,5,9.0,0.1,9,3,0.0,0.0,0,42.0,0.0,7.50144,25.5598,0.400794,0.5,0.0,0.0,0.0,0.0,0.0,0.0,492.00003
42.0,4.0,5,9.0,0.1,9,3,0.0,0.0,0,42.0,0.0,7.5879,25.8301,0.377219,0.5,0.0,0.0,0.0,0.0,0.0,0.0,593.83491
42.0,6.0,5,9.0,0.1,9,3,0.0,0.0,0,42.0,0.0,7.64553,25.9073,0.345785,0.5,0.0,0.0,0.0,0.0,0.0,0.0,697.981621
42.0,10.0,5,9.0,0.1,9,3,0.0,0.0,0,42.0,0.0,8.06628,25.9846,0.306492,0.5,0.0,0.0,0.0,0.0,0.0,0.0,786.054716
100.0,0.0,6,1.0,0.00025,21,4,50.0,1.52,0,100.0,0.0,8.3,23.45394737,0.0,0.224,35.65,17.85714286,0.056,0.028,0.0,0.0,6.7
100.0,9.321847827567307,6,1.0,0.00025,17,1,50.0,1.04,0,100.0,0.0,7.2,22.89423077,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,6.8
100.0,9.321847827567307,6,1.0,0.00025,20,3,50.0,1.02,0,100.0,0.0,8.3,23.34313725,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,6.6
100.0,9.321847827567307,6,1.0,0.00025,17,2,50.0,1.03,0,100.0,0.0,7.5,23.11650485,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,6.8
100.0,0.0,2,1.0,0.00025,21,4,50.0,1.0,0,100.0,0.0,8.2,37.16,0.0,0.448,37.16,8.928571429,0.112,0.056,0.0,0.0,13.3
100.0,25.0,2,1.0,0.00025,17,1,50.0,0.82,0,100.0,0.0,7.0,36.25609756,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,12.2
100.0,25.0,2,1.0,0.00025,20,3,50.0,0.8,0,100.0,0.0,8.0,37.1625,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,11.4
100.0,25.0,2,1.0,0.00025,17,2,50.0,0.81,0,100.0,0.0,7.3,36.7037037,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,12.2
100.0,0.0,3,1.0,0.00025,21,4,50.0,0.85,0,100.0,0.0,7.7,22.10379619096271,0.0,0.448,40.41,8.928571429,0.112,0.056,0.0,0.0,13.9
100.0,25.0,3,1.0,0.00025,17,1,50.0,0.7,0,100.0,0.0,6.7,46.18571429,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,10.3
100.0,25.0,3,1.0,0.00025,20,3,50.0,0.68,0,100.0,0.0,7.6,22.10379619096271,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,12.3
100.0,25.0,3,1.0,0.00025,17,2,50.0,0.69,0,100.0,0.0,6.9,46.85507246,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,12.1
