Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),TC loss (%)
50.0,21.0,6,9.0,0.1,0,1,0.0,0.0,0,50.0,0.0,7.84926,0.0,1.67368,0.0,0.0,0.3,0.0,0.0,0.0270318,0.0,9.51515
50.0,22.0,6,9.0,0.1,0,1,0.0,0.0,0,50.0,0.0,7.82949,0.0,2.77895,0.0,0.0,0.3,0.0,0.0,0.0157537,0.0,9.18182
91.0,0.0,4,13.0,0.25,12,3,60.0,1.99,2,0.0,0.0,7.99441,20.0,0.199292,0.0,39.8,0.0,0.0,0.0,0.236807,1.66809,63.5179
91.0,12.5,4,13.0,0.25,0,2,60.0,2.02,2,0.0,0.0,7.90629,20.0,0.160717,0.0,40.4,0.0,0.0,0.0,0.23735,1.03829,57.0893
91.0,12.5,4,13.0,0.25,4,0,60.0,1.93,2,0.0,0.0,7.55385,20.0,0.270006,0.0,38.6,0.0,0.0,0.0,0.236715,2.45106,59.3214
91.0,25.0,4,13.0,0.25,0,1,60.0,1.96,2,0.0,0.0,7.45315,20.0,0.289292,0.0,39.2,0.0,0.0,0.0,0.236725,1.92341,46.2857
91.0,0.0,4,13.0,0.25,12,3,60.0,2.0716216893271606,2,0.0,0.0,7.61678,25.0,0.132858,0.0,38.95191115012552,0.0,0.0,0.0,0.607654,1.33901,63.4286
91.0,12.5,4,13.0,0.25,0,2,60.0,1.78,2,0.0,0.0,7.67972,25.0,0.0814295,0.0,44.5,0.0,0.0,0.0,0.609379,0.896463,54.8571
91.0,12.5,4,13.0,0.25,4,0,60.0,1.82,2,0.0,0.0,7.17622,25.0,0.190718,0.0,45.5,0.0,0.0,0.0,0.608186,2.34327,57.9821
91.0,25.0,4,13.0,0.25,0,1,60.0,1.76,2,0.0,0.0,7.26434,25.0,0.184286,0.0,44.0,0.0,0.0,0.0,0.608131,1.79858,46.8214
