Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),N2O-N loss (%)
56.0,6.0,8,11.0,0.13,2,3,55.0,1.95109,1,56.0,0.0,8.0,23.99361383,0.185512,0.5,46.8137,1.111111111,0.0,0.0,0.10828,0.0,0.41
56.0,8.0,8,11.0,0.13,2,3,55.0,2.11957,1,56.0,0.0,8.0,22.31768708,0.20318,0.5,47.3039,1.111111111,0.0,0.0,0.0987261,0.0,0.09
56.0,12.0,8,11.0,0.13,2,3,55.0,2.27717,1,56.0,0.0,8.1,21.13908931,0.238516,0.5,48.1373,1.111111111,0.0,0.0,0.0859873,0.0,0.02
56.0,18.0,8,11.0,0.13,2,3,55.0,2.42935,1,56.0,0.0,8.2,20.4000247,0.282686,0.5,49.5588,1.111111111,0.0,0.0,0.0700637,0.0,0.05
69.0,0.0,1,37.0,0.08,21,4,80.7,0.82,2,0.0,0.0,0.0,20.37804878,0.0,0.0,16.71,0.0,0.0,0.0,0.0,0.0,12.65063291
69.0,3.0,1,37.0,0.08,2,3,80.7,0.9,2,0.0,0.0,0.0,22.76666667,0.0,0.0,20.49,0.0,0.0,0.0,0.0,0.0,9.103448276
69.0,4.0,1,37.0,0.08,20,1,80.7,0.95,2,0.0,0.0,0.0,19.47368421,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,7.414262295
69.0,3.0,1,37.0,0.08,20,2,80.7,0.83,2,0.0,0.0,0.0,22.13253012,0.0,0.0,18.37,0.0,0.0,0.0,0.0,0.0,10.1722
35.0,0.0,0,4.0,0.06,21,4,69.2,2.04,0,35.0,0.0,8.23053,18.4,4.04848,0.0,37.48,0.3,0.0,0.0,0.270275,0.0,1.5
35.0,15.0,0,4.0,0.06,9,1,69.2,2.04,0,35.0,0.0,8.02421,18.4,1.22424,0.0,37.48,0.3,0.0,0.0,0.186606,0.0,1.4
35.0,15.0,0,4.0,0.06,12,1,69.2,2.04,0,35.0,0.0,7.96947,18.4,2.03636,0.0,37.48,0.3,0.0,0.0,0.242752,0.0,1.2
35.0,15.0,0,4.0,0.06,3,1,69.2,2.04,0,35.0,0.0,8.16316,18.4,1.73333,0.0,37.48,0.3,0.0,0.0,0.203119,0.0,1.3
35.0,15.0,0,4.0,0.06,9,1,69.2,2.04,0,35.0,0.0,6.85368,18.4,2.98182,0.0,37.48,0.3,0.0,0.0,0.211927,0.0,1.0
50.0,0.0,6,7.0,0.288,21,4,67.71,2.412,1,50.0,60.0,7.82,21.24,0.187612,0.0,51.23088,0.0,0.0,0.0,0.0257595,0.0,0.6
50.0,12.0,6,7.0,0.288,2,3,66.08,2.53,1,50.0,60.0,8.01,21.21,0.130564,0.0,53.6613,0.0,0.0,0.0,0.0356083,0.0,0.47
30.0,0.0,8,6.0,0.12,21,4,66.11478261,1.94767,0,30.0,0.0,7.25571,17.57894737,0.344459,0.575,33.4,2.566208171,69.0,23.3808,0.0630603,1.28861,2.6
30.0,5.0,8,6.0,0.12,0,0,0.0,1.94767,0,30.0,0.0,6.60761,0.0,0.357216,0.584742,0.0,2.566208171,70.16904,0.0,0.0438949,1.49753,2.08
30.0,10.0,8,6.0,0.12,0,0,0.0,1.94767,0,30.0,0.0,6.57182,0.0,0.39433,0.594484,0.0,2.566208171,71.33808,0.0,0.0599691,1.53514,1.976
30.0,20.0,8,6.0,0.12,0,0,0.0,1.94767,0,30.0,0.0,6.38097,0.0,0.327062,0.613968,0.0,2.566208171,73.67616,0.0,0.0550232,1.45157,1.976
30.0,1.0,8,6.0,0.12,5,1,0.0,1.94767,0,30.0,0.0,7.07281,0.0,0.385052,0.5769484,0.0,2.566208171,69.233808,0.0,0.051932,1.50589,2.132
28.0,0.0,9,4.0,0.06,21,4,62.06,1.95,0,28.0,0.0,7.79826,17.91,0.0,0.740203831,34.9245,0.36,44.41222984,16.85,0.0,2.1116,0.0025
28.0,10.0,9,4.0,0.06,19,1,58.69,1.96,0,28.0,0.0,7.89913,18.23,0.0,0.780682643,35.7308,0.36,46.84095861,19.35,0.0,2.162,0.0149
26.0,0.0,4,7.0,1.2,21,4,65.0,1.69,2,0.0,0.0,7.56,22.46153846,1.1056,0.375,37.96,0.0,450.0,157.5,0.0734144,5.22,1.37
26.0,15.67944251,4,7.0,1.2,2,3,65.0,1.51,2,0.0,0.0,8.03,24.96688742,0.853448,0.39375,37.7,0.0,472.5,165.375,0.0488499,5.79,0.71
26.0,31.35888502,4,7.0,1.2,2,3,65.0,1.41,2,0.0,0.0,8.17,26.4822695,0.943966,0.4125,37.34,0.0,495.0,173.25,0.0406628,5.81,0.35
26.0,9.321847827567307,4,7.0,1.2,2,3,65.0,1.35,2,0.0,0.0,8.33,29.88888889,0.931034,0.43125,40.35,0.0,517.5,181.125,0.0365692,5.83,0.38
35.0,0.0,0,2.0,0.06,21,4,67.6,2.22446,1,35.0,30.0,7.779,17.43119678,1.0453,0.0,38.775,0.38,0.0,0.0,0.0,1.94495,0.57
35.0,0.408,0,2.0,0.06,15,1,0.0,2.06768,1,35.0,30.0,6.76537,14.83745067,2.19512,0.0,30.6791,0.38,0.0,0.0,0.0,3.76758,0.79
35.0,0.408,0,2.0,0.06,4,1,0.0,2.16937,1,35.0,30.0,8.01878,16.20428972,1.32753,0.0,35.1531,0.38,0.0,0.0,0.0,3.31498,0.41
35.0,0.408,0,2.0,0.06,15,1,0.0,2.27531,1,35.0,30.0,7.24492,13.97506274,2.63415,0.0,31.7976,0.38,0.0,0.0,0.0,3.10703,0.68
28.0,0.0,0,5.0,0.06,21,4,57.5409262,2.13,0,28.0,0.0,7.08396,19.25,3.00554,0.532666667,38.5,0.48,31.96,13.56992,0.0,0.0,0.34
28.0,2.449875,0,5.0,0.06,9,1,0.0,2.14833,0,28.0,0.0,6.59564,0.0,3.03044,0.538207435,0.0,0.48,32.29244608,0.0,0.0,0.0,0.38
28.0,2.45195,0,5.0,0.06,10,1,0.0,2.15,0,28.0,0.0,6.76549,0.0,3.11347,0.538212128,0.0,0.48,32.29272765,0.0,0.0,0.0,0.47
28.0,4.3543475,0,5.0,0.06,11,1,0.0,2.16833,0,28.0,0.0,8.34723,0.0,1.2869,0.542514691,0.0,0.48,32.55088147,0.0,0.0,0.0,0.39
34.0,0.0,0,6.0,0.06,21,4,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.583333333,0.0,0.272108844,35.0,12.25,0.0,1.13,0.88
34.0,10.0,0,6.0,0.06,19,1,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.60375,0.0,0.262907095,36.225,12.67875,0.0,1.48,0.6
34.0,10.28571429,0,6.0,0.06,19,1,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.604333333,0.0,0.262653324,36.26,12.691,0.0,1.27,0.25
34.0,14.57142857,0,6.0,0.06,19,1,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.613083333,0.0,0.258904704,36.785,12.87475,0.0,1.52,0.13
35.0,0.0,0,6.0,0.06,21,4,69.2,2.03653,0,0.0,0.0,8.2,18.43351191,4.12348,0.0,37.5404,0.25,0.0,0.0,0.271911,0.0,1.5
35.0,0.0,0,6.0,0.06,9,1,0.0,2.03653,0,0.0,0.0,8.0,18.43351191,1.1653,0.0,37.5404,0.25,0.0,0.0,0.190637,0.0,1.4
35.0,4.0,0,6.0,0.06,19,3,0.0,2.03653,0,0.0,0.0,7.25,18.43351191,3.76491,0.0,37.5404,0.25,0.0,0.0,0.194223,0.0,1.4
35.0,0.0,0,6.0,0.06,9,1,0.0,2.03653,0,0.0,0.0,6.75,18.43351191,3.94421,0.0,37.5404,0.25,0.0,0.0,0.259363,0.0,2.0
50.0,0.0,8,9.0,0.1,21,4,60.0,0.0,2,0.0,0.0,6.53,31.0074,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.05
50.0,2.0,8,9.0,0.1,6,3,60.0,0.0,2,0.0,0.0,6.85,30.0553,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.01
50.0,4.0,8,9.0,0.1,6,3,60.0,0.0,2,0.0,0.0,6.46,30.3317,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.53
50.0,6.0,8,9.0,0.1,6,3,60.0,0.0,2,0.0,0.0,6.52,30.5467,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.42
50.0,8.0,8,9.0,0.1,6,3,60.0,0.0,2,0.0,0.0,6.5,31.0381,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.24
50.0,10.0,8,9.0,0.1,6,3,60.0,0.0,2,0.0,0.0,6.55,30.7924,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75
50.0,0.0,8,9.0,0.1,21,4,55.0,2.084,0,50.0,0.0,7.74382,25.0,1.94737,0.0,52.1,0.3,0.0,0.0,0.0360493,0.0,0.78311
50.0,10.0,8,9.0,0.1,2,3,0.0,0.0,0,50.0,0.0,8.21499,0.0,2.38947,0.0,0.0,0.3,0.0,0.0,0.00672348,0.0,0.29833
50.0,20.0,8,9.0,0.1,2,3,0.0,0.0,0,50.0,0.0,8.13921,0.0,1.68421,0.0,0.0,0.3,0.0,0.0,0.040558,0.0,0.197106
50.0,20.5,8,9.0,0.1,2,2,0.0,0.0,0,50.0,0.0,8.0173,0.0,1.86316,0.0,0.0,0.3,0.0,0.0,0.0360416,0.0,0.18645
50.0,21.0,8,9.0,0.1,2,2,0.0,0.0,0,50.0,0.0,7.84926,0.0,1.67368,0.0,0.0,0.3,0.0,0.0,0.0270318,0.0,0.170472
50.0,22.0,8,9.0,0.1,2,2,0.0,0.0,0,50.0,0.0,7.82949,0.0,2.77895,0.0,0.0,0.3,0.0,0.0,0.0157537,0.0,0.170472
