Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),TN loss (%)
15.0,7.30994152,13,0.0,0.17,24,3,71.5,1.55,0,15.0,0.0,8.6,0.0,0.0,0.282352941,0.0,0.292397661,48.0,13.68,0.0,0.0,15.48709677
15.0,9.976720984,13,0.0,0.17,24,3,69.0,1.36,0,15.0,0.0,8.7,30.0,0.0,0.285294118,40.8,0.266045893,48.5,15.035,0.0,0.0,12.09124088
15.0,0.0,13,0.0,0.17,44,4,70.0,1.72,0,15.0,0.0,8.4,0.0,0.0,0.297352941,0.0,0.263765249,50.55,15.165,0.0,0.0,15.91627907
15.0,13.0971896,13,0.0,0.17,28,3,71.8,1.66,0,15.0,0.0,8.2,0.0,0.0,0.296235294,0.0,0.281659991,50.36,14.20152,0.0,0.0,16.07951807
15.0,24.36647173,13,0.0,0.17,28,3,69.6,1.58,0,15.0,0.0,8.3,0.0,0.0,0.295411765,0.0,0.262005072,50.22,15.26688,0.0,0.0,17.38227848
15.0,37.59079389,13,0.0,0.17,28,3,70.3,1.47,0,15.0,0.0,8.3,0.0,0.0,0.294,0.0,0.269468057,49.98,14.84406,0.0,0.0,21.42857143
15.0,0.0,13,0.0,0.17,44,4,70.6,1.59,0,6.0,0.0,8.6,0.0,0.0,0.276470588,0.0,0.289477493,47.0,13.818,0.0,0.0,20.97044025
15.0,3.104791777,13,0.0,0.17,27,1,70.8,1.57,0,6.0,0.0,8.6,0.0,0.0,0.279,0.0,0.28881784,47.43,13.84956,0.0,0.0,15.50063694
15.0,3.436883051,13,0.0,0.17,27,1,70.1,1.55,0,6.0,0.0,8.6,0.0,0.0,0.279341176,0.0,0.281711726,47.488,14.198912,0.0,0.0,16.72387097
15.0,3.685446,13,0.0,0.17,27,1,69.8,1.55,0,6.0,0.0,8.9,0.0,0.0,0.279582353,0.0,0.278672665,47.529,14.353758,0.0,0.0,15.46387097
15.0,0.0,13,0.0,0.17,44,4,71.5,1.62,0,15.0,0.0,9.1,0.0,0.0,0.297352941,0.0,0.27764763,50.55,14.40675,0.0,0.0,20.20987654
15.0,3.668852355,13,0.0,0.17,27,1,72.3,1.35,0,15.0,0.0,9.0,0.0,0.0,0.300405882,0.0,0.282763187,51.069,14.146113,0.0,0.0,17.13333333
15.0,7.017404988,13,0.0,0.17,27,1,71.3,1.31,0,15.0,0.0,8.7,0.0,0.0,0.303464706,0.0,0.270159961,51.589,14.806043,0.0,0.0,14.74045802
15.0,10.35226864,13,0.0,0.17,27,1,71.1,1.25,0,15.0,0.0,8.7,0.0,0.0,0.306523529,0.0,0.265613051,52.109,15.059501,0.0,0.0,16.0
70.0,0.0,1,10.0,1.2,44,4,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.1
70.0,3.3,1,10.0,1.2,37,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4
70.0,6.6,1,10.0,1.2,37,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3
70.0,9.9,1,10.0,1.2,37,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1
70.0,13.2,1,10.0,1.2,37,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7
