Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),NH3-N (g)
56.0,28.0,8,0.0,0.00025,36,3,45.0,1.78,0,56.0,0.0,0.0,0.0,5.7,0.372363636,0.0,21.484375,0.093090909,0.0512,0.0,0.0,1.560094118
56.0,38.0,8,0.0,0.00025,36,3,45.0,1.67,0,56.0,0.0,0.0,0.0,9.2,0.401454545,0.0,19.92753623,0.100363636,0.0552,0.0,0.0,1.272847059
56.0,9.0,8,0.0,0.00025,5,1,45.0,3.34,0,56.0,0.0,0.0,0.0,9.7,0.317090909,0.0,25.2293578,0.079272727,0.0436,0.0,0.0,1.256705882
56.0,20.0,8,0.0,0.00025,5,1,45.0,2.0716216893271606,0,56.0,0.0,0.0,0.0,4.1,0.349090909,0.0,22.91666667,0.087272727,0.048,0.0,0.0,0.158117647
56.0,20.0,8,0.0,0.00025,1,1,45.0,3.84,0,56.0,0.0,0.0,0.0,10.1,0.349090909,0.0,22.91666667,0.087272727,0.048,0.0,0.0,1.225411765
49.0,0.0,8,0.0,0.00025,37,4,45.0,2.68,0,49.0,0.0,0.0,0.0,0.6,0.218181818,0.0,4.651334540119658,0.054545455,0.03,0.0,0.0,0.938823529
49.0,28.0,8,0.0,0.00025,36,3,45.0,1.58,0,49.0,0.0,0.0,0.0,2.4,0.279272727,0.0,28.64583333,0.069818182,0.0384,0.0,0.0,1.296564706
49.0,38.0,8,0.0,0.00025,36,3,45.0,1.24,0,49.0,0.0,0.0,0.0,3.9,0.301090909,0.0,26.57004831,0.075272727,0.0414,0.0,0.0,1.1592
49.0,28.0,8,0.0,0.00025,7,3,45.0,1.55,0,49.0,0.0,0.0,0.0,1.1,0.279272727,0.0,28.64583333,0.069818182,0.0384,0.0,0.0,1.517929412
49.0,38.0,8,0.0,0.00025,7,3,45.0,1.14,0,49.0,0.0,0.0,0.0,1.7,0.301090909,0.0,26.57004831,0.075272727,0.0414,0.0,0.0,1.466047059
49.0,20.0,8,0.0,0.00025,8,3,45.0,2.92,0,49.0,0.0,0.0,0.0,3.0,0.261818182,0.0,4.651334540119658,0.065454545,0.036,0.0,0.0,1.215529412
49.0,33.0,8,0.0,0.00025,8,3,45.0,3.1,0,49.0,0.0,0.0,0.0,5.2,0.290181818,0.0,27.56892231,0.072545455,0.0399,0.0,0.0,0.657176471
49.0,20.0,8,0.0,0.00025,21,1,45.0,2.21,0,49.0,0.0,0.0,0.0,0.8,0.261818182,0.0,4.651334540119658,0.065454545,0.036,0.0,0.0,1.215529412
49.0,0.0,8,0.0,0.00025,37,4,45.0,2.77,0,49.0,0.0,0.0,0.0,1.6,0.218181818,0.0,4.651334540119658,0.054545455,0.03,0.0,0.0,0.790588235
49.0,28.0,8,0.0,0.00025,7,3,45.0,1.48,0,49.0,0.0,0.0,0.0,1.4,0.279272727,0.0,28.64583333,0.069818182,0.0384,0.0,0.0,1.106823529
49.0,20.0,8,0.0,0.00025,5,1,45.0,4.68,0,49.0,0.0,0.0,0.0,3.1,0.261818182,0.0,4.651334540119658,0.065454545,0.036,0.0,0.0,0.059294118
49.0,20.0,8,0.0,0.00025,6,1,45.0,2.31,0,49.0,0.0,0.0,0.0,3.0,0.261818182,0.0,4.651334540119658,0.065454545,0.036,0.0,0.0,0.978352941
49.0,20.0,8,0.0,0.00025,19,1,45.0,2.0716216893271606,0,49.0,0.0,0.0,0.0,4.6,0.261818182,0.0,4.651334540119658,0.065454545,0.036,0.0,0.0,0.266823529
49.0,20.0,8,0.0,0.00025,21,1,45.0,3.25,0,49.0,0.0,0.0,0.0,1.4,0.261818182,0.0,4.651334540119658,0.065454545,0.036,0.0,0.0,0.681882353
15.0,0.0,6,0.0,0.17,37,4,70.5,1.59,0,15.0,0.0,8.8,26.0,0.0,0.276470588,41.34,0.288496213,47.0,13.865,0.0,0.0,43.67475
15.0,3.629764065,6,0.0,0.17,23,3,71.0,1.44,0,15.0,0.0,8.8,0.0,0.0,0.279411765,0.0,0.290381125,47.5,13.775,0.0,0.0,26.86125
15.0,7.30994152,6,0.0,0.17,23,3,71.5,1.55,0,15.0,0.0,8.6,0.0,0.0,0.282352941,0.0,0.292397661,48.0,13.68,0.0,0.0,24.624
15.0,9.976720984,6,0.0,0.17,23,3,69.0,1.36,0,15.0,0.0,8.7,30.0,0.0,0.285294118,40.8,0.266045893,48.5,15.035,0.0,0.0,18.79375
