Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TN loss (%)
10,7.14286,0,1,8,50.0,50.0,10.0,5.0,4,0.18,6.25,60.0,13.82
10,7.14286,0,1,8,50.0,50.0,10.0,7.5,4,0.18,6.25,60.0,10.57
10,7.14286,0,1,8,50.0,50.0,10.0,10.0,4,0.18,6.25,60.0,9.8
10,7.0,0,1,8,35.0,35.0,10.0,2.5,4,0.18,6.25,60.0,33.01
10,7.0,0,1,8,35.0,35.0,10.0,9.23077,4,0.18,6.25,60.0,28.94
10,7.0,0,1,8,35.0,35.0,10.0,16.92308,4,0.18,6.25,60.0,21.28
10,7.0,0,1,8,35.0,35.0,10.0,24.61538,4,0.18,6.25,60.0,17.39
10,1.30645,1,0,0,81.0,0.0,0.0,0.0,7,16.0,0.0,65.0,34.15
10,1.22727,1,0,0,81.0,0.0,0.0,8.8,7,16.0,0.0,65.0,29.07
0,5.55556,1,0,0,50.0,0.0,0.0,0.0,0,0.06,0.0,60.6,15.0
0,5.55556,1,0,0,50.0,0.0,0.0,25.49,0,0.06,0.0,60.1,10.8
10,7.0,0,1,0,28.0,28.0,0.0,0.0,12,0.06,0.36,62.06,20.29
10,7.0,0,1,0,28.0,28.0,0.0,10.0,12,0.06,0.36,58.69,13.03
8,5.09091,0,1,0,56.0,56.0,0.0,10.0,11,0.1,0.76225,55.0,28.8
8,5.09091,0,1,0,56.0,56.0,0.0,10.0,11,0.1,0.76225,55.0,28.3
8,5.09091,0,1,0,56.0,56.0,0.0,10.0,11,0.1,0.76225,55.0,28.42
3,7.5,0,1,4,30.0,30.0,40.0,0.0,11,0.06,0.54517,53.59,31.94
3,7.5,0,1,4,30.0,30.0,40.0,0.0,11,0.06,0.52357,59.14902,24.55
3,7.5,0,1,4,30.0,30.0,40.0,2.54,11,0.06,0.5724,58.6187,22.86
3,7.5,0,1,4,30.0,30.0,40.0,2.54,11,0.06,0.5724,58.6187,32.13
10,17.5,0,1,5,35.0,35.0,30.0,0.0,11,0.06,0.38,67.6,32.01
10,17.5,0,1,5,35.0,35.0,30.0,0.408,11,0.06,0.38,58.01,20.32
10,17.5,0,1,5,35.0,35.0,30.0,0.408,11,0.06,0.38,58.01,33.29
10,17.5,0,1,5,35.0,35.0,30.0,0.408,11,0.06,0.38,58.01,19.58
10,5.6,0,1,0,28.0,28.0,0.0,0.0,11,0.06,0.48,57.54093,31.5
10,5.6,0,1,0,28.0,28.0,0.0,2.44988,11,0.06,0.48,57.83952,15.82
10,5.6,0,1,0,28.0,28.0,0.0,2.45195,11,0.06,0.48,57.83952,27.47
10,5.6,0,1,0,28.0,28.0,0.0,4.35435,11,0.06,0.48,58.39852,32.42
7,0.0,0,1,9,21.0,21.0,10.0,0.0,0,0.1,0.2,60.29085,23.4
7,0.0,0,1,9,21.0,21.0,10.0,0.25,0,0.1,0.2,60.42573,13.05
7,0.0,0,1,9,21.0,21.0,10.0,5.25,0,0.1,0.2,58.844,6.82
7,0.0,0,1,9,21.0,21.0,10.0,5.0,0,0.1,0.2,58.844,16.78
7,21.0,0,1,0,42.0,42.0,0.0,0.0,11,0.165,0.0702,53.8,48.7
7,21.0,0,1,0,42.0,42.0,0.0,10.8,11,0.165,0.06533,49.3,41.9
7,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,38.3
8,5.66667,0,1,0,34.0,34.0,0.0,0.0,11,0.06,0.27211,65.0,37.08
8,5.66667,0,1,0,34.0,34.0,0.0,10.0,11,0.06,0.26291,65.0,28.22
8,5.66667,0,1,0,34.0,34.0,0.0,10.28571,11,0.06,0.26265,65.0,26.16
8,5.66667,0,1,0,34.0,34.0,0.0,14.57143,11,0.06,0.2589,65.0,24.0
10,5.83333,0,1,0,35.0,35.0,0.0,0.0,11,0.06,0.25,69.2,37.5
10,5.83333,0,1,0,35.0,35.0,0.0,5.13571,11,0.06,0.25,68.97,18.8
10,5.83333,0,1,0,35.0,35.0,0.0,4.0,11,0.06,0.25,68.166,24.8
10,5.83333,0,1,0,35.0,35.0,0.0,5.13571,11,0.06,0.25,68.97,15.5
8,5.07702,0,1,11,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,33.4
8,5.07702,0,1,11,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,18.5
8,5.07702,0,1,11,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,13.8
7,5.55556,0,1,0,50.0,30.6,2.0,0.0,11,0.1,2.037,60.0,41.19
7,5.55556,0,1,0,50.0,45.6,5.0,2.0,11,0.1,3.287,60.0,38.64
