Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
8,17.5,0,1,5,35.0,35.0,30.0,0.408,5,0.06,0.38,58.01,0.79
8,17.5,0,1,5,35.0,35.0,30.0,0.408,5,0.06,0.38,58.01,0.41
8,17.5,0,1,5,35.0,35.0,30.0,0.408,5,0.06,0.38,58.01,0.68
8,5.6,0,1,0,28.0,28.0,0.0,0.0,5,0.06,0.48,57.54093,0.34
8,5.6,0,1,0,28.0,28.0,0.0,2.44988,5,0.06,0.48,57.83952,0.38
8,5.6,0,1,0,28.0,28.0,0.0,2.45195,5,0.06,0.48,57.83952,0.47
8,5.6,0,1,0,28.0,28.0,0.0,4.35435,5,0.06,0.48,58.39852,0.39
7,5.66667,0,1,0,34.0,34.0,0.0,0.0,5,0.06,0.27211,65.0,0.88
7,5.66667,0,1,0,34.0,34.0,0.0,10.0,5,0.06,0.26291,65.0,0.6
7,5.66667,0,1,0,34.0,34.0,0.0,10.28571,5,0.06,0.26265,65.0,0.25
7,5.66667,0,1,0,34.0,34.0,0.0,14.57143,5,0.06,0.2589,65.0,0.13
8,5.83333,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.25,69.2,1.5
8,5.83333,0,1,0,35.0,35.0,0.0,5.13571,5,0.06,0.25,68.97,1.4
8,5.83333,0,1,0,35.0,35.0,0.0,4.0,5,0.06,0.25,68.166,1.4
8,5.83333,0,1,0,35.0,35.0,0.0,5.13571,5,0.06,0.25,68.97,2.0
6,5.55556,0,1,0,50.0,30.6,2.0,0.0,5,0.1,2.037,60.0,2.05
6,5.55556,0,1,0,50.0,45.6,5.0,2.0,5,0.1,3.287,60.0,2.01
6,5.55556,0,1,0,50.0,49.0,7.05,4.0,5,0.1,4.50975,60.0,1.53
6,5.55556,0,1,0,50.0,39.2,7.05,6.0,5,0.1,4.37775,60.0,1.42
6,5.55556,0,1,0,50.0,33.4,3.0,8.0,5,0.1,1.93775,60.0,1.24
6,5.55556,0,1,0,50.0,33.4,3.0,10.0,5,0.1,1.93775,60.0,0.75
8,5.55556,0,1,0,50.0,50.0,0.0,0.0,5,0.1,0.3,55.0,0.78311
8,5.55556,0,1,0,50.0,50.0,0.0,10.0,5,0.1,0.3,59.866,0.29833
8,5.55556,0,1,0,50.0,50.0,0.0,20.0,5,0.1,0.3,60.907,0.19711
8,5.55556,0,1,0,50.0,50.0,0.0,20.5,5,0.1,0.3,60.907,0.18645
8,5.55556,0,1,0,50.0,50.0,0.0,21.0,5,0.1,0.3,60.907,0.17047
8,5.55556,0,1,0,50.0,50.0,0.0,22.0,5,0.1,0.3,60.907,0.17047
8,0.0,0,0,0,84.0,0.0,0.0,0.0,5,0.12,0.0,81.0,0.55
8,0.0,0,0,0,84.0,0.0,0.0,0.0,5,0.12,0.0,75.8,0.57
1,0.0,0,0,0,84.0,0.0,0.0,0.0,5,0.12,0.0,77.3,0.06
1,0.0,0,0,0,84.0,0.0,0.0,0.0,5,0.12,0.0,77.0,0.03
1,0.0,0,0,0,84.0,0.0,0.0,0.0,0,0.12,0.0,80.0,0.01
1,0.0,0,0,0,84.0,0.0,0.0,22.28321,5,0.12,0.0,84.1,0.12
1,0.0,0,0,0,84.0,0.0,0.0,9.53373,5,0.12,0.0,80.7,0.02
1,0.0,0,0,0,84.0,0.0,0.0,15.84383,5,0.12,0.0,81.5,0.07
1,0.0,0,1,0,28.0,28.0,0.0,0.0,5,0.01,0.28,69.0,0.01619
1,0.0,0,1,0,28.0,28.0,0.0,0.0,3,0.01,0.28,63.0,0.01181
1,0.0,0,1,0,28.0,28.0,0.0,0.0,3,0.01,0.28,66.0,0.01812
1,0.0,0,1,0,28.0,28.0,0.0,0.0,4,0.01,0.28,65.0,0.02763
1,0.0,0,1,0,28.0,28.0,0.0,0.0,4,0.01,0.28,67.0,0.04223
1,0.0,0,1,0,28.0,28.0,0.0,25.0,5,0.01,0.28,65.0,0.01279
1,0.0,0,1,0,28.0,28.0,0.0,14.28571,5,0.01,0.28,67.0,0.01041
1,0.0,0,1,0,28.0,28.0,0.0,0.0,5,0.01,0.28,65.0,0.00707
1,0.0,0,1,0,28.0,28.0,0.0,0.0,1,0.01,0.28,65.0,0.00779
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.24,64.1,1.6
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.24,71.3,1.5
8,9.25,0,1,0,37.0,37.0,0.0,0.0,5,0.06,0.24,75.7,2.1
8,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.54
8,7.0,1,0,0,70.0,0.0,0.0,0.0,5,1.2,0.0,64.0,0.81
8,7.0,1,1,0,70.0,0.0,0.0,0.0,5,1.2,0.0,64.0,0.96
8,14.0,1,0,0,70.0,0.0,0.0,0.0,5,1.2,0.0,64.0,1.05
8,14.0,1,1,0,70.0,0.0,0.0,0.0,5,1.2,0.0,64.0,1.07
7,5.57143,0,1,4,39.0,39.0,20.0,0.0,5,0.288,0.455,68.07,1.11
7,5.57143,0,1,4,39.0,39.0,20.0,0.0,4,0.288,0.455,68.53,1.37
8,7.85714,2,0,0,55.0,0.0,0.0,0.0,0,11.25,0.0,60.04,0.0397
8,3.66667,2,0,0,55.0,0.0,0.0,0.0,0,11.25,0.0,60.04,0.0169
7,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,0,0.86149,0.72554,64.22217,0.018
7,5.07702,2,0,7,44.06402,24.10822,3.76698,4.43605,0,0.86149,0.72554,64.22217,0.0066
7,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.2,72.1,0.5
8,8.0,0,1,0,56.0,0.0,0.0,0.0,5,1.2,0.0,67.6,1.0
8,8.0,0,1,0,56.0,0.0,0.0,3.3,5,1.2,0.0,67.6,0.79
8,8.0,0,1,0,56.0,0.0,0.0,6.6,5,1.2,0.0,67.6,0.74
8,8.0,0,1,0,56.0,0.0,0.0,9.9,5,1.2,0.0,67.6,0.68
8,8.0,0,1,0,56.0,0.0,0.0,13.2,5,1.2,0.0,67.6,0.86
6,3.11111,0,1,0,28.0,0.0,0.0,0.0,5,0.13,0.0,61.4561,2.05
6,3.11111,0,1,0,28.0,0.0,0.0,2.0,5,0.13,0.0,60.661,2.01
6,3.11111,0,1,0,28.0,0.0,0.0,4.0,5,0.13,0.0,59.7109,1.53
6,3.11111,0,1,0,28.0,0.0,0.0,6.0,5,0.13,0.0,60.4548,1.42
6,3.11111,0,1,0,28.0,0.0,0.0,8.0,5,0.13,0.0,60.0684,1.24
6,3.11111,0,1,0,28.0,0.0,0.0,10.0,5,0.13,0.0,59.4546,0.75
