Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
5,3.11111,0,1,0,28.0,0.0,0.0,6.0,8,0.13,0.0,60.4548,25.78
5,3.11111,0,1,0,28.0,0.0,0.0,8.0,8,0.13,0.0,60.0684,18.48
5,3.11111,0,1,0,28.0,0.0,0.0,10.0,8,0.13,0.0,59.4546,12.39
8,14.0,0,1,5,28.0,28.0,30.0,0.0,8,0.07122,0.8589,60.0,46.9
8,14.0,0,1,5,28.0,28.0,30.0,0.0,8,0.07122,0.92562,60.0,53.94
8,14.0,0,1,5,28.0,28.0,30.0,0.0,8,0.07122,0.90323,60.0,67.74
2,7.0,0,1,6,28.0,28.0,30.0,0.0,8,0.06,1.20727,66.9,52.8
2,7.0,0,1,6,28.0,28.0,30.0,0.0,0,0.06,0.96434,58.6,59.4
2,7.0,0,1,6,28.0,28.0,30.0,0.0,0,0.06,0.85547,53.1,62.5
2,7.0,0,1,6,28.0,28.0,30.0,0.0,0,0.06,0.76023,47.5,60.1
1,4.44444,1,1,0,40.0,0.0,0.0,0.0,8,0.2,0.0,65.0,55.81
1,4.44444,1,1,0,40.0,0.0,0.0,1.0,8,0.2,0.0,65.0,54.13
1,4.44444,1,1,0,40.0,0.0,0.0,5.0,8,0.2,0.0,65.0,52.5
1,4.44444,1,1,0,40.0,0.0,0.0,6.0,8,0.2,0.0,65.0,48.48
5,7.5,0,1,7,30.0,30.0,10.0,0.0,8,0.1,0.00833,60.0,28.4
5,7.5,0,1,7,30.0,30.0,10.0,10.0,8,0.1,0.00833,60.0,29.3
5,7.5,0,1,7,30.0,30.0,10.0,10.0,8,0.1,0.00833,60.0,37.1
0,0.0,0,1,0,20.0,20.0,0.0,0.0,8,0.06,0.21,60.22,51.26
0,0.0,0,1,2,20.0,20.0,10.0,0.0,8,0.06,0.42,60.22,47.55
0,0.0,0,1,3,20.0,20.0,5.0,0.0,8,0.06,0.84,60.22,49.66
8,0.0,0,1,0,42.0,42.0,0.0,0.0,5,0.612,0.35,60.0,15.15
8,0.0,0,1,0,42.0,42.0,0.0,2.5,5,0.612,0.35,60.0,16.12
8,0.0,0,1,0,42.0,42.0,0.0,5.0,5,0.612,0.35,60.0,16.94
8,0.0,0,1,0,42.0,42.0,0.0,10.0,5,0.616,0.35,60.0,20.46
8,0.0,0,1,0,42.0,42.0,0.0,15.0,5,0.084,0.35,60.0,19.19
8,0.0,0,1,0,42.0,42.0,0.0,20.0,5,0.096,0.35,60.0,19.79
5,3.0,1,0,0,30.0,0.0,0.0,0.0,8,0.1458,0.0,65.1368,22.39
5,3.0,1,0,0,30.0,0.0,0.0,0.0,8,0.1458,0.0,65.1368,21.38
5,3.0,1,0,0,30.0,0.0,0.0,0.0,8,0.1458,0.0,65.1368,21.49
8,6.22222,0,1,0,56.0,0.0,0.0,0.0,8,0.1,0.0,67.70741,51.47
8,6.22222,0,1,0,56.0,0.0,0.0,15.0,8,0.1,0.0,63.32171,64.64
8,6.22222,0,1,0,56.0,0.0,0.0,10.0,8,0.1,0.0,63.24,63.1
8,6.22222,0,1,0,56.0,0.0,0.0,25.0,8,0.1,0.0,61.88594,68.47
0,0.0,0,1,0,21.0,21.0,0.0,0.0,8,0.06,0.21,55.0,32.42
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,23.55
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,19.67
0,15.5,0,1,0,31.0,31.0,0.0,0.0,8,0.06,0.09384,65.4,48.8
0,15.5,0,1,0,31.0,31.0,0.0,0.0,8,0.06,0.15639,65.4,50.7
0,15.5,0,1,4,31.0,31.0,10.0,0.0,8,0.06,0.28151,65.4,53.1
8,0.0,0,1,0,48.0,48.0,0.0,0.0,3,0.045,0.3279,50.0,67.56
5,0.0,0,1,0,48.0,48.0,0.0,0.0,3,0.045,0.34666,50.0,60.2
7,0.0,0,1,0,48.0,48.0,0.0,0.0,3,0.045,0.38698,50.0,60.06
6,7.0,0,1,0,35.0,35.0,0.0,0.0,8,0.06,0.2,72.1,52.59
6,7.0,0,1,0,35.0,35.0,0.0,10.0,8,0.06,0.2,72.1,50.31
6,7.0,0,1,0,35.0,35.0,0.0,10.0,8,0.06,0.2,72.1,48.7
6,7.0,0,1,0,35.0,35.0,0.0,12.5,8,0.06,0.2,72.1,49.24
6,7.0,0,1,0,35.0,35.0,0.0,12.5,8,0.06,0.2,72.1,47.73
8,21.0,0,1,0,21.0,21.0,0.0,0.0,8,1.2096,0.24,59.81,49.2
8,21.0,0,1,0,21.0,21.0,0.0,0.0,0,1.2096,0.24,60.21,44.46
4,1.0,1,1,0,105.0,0.0,0.0,0.0,8,0.055,0.0,72.754,49.18
4,1.0,1,1,0,105.0,0.0,0.0,0.0,8,0.055,0.0,73.584,49.13
4,1.0,1,1,0,105.0,0.0,0.0,0.0,8,0.055,0.0,73.584,44.24
4,1.0,1,1,0,105.0,0.0,0.0,0.0,8,0.055,0.0,73.584,43.93
4,1.0,1,1,0,105.0,0.0,0.0,0.0,8,0.055,0.0,73.584,48.71
4,1.0,1,1,0,105.0,0.0,0.0,0.0,8,0.055,0.0,73.584,44.74
4,1.0,1,1,0,105.0,0.0,0.0,0.0,8,0.055,0.0,73.584,44.62
5,1.0,0,1,0,15.0,15.0,0.0,0.0,5,0.018,0.9532,65.03,10.33
5,1.0,0,1,0,15.0,15.0,0.0,29.0,5,0.018,0.90506,63.17,15.82
5,1.0,0,1,0,15.0,15.0,0.0,29.0,5,0.018,0.88629,62.39,17.17
5,1.0,0,1,0,15.0,15.0,0.0,29.0,5,0.018,0.89127,62.6,16.54
5,1.0,0,1,0,15.0,15.0,0.0,29.0,5,0.018,0.8765,61.97,11.61
5,1.0,0,1,0,15.0,15.0,0.0,29.0,5,0.018,0.91149,63.43,12.7
4,16.0,0,1,0,32.0,32.0,18.0,0.0,6,0.1,0.44619,61.1,22.76
4,16.0,0,1,0,32.0,32.0,9.0,0.0,6,0.1,0.24629,53.5,7.81
4,16.0,0,1,0,32.0,32.0,9.0,0.0,6,0.1,0.24573,48.5,17.58
4,16.0,0,1,0,32.0,32.0,16.5,0.0,1,0.1,0.427,74.7,34.26
4,16.0,0,1,0,32.0,32.0,13.0,0.0,1,0.1,0.24224,65.6,21.27
4,16.0,0,1,0,32.0,32.0,9.0,0.0,1,0.1,0.24629,53.0,7.04
4,16.0,0,1,0,32.0,32.0,9.0,0.0,8,0.1,0.22839,47.5,10.57
4,6.42857,0,0,0,45.0,0.0,0.0,0.0,8,0.06,0.0,63.06,43.0
4,6.42857,0,0,0,45.0,0.0,0.0,0.0,8,0.06,0.0,63.06,39.6
8,17.5,0,1,0,70.0,0.0,0.0,0.0,8,1.2096,0.0,63.6,54.8
8,17.5,0,1,0,70.0,70.0,0.0,0.0,8,1.2096,0.18,63.6,54.2
8,17.5,0,1,0,70.0,70.0,0.0,0.0,8,1.2096,0.36,63.6,53.7
8,17.5,0,1,0,70.0,70.0,0.0,0.0,8,1.2096,0.54,63.6,52.2
8,5.07702,0,1,4,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,56.3
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,40.0
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,45.0
5,0.0,0,1,0,31.0,31.0,0.0,0.0,8,0.01,0.48,71.0,22.0
5,0.0,0,1,0,31.0,31.0,0.0,0.0,8,0.01,0.23,71.0,24.0
5,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,28.0
5,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,33.0
