Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),CH4-C loss (%)
5,7.5,0,1,7,30.0,30.0,10.0,10.0,5,0.1,0.00833,60.0,0.05
5,7.5,0,1,7,30.0,30.0,10.0,10.0,5,0.1,0.00833,60.0,0.028
0,0.0,0,1,0,20.0,20.0,0.0,0.0,5,0.06,0.21,60.22,0.15
0,0.0,0,1,2,20.0,20.0,10.0,0.0,5,0.06,0.42,60.22,0.13
0,0.0,0,1,3,20.0,20.0,5.0,0.0,5,0.06,0.84,60.22,0.21
0,0.0,0,1,0,21.0,21.0,0.0,0.0,5,0.06,0.21,55.0,0.00012
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,4e-05
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,4e-05
0,15.5,0,1,0,31.0,31.0,0.0,0.0,5,0.06,0.09384,65.4,0.05
0,15.5,0,1,0,31.0,31.0,0.0,0.0,5,0.06,0.15639,65.4,0.04
0,15.5,0,1,4,31.0,31.0,10.0,0.0,5,0.06,0.28151,65.4,0.05
7,21.0,0,1,0,21.0,21.0,0.0,0.0,5,1.2096,0.24,59.81,0.38
7,21.0,0,1,0,21.0,21.0,0.0,0.0,0,1.2096,0.24,60.21,0.43
5,1.0,0,1,0,15.0,15.0,0.0,0.0,4,0.018,0.9532,65.03,0.38776
5,1.0,0,1,0,15.0,15.0,0.0,29.0,4,0.018,0.90506,63.17,0.2855
5,1.0,0,1,0,15.0,15.0,0.0,29.0,4,0.018,0.88629,62.39,0.32892
5,1.0,0,1,0,15.0,15.0,0.0,29.0,4,0.018,0.89127,62.6,0.30074
5,1.0,0,1,0,15.0,15.0,0.0,29.0,4,0.018,0.8765,61.97,0.34662
5,1.0,0,1,0,15.0,15.0,0.0,29.0,4,0.018,0.91149,63.43,0.30362
4,6.42857,0,0,0,45.0,0.0,0.0,0.0,5,0.06,0.0,63.06,0.22
4,6.42857,0,0,0,45.0,0.0,0.0,0.0,5,0.06,0.0,63.06,0.19
7,17.5,0,1,0,70.0,0.0,0.0,0.0,5,1.2096,0.0,63.6,0.24
7,17.5,0,1,0,70.0,70.0,0.0,0.0,5,1.2096,0.18,63.6,0.32
7,17.5,0,1,0,70.0,70.0,0.0,0.0,5,1.2096,0.36,63.6,0.09
7,17.5,0,1,0,70.0,70.0,0.0,0.0,5,1.2096,0.54,63.6,0.01
7,5.07702,0,1,4,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.03
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.08564
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.17394
5,0.0,0,1,0,31.0,31.0,0.0,0.0,5,0.01,0.48,71.0,0.03724
5,0.0,0,1,0,31.0,31.0,0.0,0.0,5,0.01,0.23,71.0,0.03629
5,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.00574
5,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.00447
6,5.0,0,1,7,45.0,45.0,20.0,0.0,5,0.12,0.97145,65.0,0.14
6,5.0,0,1,7,45.0,45.0,20.0,5.0,5,0.12,1.71576,65.0,0.06
6,5.0,0,1,7,45.0,45.0,20.0,1.0,5,0.12,0.92403,65.0,0.05
6,5.0,0,1,7,45.0,45.0,20.0,1.0,5,0.12,0.92403,65.0,0.02
6,5.0,0,1,7,45.0,45.0,20.0,3.0,5,0.12,0.93795,65.0,0.04
6,5.0,0,1,7,45.0,45.0,20.0,3.0,5,0.12,0.93795,65.0,0.08
6,5.0,0,1,7,45.0,45.0,20.0,5.0,5,0.12,1.71576,65.0,0.04
6,7.0,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.3,72.86,0.4
0,0.0,2,0,0,133.0,0.0,0.0,0.0,5,0.1715,0.0,66.894,0.002
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.0007
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.0007
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.0003
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.0017
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.0012
0,0.0,2,0,0,133.0,0.0,0.0,2.4,5,0.1845,0.0,66.944,0.0017
0,0.0,1,0,0,90.0,0.0,0.0,0.0,4,0.02069,0.0,73.564,0.05
0,0.0,1,0,0,90.0,0.0,0.0,0.0,4,0.02069,0.0,73.564,0.03
