Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Application Rate (%DW),Turning times,Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),NH3-N (g)
87.0,0.0,0.0,0.0,0.0,21.0,0.14399999999999996,68.06881,0.0,1.070588235
87.0,0.0,0.0,0.0,0.0,14.000000000000002,0.14399999999999996,66.16881000000001,0.0,0.905882353
87.0,0.0,0.0,0.0,0.0,43.0,0.14399999999999996,71.97881,0.0,0.494117647
87.0,0.0,0.0,0.0,0.0,21.0,0.14399999999999996,68.06881,0.0,1.00716796
87.0,0.0,0.0,0.0,0.0,14.000000000000002,0.14399999999999996,66.16881000000001,0.0,1.31930642
87.0,0.0,0.0,0.0,0.0,43.0,0.14399999999999996,71.97881,0.0,9.0499464
87.0,0.0,0.0,0.0,0.0,21.0,0.14399999999999996,68.06881,0.0,1.9685552
87.0,0.0,0.0,0.0,0.0,14.000000000000002,0.14399999999999996,66.16881000000001,0.0,6.06382262
65.0,0.0,0.0,0.0,0.0,18.0,0.622,80.3,0.0,3.525
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,70.4,0.0,4.4
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,71.6,0.0,4.2
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,70.1,0.0,2.9
90.0,0.0,0.0,0.0,0.0,0.0,10.0,69.2,0.0,2.975
90.0,0.0,0.0,0.0,0.0,1.0,10.0,69.2,0.0,2.7
90.0,0.0,0.0,0.0,0.0,3.0,10.0,69.2,0.0,2.7125
88.0,0.0,0.0,0.0,0.0,1.0,10.0,72.5,0.0,2.7
88.0,0.0,0.0,0.0,0.0,1.0,10.0,72.5,0.0,3.9
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,62.5248,0.43638828090000004,3.638793
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,62.0792,0.43638828090000004,3.313746
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,60.3523,0.44438828090000004,3.454392
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,61.109199999999994,0.43638828090000004,2.65936
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,62.01160000000001,0.43638828090000004,3.301533
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,62.5648,0.43638828090000004,2.312403
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,63.1761,0.43638828090000004,84.89
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,57.5744,0.4060918662,218.62
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,61.183,0.43638828090000004,455.65
56.0,56.0,0.0,0.0,1.730103806,0.0,1.37,71.1,0.108,6303.36
56.0,56.0,0.0,0.0,1.388888889,0.0,1.37,71.2,0.108,11712.81176
50.0,50.0,0.0,0.0,0.0,10.0,0.01,47.6,0.66,0.07
50.0,50.0,0.0,0.0,0.0,10.0,0.01,60.3,0.66,17.43
50.0,50.0,0.0,0.0,0.0,10.0,0.01,60.3,0.66,32.42
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,9.474158647
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,0.154316235
64.0,0.0,0.0,0.0,0.0,12.0,1.1,74.27405248,0.0,0.0508431
40.0,0.0,0.0,0.0,0.0,9.0,0.2,65.0,0.0,0.365375294
40.0,0.0,0.0,0.0,1.0,9.0,0.2,65.0,0.0,13.62857424
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,60.0,0.858895706,31.42505882
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,60.0,0.925619835,24.94709412
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,60.0,0.903225806,24.80923529
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,60.0,0.909090909,21.36350588
21.0,21.0,1.0,20.0,0.0,4.0,0.0474,49.21,,0.855342353
21.0,21.0,1.0,20.0,2.0,4.0,0.0474,49.21,,0.536614235
21.0,21.0,1.0,20.0,,4.0,0.0474,49.21,,1.116450588
35.0,0.0,0.0,0.0,0.0,5.0,0.004,60.0,0.0,0.0467176
35.0,0.0,0.0,0.0,12.5,5.0,0.004,60.0,0.0,0.0558779
35.0,0.0,0.0,0.0,12.5,5.0,0.004,60.0,0.0,0.0486641
35.0,0.0,0.0,0.0,7.5,5.0,0.004,60.0,0.0,0.0303435
35.0,0.0,0.0,0.0,12.5,5.0,0.004,60.0,0.0,0.0526718
35.0,0.0,0.0,0.0,20.0,5.0,0.004,60.0,0.0,0.0320611
35.0,0.0,0.0,0.0,20.0,5.0,0.004,60.0,0.0,0.0285115
35.0,0.0,0.0,0.0,20.0,5.0,0.004,60.0,0.0,0.0367557
51.0,0.0,0.0,0.0,,14.0,,65.0,0.0,116.5294118
51.0,0.0,0.0,0.0,0.0,14.0,,65.0,0.0,80.04705882
51.0,0.0,0.0,0.0,0.0,14.0,,65.0,0.0,59.04705882
51.0,0.0,0.0,0.0,0.0,14.0,,65.0,0.0,58.96470588
51.0,0.0,0.0,0.0,0.0,14.0,,65.0,0.0,45.12941176
22.0,22.0,0.0,0.0,0.0,0.0,0.002,63.453,,0.303104941
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.8218,,0.267075529
22.0,22.0,0.0,0.0,0.0,0.0,0.002,63.5272,,0.384885529
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.745,,0.275081882
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.5248,,0.237908588
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.0792,,0.376879176
22.0,22.0,0.0,0.0,0.0,0.0,0.002,60.3523,,0.376967294
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.1092,,0.388566706
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.0116,,0.296354471
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.5648,,0.208782
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.575,,0.249378706
22.0,22.0,0.0,0.0,0.0,0.0,0.002,63.1761,,0.361889294
22.0,22.0,0.0,0.0,0.0,0.0,0.002,57.5744,,0.250510235
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.183,,0.202895412
22.0,22.0,0.0,0.0,0.0,0.0,0.002,60.5878,,0.174758706
22.0,22.0,0.0,0.0,0.0,0.0,0.002,59.9182,,0.285139647
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.0342,,0.387403882
20.0,20.0,60.0,120.0,0.0,0.0,0.004,71.2,,0.655282353
20.0,20.0,60.0,120.0,,0.0,0.004,69.1,,0.432435294
20.0,20.0,60.0,120.0,,0.0,0.004,69.8,,0.469905882
20.0,20.0,60.0,120.0,,0.0,0.004,70.0,,1.007670588
31.6,31.6,0.0,0.0,0.0,2.0,0.3,68.5,0.063492063,80.17015529
30.9,30.9,0.0,0.0,0.0,2.0,0.3,62.5,0.133333333,5.405740312
31.7,31.7,0.0,0.0,0.0,2.0,0.3,49.3,0.174227482,0.238031638
31.7,31.7,0.0,0.0,0.0,2.0,0.3,59.3,0.147420147,0.168982188
30.9,30.9,0.0,0.0,0.0,2.0,0.3,44.6,0.138387485,1.131330636
31.7,31.7,0.0,0.0,0.0,2.0,0.3,41.9,0.048766495,0.017337233
30.7,30.7,0.0,0.0,0.0,2.0,0.3,50.0,0.09,0.438324346
30.8,30.8,0.0,0.0,0.0,2.0,0.3,53.7,0.143988481,1.328062
30.7,30.7,0.0,0.0,0.0,2.0,0.3,60.1,0.179615706,8.270886457
30.8,30.8,0.0,0.0,0.0,2.0,0.3,43.4,0.07656066,1.409382216
66.0,66.0,0.0,0.0,0.0,11.0,0.028,72.7,0.4,9.0
66.0,66.0,0.0,0.0,0.0,11.0,0.028,71.7,0.4,7.9
66.0,66.0,0.0,0.0,0.0,11.0,0.028,71.7,0.2,6.7
66.0,66.0,0.0,0.0,0.0,11.0,0.028,68.8,0.2,4.4
66.0,66.0,0.0,0.0,0.0,11.0,0.028,69.5,0.2,3.1
66.0,66.0,0.0,0.0,0.0,11.0,0.028,67.3,0.2,4.0
66.0,66.0,0.0,0.0,0.0,11.0,0.028,71.8,0.2,7.2
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,79.93505882
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,72.66823529
64.0,0.0,0.0,0.0,0.0,12.0,1.1,74.27405248,0.0,159.8701176
