Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),CO2-C (g)
4,0,0,4,0,0,50.0,50.0,20.0,60.0,7.0,12.0,0.288,66.08,0.0,2.53,21.21,1,8.01,53.6613,3,0.130564,0.0,0.0,0.0,0.0356083,3.601718182
1,0,0,4,0,0,56.0,56.0,-1.0,0.0,11.0,0.0,0.1,56.03,0.0,1.86,25.17,0,7.1,46.82,4,0.45977,0.5,0.0,0.0,0.0,297.126837
26,0,0,4,0,0,56.0,56.0,-1.0,0.0,11.0,10.0,0.1,55.0,0.0,1.80701,25.17971677,0,7.6,45.5,3,0.373563,0.5,0.0,0.0,0.0,612.080829
12,0,0,4,0,0,56.0,56.0,-1.0,0.0,11.0,10.0,0.1,55.0,0.0,1.77226,25.67343392,0,8.6,45.5,3,0.306513,0.5,0.0,0.0,0.0,762.455004
3,0,0,4,0,0,56.0,56.0,-1.0,0.0,11.0,10.0,0.1,55.0,0.0,1.78861,25.43874853,0,8.7,45.5,1,0.335249,0.5,0.0,0.0,0.0,728.280774
1,0,0,3,0,0,50.0,0.0,0.0,0.0,9.0,0.0,0.1,60.0,0.0,0.0,31.0074,2,6.53,0.0,4,0.0,0.5,0.0,0.0,0.0,310.06926
6,0,0,3,0,0,50.0,0.0,0.0,0.0,9.0,2.0,0.1,60.0,0.0,0.0,30.0553,2,6.85,0.0,3,0.0,0.5,0.0,0.0,0.0,282.1082
6,0,0,3,0,0,50.0,0.0,0.0,0.0,9.0,4.0,0.1,60.0,0.0,0.0,30.3317,2,6.46,0.0,3,0.0,0.5,0.0,0.0,0.0,300.08323
6,0,0,3,0,0,50.0,0.0,0.0,0.0,9.0,6.0,0.1,60.0,0.0,0.0,30.5467,2,6.52,0.0,3,0.0,0.5,0.0,0.0,0.0,435.644885
6,0,0,3,0,0,50.0,0.0,0.0,0.0,9.0,8.0,0.1,60.0,0.0,0.0,31.0381,2,6.5,0.0,3,0.0,0.5,0.0,0.0,0.0,444.299551
6,0,0,3,0,0,50.0,0.0,0.0,0.0,9.0,10.0,0.1,60.0,0.0,0.0,30.7924,2,6.55,0.0,3,0.0,0.5,0.0,0.0,0.0,453.12054
1,0,0,5,0,0,50.0,50.0,-1.0,0.0,9.0,0.0,0.1,55.0,0.3,2.084,25.0,0,7.74382,52.1,4,1.94737,0.0,0.0,0.0,0.0360493,346.8872727
4,0,0,5,0,0,50.0,50.0,-1.0,0.0,9.0,10.0,0.1,0.0,0.3,0.0,0.0,0,8.21499,0.0,3,2.38947,0.0,0.0,0.0,0.00672348,256.1124545
4,8,0,5,0,0,50.0,50.0,-1.0,0.0,9.0,20.0,0.1,0.0,0.3,0.0,0.0,0,8.13921,0.0,3,1.68421,0.0,0.0,0.0,0.040558,242.4962727
4,8,3,5,0,0,50.0,50.0,-1.0,0.0,9.0,20.5,0.1,0.0,0.3,0.0,0.0,0,8.0173,0.0,2,1.86316,0.0,0.0,0.0,0.0360416,228.2318182
4,8,3,5,0,0,50.0,50.0,-1.0,0.0,9.0,21.0,0.1,0.0,0.3,0.0,0.0,0,7.84926,0.0,2,1.67368,0.0,0.0,0.0,0.0270318,189.3286364
4,8,3,5,0,0,50.0,50.0,-1.0,0.0,9.0,22.0,0.1,0.0,0.3,0.0,0.0,0,7.82949,0.0,2,2.77895,0.0,0.0,0.0,0.0157537,184.1416364
1,0,0,4,0,0,34.0,34.0,-1.0,0.0,7.0,0.0,0.005,67.6,0.033670034,1.46,33.5,0,6.1,42.91,4,0.115183,2.2,11.0,0.0,0.0,29.34545455
15,4,0,4,0,0,34.0,34.0,-1.0,0.0,7.0,7.73359,0.005,67.3,0.033670034,1.22,33.52459016,0,7.65,40.9,1,0.230366,0.0,0.0,0.0,0.0,27.6
9,5,0,4,0,0,34.0,34.0,-1.0,0.0,7.0,7.128276,0.005,66.8,0.033670034,1.24,33.11290323,0,6.7,41.06,1,0.366492,0.0,0.0,0.0,0.0,31.66363636
15,5,0,4,0,0,34.0,34.0,-1.0,0.0,7.0,6.050428,0.005,66.0,0.033670034,1.32,31.53030303,0,6.43,41.62,1,0.26178,0.0,0.0,0.0,0.0,32.42727273
1,0,0,4,0,0,42.0,42.0,-1.0,0.0,9.0,0.0,0.1,56.23,0.0,1.78,25.0965,0,7.43228,44.89,4,0.432228,0.5,0.0,0.0,0.0,250.0184
13,0,0,4,0,0,42.0,42.0,-1.0,0.0,9.0,2.0,0.1,0.0,0.0,0.0,25.5598,0,7.50144,0.0,3,0.400794,0.5,0.0,0.0,0.0,492.00003
13,0,0,4,0,0,42.0,42.0,-1.0,0.0,9.0,4.0,0.1,0.0,0.0,0.0,25.8301,0,7.5879,0.0,3,0.377219,0.5,0.0,0.0,0.0,593.83491
13,0,0,4,0,0,42.0,42.0,-1.0,0.0,9.0,6.0,0.1,0.0,0.0,0.0,25.9073,0,7.64553,0.0,3,0.345785,0.5,0.0,0.0,0.0,697.981621
13,0,0,4,0,0,42.0,42.0,-1.0,0.0,9.0,10.0,0.1,0.0,0.0,0.0,25.9846,0,8.06628,0.0,3,0.306492,0.5,0.0,0.0,0.0,786.054716
1,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,0.0,0.00025,50.0,17.85714286,1.52,23.45394737,0,8.3,35.65,4,0.0,0.224,0.056,0.028,0.0,6.7
23,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,6.414309273643399,0.00025,50.0,11.9047619,1.04,22.89423077,0,7.2,23.81,1,0.0,0.336,0.084,0.042,0.0,6.8
26,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,6.414309273643399,0.00025,50.0,11.9047619,1.02,23.34313725,0,8.3,23.81,3,0.0,0.336,0.084,0.042,0.0,6.6
23,8,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,6.414309273643399,0.00025,50.0,11.9047619,1.03,23.11650485,0,7.5,23.81,2,0.0,0.336,0.084,0.042,0.0,6.8
1,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,0.0,0.00025,50.0,8.928571429,1.0,37.16,0,8.2,37.16,4,0.0,0.448,0.112,0.056,0.0,13.3
23,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.82,36.25609756,0,7.0,29.73,1,0.0,0.56,0.14,0.07,0.0,12.2
26,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.8,37.1625,0,8.0,29.73,3,0.0,0.56,0.14,0.07,0.0,11.4
23,8,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.81,36.7037037,0,7.3,29.73,2,0.0,0.56,0.14,0.07,0.0,12.2
1,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,0.0,0.00025,50.0,8.928571429,0.85,21.015545935490564,0,7.7,40.41,4,0.0,0.448,0.112,0.056,0.0,13.9
23,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.7,21.015545935490564,0,6.7,32.33,1,0.0,0.56,0.14,0.07,0.0,10.3
26,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.68,21.015545935490564,0,7.6,32.33,3,0.0,0.56,0.14,0.07,0.0,12.3
23,8,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.69,21.015545935490564,0,6.9,32.33,2,0.0,0.56,0.14,0.07,0.0,12.1
1,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.01,69.0,0.28,3.7,11.0,0,0.0,40.7,4,12.9,0.241935484,2.419354839,0.75,0.0,46.725
1,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.01,63.0,0.28,3.7,11.0,0,0.0,40.7,4,12.9,0.27027027,2.702702703,1.0,0.0,63.2
1,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.01,66.0,0.28,3.7,11.0,0,0.0,40.7,4,12.9,0.257352941,2.573529412,0.875,0.0,57.1375
1,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.01,65.0,0.28,2.850340136,14.7,0,0.0,41.9,4,9.8,0.285714286,2.857142857,1.0,0.0,48.0
1,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.01,67.0,0.28,3.209302326,12.9,0,0.0,41.4,4,11.1,0.265151515,2.651515152,0.875,0.0,43.75
4,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,25.0,0.01,65.0,0.28,2.934131737,16.7,0,0.0,49.0,3,9.7,0.285714286,2.857142857,1.0,0.0,41.2
4,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,14.28571429,0.01,67.0,0.28,3.242857143,14.0,0,0.0,45.4,3,11.1,0.265151515,2.651515152,0.875,0.0,39.725
1,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.01,65.0,0.28,2.957142857,14.0,0,0.0,41.4,4,9.7,0.285714286,2.857142857,1.0,0.0,50.3
1,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.01,65.0,0.28,3.347107438,12.1,0,0.0,40.5,4,9.7,0.285714286,2.857142857,1.0,0.0,61.2
1,0,0,0,0,0,35.0,35.0,-1.0,0.0,9.0,0.0,0.1559,66.03,0.0,1.817,21.96202532,0,0.0,39.905,4,3.44,0.700705581,109.24,37.108828,0.37,4587.07
1,0,0,0,0,0,35.0,35.0,-1.0,0.0,9.0,0.0,0.2984,65.69,0.0,1.813,21.51130723,0,0.0,39.0,4,3.32,0.728954424,217.52,74.631112,0.39,7136.88
1,0,0,0,0,0,35.0,35.0,-1.0,0.0,9.0,0.0,0.5697,66.14,0.0,1.796,21.64476615,0,0.0,38.874,4,3.09,0.753958224,429.53,145.438858,0.41,11701.82
1,0,0,4,0,0,50.0,50.0,-1.0,0.0,0.0,0.0,0.03,72.13,0.222862581,2.21,19.11,0,5.67,42.22,4,3.397665704257908,0.268333333,8.05,2.243535,0.0690476,111.7486364
1,0,0,4,0,0,50.0,50.0,-1.0,0.0,0.0,0.0,0.03,69.74,0.205260414,2.93,13.27,0,7.56,38.84,4,3.397665704257908,0.268333333,8.05,2.43593,0.0595238,189.5994545
1,0,0,4,0,0,50.0,50.0,-1.0,0.0,0.0,0.0,0.03,71.05,0.214548536,3.48,13.56,0,8.08,38.16,4,11.3032,0.268333333,8.05,2.330475,0.0404762,118.7521364
21,0,0,4,0,0,30.0,30.0,-1.0,0.0,0.0,8.968501546,0.03,71.6522,0.149475026,0.0,0.0,0,5.37531,0.0,1,5.52012,0.393333333,11.8,3.3450404,0.0,72.85963636
21,0,0,4,0,0,30.0,30.0,-1.0,0.0,0.0,6.709270849,0.03,72.646,0.156029555,0.0,0.0,0,5.11721,0.0,1,6.65276,0.3905,11.715,3.2045211,0.0,95.4666
1,0,0,4,0,0,30.0,30.0,-1.0,0.0,0.0,0.0,0.03,73.0435,0.161290453,0.0,0.0,0,7.38965,0.0,4,4.56632,0.383333333,11.5,3.0999975,0.0,91.70727273
0,0,0,4,0,0,60.0,60.0,-1.0,0.0,0.0,1.888750519,0.03,71.6013,0.217484278,0.0,0.0,0,8.06452,0.0,1,11.2324,0.26985,8.0955,2.299016759,0.110526,128.6742927
20,0,0,4,0,0,60.0,60.0,-1.0,0.0,0.0,2.469904525,0.03,71.0923,0.213286019,0.0,0.0,0,6.39785,0.0,1,3.397665704257908,0.270316667,8.1095,2.344269932,0.71051,125.8889291
