Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Application Rate (%DW),Turning times,Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),N2O-N loss (%)
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,0.033603861
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,60.0,0.858895706,0.136
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,60.0,0.925619835,0.214
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,60.0,0.903225806,0.279
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,60.0,0.909090909,0.315
28.0,28.0,30.0,60.0,0.0,4.0,0.06,66.9,1.207272727,1.68
28.0,28.0,30.0,60.0,0.0,4.0,0.06,58.6,0.964341085,0.69
28.0,28.0,30.0,60.0,0.0,4.0,0.06,53.1,0.855474453,1.34
28.0,28.0,30.0,60.0,0.0,4.0,0.06,47.5,0.760233918,2.36
56.0,56.0,0.0,0.0,0.0,0.0,1.37,69.4,0.108,1.13
56.0,56.0,0.0,0.0,1.730103806,0.0,1.37,71.1,0.108,1.06
56.0,56.0,0.0,0.0,1.388888889,0.0,1.37,71.2,0.108,1.02
56.0,56.0,0.0,0.0,3.703703704,0.0,1.37,67.6,0.108,0.71
56.0,56.0,0.0,0.0,0.324675325,0.0,1.37,69.2,0.108,0.81
56.0,56.0,0.0,0.0,2.068965517,0.0,1.37,71.0,0.108,0.77
56.0,56.0,0.0,0.0,0.0,0.0,1.37,70.3,0.108,1.2
56.0,56.0,0.0,0.0,2.836879433,0.0,1.18,71.8,0.108,1.03
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,0.112742261
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,0.114916354
64.0,0.0,0.0,0.0,0.0,12.0,1.1,74.27405248,0.0,0.067086304
