Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),Initial pH,Initial TC (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),NH3-N loss (%)
15.0,15.0,0.0,0.0,0.0,0.0,0.17,70.5,0.288496213,1.59,26.0,8.8,41.34,0.0,0.276470588,47.0,13.865,0.0,19.81132075
15.0,15.0,0.0,0.0,0.0,3.629764065,0.17,71.0,0.290381125,1.44,0.0,8.8,0.0,0.0,0.279411765,47.5,13.775,0.0,13.54166667
15.0,15.0,0.0,0.0,0.0,7.30994152,0.17,71.5,0.292397661,1.55,0.0,8.6,0.0,0.0,0.282352941,48.0,13.68,0.0,11.61290323
15.0,15.0,0.0,0.0,0.0,9.976720984,0.17,69.0,0.266045893,1.36,30.0,8.7,40.8,0.0,0.285294118,48.5,15.035,0.0,9.124087591
15.0,15.0,0.0,0.0,0.0,0.0,0.17,70.0,0.263765249,1.72,0.0,8.4,0.0,0.0,0.297352941,50.55,15.165,0.0,10.75581395
15.0,15.0,0.0,0.0,0.0,13.0971896,0.17,71.8,0.281659991,1.66,0.0,8.2,0.0,0.0,0.296235294,50.36,14.20152,0.0,10.84337349
15.0,15.0,0.0,0.0,0.0,24.36647173,0.17,69.6,0.262005072,1.58,0.0,8.3,0.0,0.0,0.295411765,50.22,15.26688,0.0,15.50632911
15.0,15.0,0.0,0.0,0.0,37.59079389,0.17,70.3,0.269468057,1.47,0.0,8.3,0.0,0.0,0.294,49.98,14.84406,0.0,16.66666667
15.0,6.0,0.0,0.0,0.0,0.0,0.17,70.6,0.289477493,1.59,0.0,8.6,0.0,0.0,0.276470588,47.0,13.818,0.0,16.03773585
15.0,6.0,0.0,0.0,0.0,3.104791777,0.17,70.8,0.28881784,1.57,0.0,8.6,0.0,0.0,0.279,47.43,13.84956,0.0,14.96815287
15.0,6.0,0.0,0.0,0.0,3.436883051,0.17,70.1,0.281711726,1.55,0.0,8.6,0.0,0.0,0.279341176,47.488,14.198912,0.0,13.5483871
15.0,6.0,0.0,0.0,0.0,3.685446,0.17,69.8,0.278672665,1.55,0.0,8.9,0.0,0.0,0.279582353,47.529,14.353758,0.0,15.16129032
15.0,15.0,0.0,0.0,0.0,0.0,0.17,71.5,0.27764763,1.62,0.0,9.1,0.0,0.0,0.297352941,50.55,14.40675,0.0,14.81481481
15.0,15.0,0.0,0.0,0.0,3.668852355,0.17,72.3,0.282763187,1.35,0.0,9.0,0.0,0.0,0.300405882,51.069,14.146113,0.0,16.66666667
15.0,15.0,0.0,0.0,0.0,7.017404988,0.17,71.3,0.270159961,1.31,0.0,8.7,0.0,0.0,0.303464706,51.589,14.806043,0.0,12.97709924
15.0,15.0,0.0,0.0,0.0,10.35226864,0.17,71.1,0.265613051,1.25,0.0,8.7,0.0,0.0,0.306523529,52.109,15.059501,0.0,13.2
70.0,0.0,0.0,0.0,10.0,0.0,1.2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3
70.0,0.0,0.0,0.0,10.0,3.3,1.2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
70.0,0.0,0.0,0.0,10.0,6.6,1.2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2
70.0,0.0,0.0,0.0,10.0,9.9,1.2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8
