Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Application Rate (%DW),Turning times,Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),TN loss (%)
91.0,7.6000000000000005,0.0,0.0,12.5,13.0,0.25,59.99999999999999,0.012750000000000001,9.8
91.0,40.50000000000001,0.0,0.0,25.0,13.0,0.25,59.99999999999999,0.34241549109999997,33.01
91.0,7.6000000000000005,0.0,0.0,0.0,13.0,0.25,59.99999999999999,0.012750000000000001,28.94
91.0,7.6000000000000005,0.0,0.0,12.5,13.0,0.25,59.99999999999999,0.012750000000000001,21.28
91.0,7.6000000000000005,0.0,0.0,12.5,13.0,0.25,59.99999999999999,0.012750000000000001,17.39
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999998,69.37,0.26567825159999997,15.0
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999998,66.06,0.24688253959999998,10.8
70.0,0.0,0.0,0.0,0.0,6.0,22.500000000000004,65.98881,0.0,20.29
70.0,0.0,0.0,0.0,0.6,6.0,22.500000000000004,65.98881,0.0,13.03
70.0,0.0,0.0,0.0,1.6999999999999997,6.0,22.500000000000004,65.98881,0.0,28.8
56.0,0.0,0.0,0.0,0.0,8.0,22.500000000000004,65.84881,0.0,28.3
56.0,0.0,0.0,0.0,4.0,8.0,22.500000000000004,65.53399999999999,0.0,28.42
56.0,0.0,0.0,0.0,38.0,8.0,22.500000000000004,61.45,0.0,31.94
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999998,58.4,0.3641251995,24.55
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999998,56.199999999999996,0.3621907143,22.86
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999998,58.8,0.38012519949999996,32.13
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999998,65.3,0.43508828089999996,32.01
84.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,75.8,0.0,33.29
84.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,77.3,0.0,19.58
84.0,0.0,0.0,0.0,15.84382872,0.0,0.12000000000000001,81.5,0.0,31.5
60.0,60.00000000000001,0.0,0.0,8.6,5.0,0.045,59.99999999999999,0.22,15.82
60.0,60.00000000000001,0.0,0.0,8.6,5.0,0.045,59.99999999999999,0.44,27.47
60.0,60.00000000000001,0.0,0.0,8.6,5.0,0.045,59.99999999999999,0.66,32.42
60.0,60.00000000000001,0.0,0.0,4.927837902900001,5.0,0.045,65.0,0.22,23.4
60.0,60.00000000000001,0.0,0.0,4.927837902900001,5.0,0.045,65.0,0.44,13.05
60.0,60.00000000000001,0.0,0.0,4.927837902900001,5.0,0.045,65.0,0.66,6.82
60.0,60.00000000000001,0.0,0.0,1.3941967193,5.0,0.045,70.0,0.22,16.78
28.0,28.0,0.0,0.0,0.0,0.0,0.01,63.00000000000001,0.28,48.7
28.0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,41.9
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,38.3
28.0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,37.08
28.0,28.0,0.0,0.0,25.0,0.0,0.01,65.0,0.28,28.22
28.0,28.0,0.0,0.0,14.285714290000001,0.0,0.01,67.0,0.28,26.16
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,24.0
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,37.5
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,65.0,0.23999999999999996,18.8
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,65.0,0.4799999999999999,24.8
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,65.0,0.72,15.5
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,75.0,0.23999999999999996,41.19
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,75.0,0.4799999999999999,38.64
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,75.0,0.72,31.45
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,64.1,0.23999999999999996,25.78
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,65.2,0.4799999999999999,18.48
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,63.7,0.72,12.39
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,71.3,0.23999999999999996,3.27626
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,70.6,0.4799999999999999,1.86454
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,70.8,0.72,1.06012
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,75.7,0.23999999999999996,1.0175
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,76.8,0.4799999999999999,0.847032
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,74.0,0.72,0.751142
87.0,0.0,0.0,0.0,0.0,43.0,0.14399999999999996,71.97881,0.0,20.9
87.0,0.0,0.0,0.0,0.0,21.0,0.14399999999999996,68.06881,0.0,14.7
87.0,0.0,0.0,0.0,0.0,14.000000000000002,0.14399999999999996,66.16881000000001,0.0,17.3
87.0,0.0,0.0,0.0,0.0,43.0,0.14399999999999996,71.97881,0.0,5.7
20.999999999999996,21.0,0.0,0.0,0.0,0.0,0.055,71.66,16.47,22.64
20.999999999999996,21.0,0.0,0.0,0.0,0.0,0.0354,69.89,16.47,15.38
20.999999999999996,0.0,0.0,0.0,6.929999999999999,14.000000000000002,2.0,59.99999999999999,0.0,38.7288
20.999999999999996,0.0,0.0,0.0,6.929999999999999,14.000000000000002,2.0,59.99999999999999,0.0,30.5921
20.999999999999996,0.0,0.0,0.0,6.929999999999999,14.000000000000002,2.0,59.99999999999999,0.0,28.3129
