Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),TC loss (%)
1,0,0,7,0,0,56.0,-1.0,-1.0,-1.0,8.0,13.5,22.5,0.0,-1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.444444444,10000.0,0.0,0.0,23.79162677
1,0,0,7,0,0,56.0,-1.0,-1.0,-1.0,8.0,25.0,22.5,0.0,-1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.444444444,10000.0,0.0,0.0,13.35194357
1,0,0,7,0,0,56.0,-1.0,-1.0,-1.0,8.0,38.0,22.5,0.0,-1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.444444444,10000.0,0.0,0.0,21.21206281
0,0,0,4,1,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.1,58.4,0.0,0.0,45.0,0,5.6,0.0,4,4.038,0.0,0.0,0.0,0.217,36.77
0,0,0,4,1,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.1,56.2,0.0,0.0,40.0,0,5.8,0.0,4,4.536,0.0,0.0,0.0,0.264,45.06
0,0,0,4,1,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.1,58.8,0.0,0.0,35.0,0,5.7,0.0,4,5.317,0.0,0.0,0.0,0.292,43.65
0,0,0,4,1,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.1,60.9,0.0,0.0,30.0,0,5.7,0.0,4,5.783,0.0,0.0,0.0,0.714,50.1
0,0,0,4,1,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.1,61.9,0.0,0.0,25.0,0,6.0,0.0,4,5.83,0.0,0.0,0.0,0.746,53.43
0,0,0,6,1,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.1,61.9,0.0,0.0,20.0,0,6.7,0.0,4,5.878,0.0,0.0,0.0,0.867,56.34
0,0,0,6,1,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.1,64.5,0.0,0.0,15.0,0,6.82,0.0,4,6.539,0.0,0.0,0.0,1.042,54.84
0,0,0,6,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.1,65.3,0.0,0.0,11.7,0,6.92,0.0,4,7.163,0.0,0.0,0.0,1.051,56.57
0,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,0.0,0.00025,50.0,17.85714286,1.52,23.45394737,0,8.3,35.65,4,0.0,0.224,0.056,0.028,0.0,67.8621
10,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,6.414309273643399,0.00025,50.0,11.9047619,1.04,22.89423077,0,7.2,23.81,1,0.0,0.336,0.084,0.042,0.0,68.5241
12,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,6.414309273643399,0.00025,50.0,11.9047619,1.02,23.34313725,0,8.3,23.81,3,0.0,0.336,0.084,0.042,0.0,65.7655
10,8,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,6.414309273643399,0.00025,50.0,11.9047619,1.03,23.11650485,0,7.5,23.81,2,0.0,0.336,0.084,0.042,0.0,68.0828
0,0,0,0,0,0,100.0,25.503607503607505,-1.0,0.0,1.0,0.0,0.00025,50.0,8.928571429,1.0,37.16,0,8.2,37.16,4,0.0,0.448,0.112,0.056,0.0,64.5517
