Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Application Rate (%DW),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Initial C/N (%),Compost volume (m3), Composting Method,M1_is Enclosed,Period (d),Initial density (kg/L),V1_Ventilation Type,V2_Ventilation Interval (min),V3_Ventilation Duration (min),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Turning times,NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),Initial GI (%),Final GI (%),CO2-C loss (%)
7,13,5,27,11,4,1,0,61.17572066115704,7.3508164957264945,2.496736884958221,40.00691635631427,20.14200193901122,0.62924918699187,2,0,68,0.4210361255636347,0,0,0,68,0.16,13,,,,14.24599012222222,,
7,13,6,27,11,4,1,0,61.17572066115704,7.3508164957264945,2.496736884958221,40.00691635631427,20.14200193901122,0.62924918699187,2,0,68,0.4210361255636347,0,0,0,68,0.16,13,,,,14.24599012222222,,
7,13,7,27,11,4,1,0,61.17572066115704,7.3508164957264945,2.496736884958221,40.00691635631427,20.14200193901122,0.62924918699187,2,0,68,0.4210361255636347,0,0,0,68,0.16,13,,,,14.24599012222222,,
7,13,8,27,11,4,1,0,61.17572066115704,7.3508164957264945,2.496736884958221,40.00691635631427,20.14200193901122,0.62924918699187,2,0,68,0.4210361255636347,0,0,0,68,0.16,13,,,,14.24599012222222,,
7,13,9,27,11,4,1,0,61.17572066115704,7.3508164957264945,2.496736884958221,40.00691635631427,20.14200193901122,0.62924918699187,2,0,68,0.4210361255636347,0,0,0,68,0.16,13,,,,14.24599012222222,,
7,13,10,27,11,4,1,0,61.17572066115704,7.3508164957264945,2.496736884958221,40.00691635631427,20.14200193901122,0.62924918699187,2,0,68,0.4210361255636347,0,0,0,68,0.16,13,,,,14.24599012222222,,
8,13,0,27,11,4,1,0,64.36426228070177,7.12619212962963,2.145786521739131,34.86013631237929,18.58156126769767,4.210797122302148,2,0,68,0.5474800954447713,0,0,0,68,0.16,13,,,,37.83504428571429,,
8,13,1,27,11,4,1,0,64.36426228070177,7.12619212962963,2.145786521739131,34.86013631237929,18.58156126769767,4.210797122302148,2,0,68,0.5474800954447713,0,0,0,68,0.16,13,,,,37.83504428571429,,
8,13,2,27,11,4,1,0,64.36426228070177,7.12619212962963,2.145786521739131,34.86013631237929,18.58156126769767,4.210797122302148,2,0,68,0.5474800954447713,0,0,0,68,0.16,13,,,,37.83504428571429,,
8,13,3,27,11,4,1,0,64.36426228070177,7.12619212962963,2.145786521739131,34.86013631237929,18.58156126769767,4.210797122302148,2,0,68,0.5474800954447713,0,0,0,68,0.16,13,,,,37.83504428571429,,
8,13,4,27,11,4,1,0,64.36426228070177,7.12619212962963,2.145786521739131,34.86013631237929,18.58156126769767,4.210797122302148,2,0,68,0.5474800954447713,0,0,0,68,0.16,13,,,,37.83504428571429,,
8,13,5,27,11,4,1,0,64.36426228070177,7.12619212962963,2.145786521739131,34.86013631237929,18.58156126769767,4.210797122302148,2,0,68,0.5474800954447713,0,0,0,68,0.16,13,,,,37.83504428571429,,
8,13,6,27,11,4,1,0,64.36426228070177,7.12619212962963,2.145786521739131,34.86013631237929,18.58156126769767,4.210797122302148,2,0,68,0.5474800954447713,0,0,0,68,0.16,13,,,,37.83504428571429,,
8,13,7,27,11,4,1,0,64.36426228070177,7.12619212962963,2.145786521739131,34.86013631237929,18.58156126769767,4.210797122302148,2,0,68,0.5474800954447713,0,0,0,68,0.16,13,,,,37.83504428571429,,
8,13,8,27,11,4,1,0,64.36426228070177,7.12619212962963,2.145786521739131,34.86013631237929,18.58156126769767,4.210797122302148,2,0,68,0.5474800954447713,0,0,0,68,0.16,13,,,,37.83504428571429,,
8,13,9,27,11,4,1,0,64.36426228070177,7.12619212962963,2.145786521739131,34.86013631237929,18.58156126769767,4.210797122302148,2,0,68,0.5474800954447713,0,0,0,68,0.16,13,,,,37.83504428571429,,
8,13,10,27,11,4,1,0,64.36426228070177,7.12619212962963,2.145786521739131,34.86013631237929,18.58156126769767,4.210797122302148,2,0,68,0.5474800954447713,0,0,0,68,0.16,13,,,,37.83504428571429,,
10,13,0,27,11,4,1,0,64.91262120505252,7.71792520618557,2.095294273450625,40.47600779048685,20.140495517390526,0.6277154746460174,2,0,68,0.4134677059232479,0,0,0,68,0.16,13,,,,27.75084380985916,,
10,13,1,27,11,4,1,0,64.91262120505252,7.71792520618557,2.095294273450625,40.47600779048685,20.140495517390526,0.6277154746460174,2,0,68,0.4134677059232479,0,0,0,68,0.16,13,,,,27.75084380985916,,
10,13,2,27,11,4,1,0,64.91262120505252,7.71792520618557,2.095294273450625,40.47600779048685,20.140495517390526,0.6277154746460174,2,0,68,0.4134677059232479,0,0,0,68,0.16,13,,,,27.75084380985916,,
10,13,3,27,11,4,1,0,64.91262120505252,7.71792520618557,2.095294273450625,40.47600779048685,20.140495517390526,0.6277154746460174,2,0,68,0.4134677059232479,0,0,0,68,0.16,13,,,,27.75084380985916,,
10,13,4,27,11,4,1,0,64.91262120505252,7.71792520618557,2.095294273450625,40.47600779048685,20.140495517390526,0.6277154746460174,2,0,68,0.4134677059232479,0,0,0,68,0.16,13,,,,27.75084380985916,,
10,13,5,27,11,4,1,0,64.91262120505252,7.71792520618557,2.095294273450625,40.47600779048685,20.140495517390526,0.6277154746460174,2,0,68,0.4134677059232479,0,0,0,68,0.16,13,,,,27.75084380985916,,
10,13,6,27,11,4,1,0,64.91262120505252,7.71792520618557,2.095294273450625,40.47600779048685,20.140495517390526,0.6277154746460174,2,0,68,0.4134677059232479,0,0,0,68,0.16,13,,,,27.75084380985916,,
10,13,7,27,11,4,1,0,64.91262120505252,7.71792520618557,2.095294273450625,40.47600779048685,20.140495517390526,0.6277154746460174,2,0,68,0.4134677059232479,0,0,0,68,0.16,13,,,,27.75084380985916,,
10,13,8,27,11,4,1,0,64.91262120505252,7.71792520618557,2.095294273450625,40.47600779048685,20.140495517390526,0.6277154746460174,2,0,68,0.4134677059232479,0,0,0,68,0.16,13,,,,27.75084380985916,,
10,13,9,27,11,4,1,0,64.91262120505252,7.71792520618557,2.095294273450625,40.47600779048685,20.140495517390526,0.6277154746460174,2,0,68,0.4134677059232479,0,0,0,68,0.16,13,,,,27.75084380985916,,
10,13,10,27,11,4,1,0,64.91262120505252,7.71792520618557,2.095294273450625,40.47600779048685,20.140495517390526,0.6277154746460174,2,0,68,0.4134677059232479,0,0,0,68,0.16,13,,,,27.75084380985916,,
