Additive_3,Turning times,V2_Ventilation Interval (min), Composting Method,V1_Ventilation Type,Initial Moisture Content (%),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Additive_1,Initial pH,Material_2,V3_Ventilation Duration (min),Initial C/N (%),M1_is Enclosed,V4_Ventilation Day,Additive_2,Additive_4,Compost volume (m3),Initial GI (%),Material_3,Material_Main,Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,6.0,0.0,Trough,None,72.9950321928908,4.279318140693603,0.0,Sand,11.411916251437102,Woody peat,0.0,6.533749966388209,1.0,0.0,Ca-superphosphate,None,0.314,27.32884658064516,Byproduct,Green waste,54.0,1.4280600332415827,9.330587194192535,92.13188100000004,9.662064760094832,1.2059333324432373,0.1919796390396758,24.79494922563736
None,4.0,0.0,Trough,None,47.17203332235365,2.4313178611643487,0.0,Sodium salt,11.512549755729395,Straw,0.0,6.955141534031821,1.0,0.0,DCD,None,0.314,27.32884658064516,Straw,Green waste,16.0,1.4280600332415827,9.932359650289394,93.5025,8.889038823895126,0.6610634922981262,0.1614067928516885,27.626671034805877
None,0.0,0.0,Trough,Continuous,62.54147967885771,0.773027994587655,2.099776560467,None,10.778726556926436,Byproduct,22.530411704233234,29.59591352858872,0.0,47.0,None,None,0.314,27.328846580645163,Byproduct,Green waste,49.0,1.4280600332415827,42.26474125745142,92.33485,6.1373235269380055,1.3687269687652588,0.1810780141203279,23.562585062595332
None,4.0,0.0,Windrow,None,70.06663409712306,2.5321466093937914,0.0,MgHPO₄,7.9302789567914065,Husk,0.0,18.255353917908288,0.0,0.0,Potassium phosphate,None,0.314,27.328846580645163,None,Green waste,57.0,1.4280600332415827,25.125878570009405,92.68564000000003,6.910093584472732,0.5608320832252502,0.1712786798668886,1000000.0
None,9.0,730.0,Windrow,Intermittent ,80.79364339261028,8.355908191929093,5.814229186062876,Sodium phosphates,10.492498314171304,Straw,39.69882379020059,23.11841804918844,0.0,77.0,Potassium phosphate,None,0.314,27.32884658064516,Straw,Green waste,94.0,1.4280600332415827,33.01448884781685,93.14663366666665,8.191080856590206,1.0089346170425415,0.1582415373073019,24.064733764053244
None,2.0,0.0,Trough,None,83.16857019104825,5.0043708755747645,0.0,Urea,8.483717684029134,Sawdust,0.0,43.67505504274783,0.0,0.0,None,None,0.314,27.32884658064516,Green waste,Green waste,42.0,1.4280600332415827,62.370600556174416,94.99159600000004,7.672984928488447,1.519433856010437,0.1485671882313932,21.277823824896267
None,7.0,1223.0,Reactor,Intermittent ,71.05895127220145,1.4725870452774856,3.557911243138587,Inorganic acid,10.47920257771666,Byproduct,23.97646331091512,13.355403899473536,1.0,2.0,Potassium phosphate,None,0.314,27.328846580645163,Straw,Green waste,35.0,1.4280600332415827,19.072318536636946,94.7616336666667,6.445873105301496,1.0997250080108645,0.1797215454618828,26.06508005700281
None,27.0,0.0,Windrow,None,74.52979590936697,3.5617046801007177,0.0,Sodium phosphates,6.327412049826762,None,0.0,22.15947679979018,0.0,0.0,Organic acid,None,0.314,27.32884658064516,Straw,Green waste,31.0,1.4280600332415827,31.645063175324445,93.506003,6.874322986015757,0.8403624296188354,0.1519554904325078,24.24145338574917
None,5.0,417.0,Windrow,Intermittent ,64.41778626910896,3.0837294742820176,9.221422213727315,Lime,5.675386533897215,Byproduct,6.9979028414805,14.861042326579431,0.0,3.0,Microbiological agent,None,0.314,27.328846580645163,Straw,Green waste,45.0,1.4280600332415827,21.22246059889959,93.22283566666668,5.184769009346613,1.2090375423431396,0.1518608342547488,20.865540431724504
None,9.0,0.0,Trough,None,73.99671878904093,2.31766221005432,0.0,Mature compost,11.615370815091554,Straw,3.443747749422519,9.24646275747246,0.0,0.0,MgSO₄,None,0.314,27.32884658064516,Byproduct,Green waste,15.0,1.3687204832780575,13.20450391280318,92.428293,1000000.0,1000000.0,1000000.0,1000000.0
