Material_2,M1_is Enclosed,Initial C/N (%),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Turning times,V4_Ventilation Day,Material_3,Initial pH,Period (d),Additive_1,Compost volume (m3),V2_Ventilation Interval (min),Additive_3,Initial Moisture Content (%),Initial GI (%),Additive_4,Additive_2,Material_Main,V3_Ventilation Duration (min),Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Plastic tube pieces,0.0,37.013339067155854,Continuous,Trough,2.774226982082828,24.0,55.0,Green waste,7.35236973228329,112.0,Sodium salt,2.147162565177521,0.0,None,81.5812468016019,27.32884658064516,None,Zeolite,Cattle manure,38.93478646074329,2.5935984847284432,1.596639959668374,59.096976195375575,113.99782000000006,9.346144814847474,1.0513592958450315,0.2205381700931644,24.348553898797896
Plastic tube pieces,0.0,43.3980770134301,Continuous,Trough,2.8100172034719604,20.0,40.0,Mature compost,8.828750967859504,53.0,K₂SO₄,2.147162565177521,0.0,None,47.627152480715694,27.32884658064516,None,Ca-superphosphate,Cattle manure,52.95050416490075,5.673950906298042,1.596639959668374,69.29110393240802,113.52391200000004,7.565260621976837,1.140327215194702,0.2088543962410565,26.01895781962557
Byproduct,0.0,39.84329662660619,Continuous,Trough,9.46399901390802,8.0,4.0,None,11.6863724638674,110.0,Lignite,2.147162565177521,0.0,None,73.08202975521704,27.32884658064516,None,Potassium phosphate,Cattle manure,53.16448894069181,0.2367547720255447,1.596639959668374,63.61539951895957,115.35215500000008,5.806571921111816,0.623130202293396,0.1912915899365774,22.710303193651264
Plastic tube pieces,1.0,13.938066932928642,Continuous,Trough,3.765032156034596,31.0,21.0,Mature compost,9.821348024271554,89.0,K₂SO₄,2.147162565177521,0.0,None,64.0717156260188,27.32884658064517,None,Potassium phosphate,Cattle manure,49.03215465822531,3.307381572941637,1.596639959668374,24.92047662816136,112.85611600000009,9.409433603053042,0.948457896709442,0.1824706641639991,1000000.0
Plastic tube pieces,0.0,44.07795898075,Continuous,Windrow,0.5089336190238936,4.0,4.0,None,11.660390802889664,132.0,MgO,2.147162565177521,0.0,None,63.821903417391006,27.32884658064516,None,Gypsum,Cattle manure,48.914647499952,6.639176940394997,1.596639959668374,70.37663064928893,117.25832900000005,6.304206541871844,0.9738709926605223,0.1915711657586406,20.85052256714893
Green waste,1.0,40.04983905000458,Continuous,Trough,5.0202712271236685,0.0,1.0,None,5.652024871825556,14.0,MgSO₄,2.147162565177521,0.0,None,60.82953440164492,27.32884658064516,None,Ca-superphosphate,Cattle manure,46.15796835457901,0.6537880682405084,1.596639959668374,63.94517340552418,115.85580800000004,8.72740416688457,1.1350599527359009,0.2481372893025343,27.013709775296377
Husk,0.0,44.95989595331764,Continuous,Windrow,9.793049394533831,11.0,2.0,Poultry manure,10.74492616925088,81.0,Labile carbon source,2.147162565177521,0.0,None,76.59884669211729,27.32884658064516,None,Organic acid,Cattle manure,47.80860048570544,9.13849058474238,1.596639959668374,71.78476646159938,116.34918100000004,5.905688061821661,1.058560848236084,0.1796330630028698,21.946362222163607
Plastic tube pieces,1.0,33.15248520280682,Continuous,Trough,3.480890900749456,0.0,3.0,Poultry manure,10.098476624623451,47.0,Labile carbon source,2.147162565177521,0.0,None,56.48358363106794,27.32884658064516,None,DCD,Cattle manure,50.93421739798284,0.8505953183379589,1.596639959668374,52.93258263711585,115.75569800000008,8.342514648622059,1.0458829402923584,0.2309164742893764,23.9688267809325
Green waste,1.0,17.417635734412233,Continuous,Windrow,8.874896471011546,10.0,0.0,Green waste,5.193778712619505,32.0,LB Culture,2.147162565177521,0.0,None,80.0246074668324,27.32884658064516,None,Gypsum,Cattle manure,39.67269168979918,2.1012897397243857,1.596639959668374,27.80969321651038,115.55487600000008,9.474676169118204,0.960411250591278,0.2154332063928922,27.053295019550585
Sawdust,0.0,32.57579841898093,Continuous,Trough,1.3665871954884825,10.0,48.0,Byproduct,11.849785821922602,115.0,Organic acid,2.147162565177521,0.0,None,69.99507777516527,27.328846580645163,None,None,Cattle manure,40.87586675373318,4.248954481505346,1.596639959668374,52.0118214738468,113.79910900000006,10.935531775888386,1.0530587434768677,0.2016713234975836,26.23549519689258
Green Waste,0.0,14.51605741374097,Continuous,Trough,0.6856189770199961,9.0,4.0,Mature compost,6.922084914527095,66.0,MgSO₄,2.147162565177521,0.0,None,77.29796812344432,27.32884658064516,None,Microbiological agent,Cattle manure,48.49836715817346,6.430589348916323,1.596639959668374,23.176917323619183,115.83532000000008,6.873386181214976,0.8804581165313721,0.1730683948317804,22.91238627908145
Straw,1.0,41.124071989769845,Continuous,Windrow,7.146514179180859,28.0,5.0,None,5.131750570367157,23.0,Organic acid,2.147162565177521,0.0,None,62.965765276111725,27.32884658064516,None,Zeolite,Cattle manure,35.570604619142934,9.953249079879845,1.596639959668374,65.66033664314544,116.13862700000006,10.33606546797692,0.9028897881507874,0.2040216763209938,29.21589452511219
Plastic tube pieces,1.0,39.58223918961957,Continuous,Windrow,0.8363462081657469,9.0,83.0,Byproduct,10.46231405055343,96.0,Calcium magnesium phosphate fertilizer,2.147162565177521,0.0,None,83.09363754432434,27.32884658064516,None,None,Cattle manure,46.581064153641066,0.5590850555575644,1.596639959668374,63.19858478329812,115.44158800000004,10.141298582887323,1.1671441793441772,0.2201393283070043,24.569237215043373
Green Waste,0.0,14.65713613608811,Continuous,Trough,7.285750826045769,28.0,4.0,None,6.284099193956408,94.0,Sulfur,2.147162565177521,0.0,None,53.67640881281588,27.32884658064516,None,Calcium magnesium phosphate fertilizer,Cattle manure,40.73242814100709,9.191596507200208,1.596639959668374,23.402169249177582,114.56102800000008,6.671794992588878,1.1026066541671753,0.1668315892961763,24.56603888576963
Straw,1.0,26.916913713606974,Continuous,Trough,0.9074643818289112,12.0,1.0,Poultry manure,5.451724904318009,17.0,None,2.147162565177521,0.0,None,72.3369204920983,27.328846580645163,None,None,Cattle manure,37.85364193856071,9.182478240034373,1.596639959668374,42.97662002609054,115.97531300000004,10.670120794769012,0.7776792049407959,0.2660083660175914,30.51627971850793
Byproduct,1.0,18.216733107858545,Intermittent ,Windrow,0.0630774393581579,8.0,4.0,Green waste,10.845408543227771,18.0,Ferric salt,2.147162565177521,1046.0,None,80.51386899840602,27.32884658064516,None,MgO,Cattle manure,47.09800938280429,1.145388366800465,1.596639959668374,29.0855640146208,114.40789500000004,9.46977250531632,0.6579893231391907,0.1437748230667891,27.53039099716351
Straw,0.0,14.437392629990132,Continuous,Windrow,5.281111904043387,8.0,5.0,None,11.41141983665046,21.0,Carbonatite,2.147162565177521,0.0,None,51.73134143780661,27.32884658064516,None,None,Cattle manure,57.543333571138525,4.643997437062962,1.596639959668374,23.051317986463925,114.18913300000008,5.815221756075295,0.897016167640686,0.1335942473716019,30.377986787311624
Green waste,1.0,14.017498119449044,Continuous,Trough,1.147949093446215,11.0,8.0,Poultry manure,10.832349370838362,35.0,MgO,2.147162565177521,0.0,None,66.41391065362598,27.32884658064516,None,Calcium magnesium phosphate fertilizer,Cattle manure,37.08627910477523,3.5020812423879537,1.596639959668374,22.54723405262825,115.90256100000006,9.732330997400508,1.0318279266357422,0.2008041032823586,1000000.0
Green Waste,0.0,42.44918297577141,Continuous,Trough,6.846934590705054,21.0,8.0,Green waste,11.28626166070728,41.0,Microbiological agent,2.147162565177521,0.0,None,61.05932991388235,27.32884658064516,None,Gypsum,Cattle manure,45.600004330396814,4.180341734238893,1.596639959668374,67.7760617943911,115.57122600000004,6.972241905849315,0.9278679490089417,0.2169451459789176,26.16837553681789
