V2_Ventilation Interval (min),Additive_2,V3_Ventilation Duration (min),Initial GI (%),M1_is Enclosed, Composting Method,V1_Ventilation Type,Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),Material_Main,V4_Ventilation Day,Application Rate (%DW),Turning times,Material_3,Additive_1,Additive_4,Initial Moisture Content (%),Compost volume (m3),Period (d),Additive_3,Initial pH,Material_2,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1115.0,DCD,8.369331016080157,27.32884658064516,1.0,Trough,Intermittent ,13.017887414953549,1.291758299220874,Poultry manure,1.0,3.23402601056962,16.0,Byproduct,Sodium phosphates,None,77.30054685049566,0.6292491869918699,109.0,None,6.017840812053352,Husk,2.4967368849582217,32.50223967314796,109.18721400000004,1.516532334304238,-0.0318967886269092,0.1494325393659773,19.447349708726005
1062.0,Gypsum,33.97883760092133,27.328846580645163,1.0,Reactor,Intermittent ,5.359512794683557,4.2540316037977846,Poultry manure,7.0,8.020479953409502,5.0,Byproduct,Sulfur,None,73.38191424152583,0.6292491869918699,93.0,None,5.963169878941739,Woody peat,2.4967368849582217,13.381293279891956,112.406194,-0.7056099409605621,0.5161037445068359,0.1128935038948593,21.034452175803036
0.0,Calcium magnesium phosphate fertilizer,0.2767035794527216,27.32884658064516,1.0,Trough,None,5.027221098161149,0.0227472853402758,Poultry manure,0.0,2.2828223666663847,23.0,Poultry manure,Microbiological agent,None,64.71225151841979,0.6292491869918699,72.0,None,11.776031514229174,Sawdust,2.4967368849582217,12.55164834461912,108.47647000000002,4.087849895932921,0.4069373905658722,0.1684800618933442,25.693328575076677
0.0,Ca-superphosphate,0.0,27.618405955083592,1.0,Trough,None,15.796369658028084,0.0,Poultry manure,0.0,1.335100217069517,18.0,Byproduct,Sodium salt,None,82.74321638840034,0.6292491869918699,66.0,None,10.172378251570557,Sawdust,2.4967368849582217,39.43937877363361,108.45254700000008,2.237137231734204,0.3897009491920471,0.1831422602224276,22.032097892527027
0.0,Biochar,0.0,27.32884658064516,1.0,Trough,None,5.033224470199612,0.0,Poultry manure,0.0,6.317465870633757,17.0,Byproduct,MgHPO₄,None,71.29569353662271,0.6292491869918699,71.0,None,5.614058622830418,Plastic tube pieces,2.4967368849582217,12.566637185021676,110.56197800000004,3.901635389769666,0.1193804666399955,0.1792979532554133,21.58853868218027
425.0,Biochar,7.748629724754048,27.32884658064516,1.0,Reactor,Intermittent ,7.355378579387588,4.964560725414988,Poultry manure,47.0,6.806981757296441,15.0,Byproduct,Carbonatite,None,55.1741959107892,0.6292491869918699,60.0,None,7.7543591353240435,Straw,2.4967368849582217,21.402760617821187,108.595975,6.0255116818357966,0.4841536581516266,0.1370955650351742,1000000.0
0.0,Calcium magnesium phosphate fertilizer,0.0,27.32884658064516,1.0,Trough,None,5.175865717397069,0.0,Poultry manure,0.0,9.579150092579964,4.0,Byproduct,Lignite,None,78.0442434914491,0.6292491869918699,66.0,None,11.227823153040896,Byproduct,2.4967368849582217,12.922774848216008,110.57222800000004,4.617549698224947,0.4212497174739837,0.2347763547717738,16.6274615506737
0.0,Calcium magnesium phosphate fertilizer,0.0,27.32884658064516,1.0,Reactor,None,7.773657328156606,0.0,Poultry manure,0.0,2.2892922002158445,31.0,Byproduct,Biochar,None,51.52546238324261,0.6292491869918699,78.0,None,4.557978240671913,Straw,2.4967368849582217,19.40877698223437,108.30496200000005,4.609178272273394,0.5123537182807922,0.0707421212128312,20.981766179258837
484.0,DCD,9.935949749412591,27.328846580645163,1.0,Trough,Intermittent ,37.64278767543134,2.3293045770702125,Poultry manure,41.0,2.404545360159746,13.0,Byproduct,Urea,None,74.46185658870502,0.6292491869918699,106.0,None,6.166852666643781,Byproduct,2.4967368849582217,93.98413644190018,109.13928400000005,2.1577129866771223,0.1605716943740844,0.1509560485414779,1000000.0
0.0,Calcium magnesium phosphate fertilizer,0.2514832891890941,27.32884658064516,1.0,Reactor,None,13.445239995877678,0.0,Poultry manure,0.0,5.871054631135461,6.0,Byproduct,Sodium salt,None,52.51720016316816,0.6292491869918699,121.0,None,6.559556127454616,Husk,2.4967368849582217,33.56922662482333,108.53833300000002,2.2122674764424146,0.2264182418584823,0.1486969341100298,15.719231634245164
