Material_2,Initial pH,Additive_1,Initial GI (%),Material_Main,Additive_2,V5_Ventilation rate (L/min/kg iniDW),V4_Ventilation Day,Application Rate (%DW),Turning times,Additive_4, Composting Method,Compost volume (m3),V1_Ventilation Type,Period (d),Additive_3,Initial Moisture Content (%),Initial C/N (%),V2_Ventilation Interval (min),V3_Ventilation Duration (min),M1_is Enclosed,Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,4.339752599764431,Forsterite,27.328846580645163,Swine manure,DCD,5.652819325619386,4.0,5.681076975235731,0.0,None,Windrow,0.6277154746460176,Intermittent ,82.0,None,71.63754094419984,21.81022062283532,715.0,31.08423983910769,0.0,Byproduct,2.0952942734506244,45.69883037372156,101.696503,6.943477152074872,0.5647628307342529,0.1347891218645664,18.541167298559834
Woody peat,5.202818540833453,Carbonatite,27.328846580645163,Swine manure,Biochar,7.407527513547047,17.0,6.992297091208133,15.0,None,Windrow,0.6277154746460176,Intermittent ,29.0,None,72.11494339737916,5.203613796973931,1173.0,28.61562735058803,0.0,Byproduct,2.0952942734506244,10.903102190048138,104.11865599999996,6.199772818540481,0.5258763432502747,0.1664129885773855,26.97711042563597
None,8.333032012382454,Labile carbon source,27.32884658064516,Swine manure,Ca-superphosphate,1.3069847396224987,2.0,4.5056464593473535,3.0,None,Trough,0.6277154746460176,Intermittent ,22.0,None,49.33577058303923,25.111533385814145,792.0,26.896766190701637,1.0,Straw,2.0952942734506244,52.61605210086054,101.222397,7.358360377640696,0.8335433006286621,0.1678236760338056,24.90450490785498
None,5.49929823308911,Biochar,27.32884658064516,Swine manure,Zeolite,9.379786688377065,6.0,8.990975240334803,29.0,None,Windrow,0.6277154746460176,Intermittent ,34.0,None,45.74416007843791,11.532016579716888,880.0,57.90020751050756,1.0,Byproduct,2.0952942734506244,24.16296830081845,102.14399999999998,7.201282482687209,0.5028571486473083,0.1905344570052744,24.30555711957699
Soil,5.347780707437504,Microbiological agent,27.32884658064516,Swine manure,Gypsum,9.220413640877808,0.0,9.456587937345857,21.0,None,Reactor,0.6277154746460176,Intermittent ,13.0,None,49.5420019498611,36.60928049915104,61.0,29.899018380835024,1.0,Green waste,2.0952942734506244,76.70721578501879,103.194396,4.92315021168759,0.5241199731826782,0.2094692552453693,27.49027790190278
Sawdust,6.099401805616973,K₂SO₄,27.32884658064516,Swine manure,None,7.149378227398789,15.0,3.856725899902064,14.0,None,Windrow,0.6277154746460176,Intermittent ,42.0,None,44.807980948644285,30.233978518279617,106.0,1.0137070128386494,0.0,Mature compost,2.0952942734506244,63.34908205298048,98.85652899999997,6.687204015955397,1.22587251663208,0.1865154680149524,25.605896133377566
Byproduct,6.178977178831242,K₂SO₄,27.32884658064516,Swine manure,DCD,3.692689990273916,6.0,3.389188341798623,19.0,None,Reactor,0.6277154746460176,Intermittent ,64.0,None,67.23156892954455,34.44194583203559,626.0,48.8869900245658,1.0,Straw,2.0952942734506244,72.16601186836078,100.79017499999998,7.591551702797983,0.308994710445404,0.1623903614850023,21.883099783852423
Sawdust,5.180385960148937,Mature compost,27.32884658064516,Swine manure,Microbiological agent,8.68489453019867,20.0,6.373855595412099,2.0,None,Reactor,0.6277154746460176,Intermittent ,41.0,None,58.35304808270116,4.970549906856272,662.0,54.910162132346365,1.0,Green waste,2.0952942734506244,10.41476475573648,103.34438099999996,5.109470959271378,0.5677825212478638,0.1616386320409307,24.874677493691756
Husk,6.245316618983553,MgHPO₄,27.32884658064516,Swine manure,Microbiological agent,6.373567331270388,0.0,3.5745948129105534,13.0,None,Windrow,0.6277154746460176,Intermittent ,102.0,None,43.58078082935222,11.126581266190392,973.0,36.29028516499456,1.0,Poultry manure,2.0952942734506244,23.31346201013173,102.52800299999998,7.49377398007552,0.5465070605278015,0.1770038966598212,25.044038437982795
Husk,6.545109918632882,MgCl₂,27.32884658064516,Swine manure,Microbiological agent,6.640368634732869,21.0,0.5600526255324056,11.0,None,Trough,0.6277154746460176,Intermittent ,33.0,None,75.6902119824685,4.901227960405845,369.0,29.9137743538723,0.0,Straw,2.0952942734506244,10.269514878314451,104.67638699999992,7.0484238931963,0.577278733253479,0.1999018111856171,27.93569697171539
