Period (d),Initial GI (%),Initial pH, Composting Method,Compost volume (m3),Application Rate (%DW),Additive_2,V2_Ventilation Interval (min),Material_3,Initial Moisture Content (%),M1_is Enclosed,V5_Ventilation rate (L/min/kg iniDW),Turning times,Material_Main,Initial C/N (%),Additive_4,V1_Ventilation Type,V3_Ventilation Duration (min),V4_Ventilation Day,Additive_3,Material_2,Additive_1,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
115.0,27.32884658064516,8.064994098552006,Reactor,4.210797122302158,1.230424809698646,Biochar,0.0,Mature compost,71.54821880621753,1.0,0.0,10.0,Sewage sludge,6.653433498538618,None,None,0.0,0.0,None,Woody peat,K₂SO₄,2.1457865217391303,14.276847924451795,95.985024,1.42936858934075,0.9260995388031006,0.2585131146281652,26.449898212724623
95.0,27.32884658064516,11.85500826352709,Trough,4.210797122302158,4.561777315299156,Microbiological agent,0.0,Straw,53.05989786444223,0.0,2.921314702799057,22.0,Sewage sludge,44.67989290965804,None,Continuous,3.8701181432603815,77.0,None,Husk,Carbonatite,2.1457865217391303,95.87351199829196,96.08370300000004,5.455723718247271,0.8577650785446167,0.2006482298249038,26.801523993049745
56.0,27.32884658064516,11.996383031850064,Reactor,4.210797122302158,0.7252037633126274,DCD,0.0,Byproduct,79.48753118679159,1.0,0.0,25.0,Sewage sludge,13.10519870570391,None,None,0.0,0.0,None,Green Waste,Zeolite,2.1457865217391303,28.120958747412544,96.217684,3.5762766649174704,1.0096160173416138,0.240834172851092,25.35614196723796
15.0,27.32884658064516,9.61784561587904,Windrow,4.210797122302158,2.215320739523823,Inorganic acid,0.0,Byproduct,50.3790643169668,1.0,0.0,19.0,Sewage sludge,13.10232022449414,None,None,0.0,0.0,None,Green Waste,Sand,2.1457865217391303,28.11478214122954,95.259458,2.682361042922824,1.018607497215271,0.1982922319137325,30.7011138709692
116.0,27.32884658064516,9.60660118842885,Reactor,4.210797122302158,3.18579424688082,DCD,0.0,Green waste,51.55826590008889,1.0,9.012861980260912,7.0,Sewage sludge,39.09310352791264,None,Continuous,2.0510108653138626,63.0,None,Husk,MgSO₄,2.1457865217391303,83.88545464314738,96.74306800000004,6.1863912359841455,0.8304425477981567,0.2100743684048595,26.39859977247167
108.0,27.328846580645163,5.970576417825867,Windrow,4.210797122302158,2.350305729542137,Potassium phosphate,0.0,Mature compost,52.99698704156845,0.0,2.651026891590307,16.0,Sewage sludge,8.061428751078548,None,Continuous,29.317613136258785,83.0,None,Woody peat,MgO,1.1016240162022504,17.298105160024658,96.567811,1000000.0,1000000.0,1000000.0,1000000.0
122.0,27.32884658064516,8.534073078498997,Windrow,4.210797122302158,6.044578215335462,Organic acid,0.0,Poultry manure,78.12134718319538,0.0,9.214918277230613,6.0,Sewage sludge,30.133881792716508,None,Continuous,4.954318967437869,80.0,None,Soil,Microbiological agent,2.1457865217391303,64.66087739849127,98.28567400000004,6.450958644284935,1.0732425451278689,0.185597196288059,29.248690068664832
34.0,27.32884658064516,11.81002526785634,Windrow,4.210797122302158,0.9812536683954932,Gypsum,0.0,Green waste,72.58564879878604,0.0,0.0,25.0,Sewage sludge,24.522127432995838,None,None,0.0,0.0,None,Byproduct,Forsterite,2.1457865217391303,52.61925053009184,96.109774,1.821352727486694,1.0096160173416138,0.2082003477853203,27.839393341038203
79.0,27.32884658064516,4.330234730987887,Reactor,4.210797122302158,2.423349683300384,MgSO₄,0.0,Mature compost,81.85613861389642,1.0,5.332581699939699,17.0,Sewage sludge,14.951783927620678,None,Continuous,2.924630921362459,57.0,None,Soil,Clay,2.1457865217391303,32.08333642784421,99.22409100000004,6.931697033138898,0.4835424423217773,0.2076501169951739,26.884333018462808
56.0,27.32884658064516,8.418219660777808,Trough,4.210797122302158,6.567656267915385,DCD,0.0,Mature compost,67.23364035546211,0.0,0.0,13.0,Sewage sludge,22.444716149152523,None,None,0.0,0.0,None,Byproduct,Labile carbon source,2.1457865217391303,48.16156939711208,95.151548,2.418022425620224,1.0170817375183103,0.2391877857050095,28.035677864434707
99.0,27.328846580645163,5.079841788463982,Trough,4.210797122302158,6.597651258374796,Organic acid,0.0,Mature compost,72.69403553954415,1.0,0.0,21.0,Sewage sludge,16.617319873750155,None,None,0.0,0.0,None,Husk,Mg(OH)₂,2.1457865217391303,35.65722101252087,95.151548,1.88980345522376,0.6996117830276489,0.2408830403422614,23.631636514695717
61.0,27.32884658064516,5.879562231506438,Trough,4.210797122302158,0.4907366814873148,DCD,0.0,Byproduct,63.32556119163822,0.0,0.0,18.0,Sewage sludge,26.48465013871304,None,None,0.0,0.0,None,None,Forsterite,2.1457865217391303,60.85591375521213,96.533043,1.1946325976049104,0.695666491985321,0.2024449330516951,1000000.0
90.0,27.32884658064516,5.730767341811847,Trough,4.210797122302158,3.4083786832565544,None,0.0,Byproduct,59.66961741105782,1.0,0.0,14.0,Sewage sludge,7.687690947139893,None,None,0.0,0.0,None,Byproduct,None,2.1457865217391303,16.49614361766871,95.259458,5.840847093941283,0.7011374235153198,0.2677535294693934,24.72525168599376
106.0,27.32884658064516,11.878313408902445,Reactor,4.210797122302158,0.8395587149089723,Organic acid,0.0,Byproduct,74.30559139454337,1.0,0.0,23.0,Sewage sludge,26.674889572217214,None,None,0.0,0.0,None,Byproduct,Potassium phosphate,2.1457865217391303,57.23861851294338,96.109774,3.722524906111696,1.0096160173416138,0.2415247895134915,24.49917657534552
98.0,27.32884658064516,6.338647990801741,Reactor,4.210797122302158,1.2191806673914385,DCD,1154.0,Byproduct,62.05636620870568,1.0,2.059223777782454,18.0,Sewage sludge,7.051871115529176,None,Intermittent ,1.543064533817868,63.0,None,Straw,Labile carbon source,2.1457865217391303,15.13180999274399,98.22358100000004,6.75649318477792,0.1958848237991333,0.1713940474541442,30.08234017669919
38.0,27.32884658064516,4.720447854022876,Reactor,4.210797122302158,1.2801884392117235,Microbiological agent,0.0,Mature compost,79.34637486912332,1.0,0.0,26.0,Sewage sludge,13.517865884265028,None,None,0.0,0.0,None,Husk,Mature compost,2.1457865217391303,29.006454417133103,96.217684,3.587221798402278,0.6973405480384827,0.2232182881497497,26.955402520474493
83.0,27.32884658064516,11.34228583210034,Trough,4.210797122302158,9.343870607260808,Calcium magnesium phosphate fertilizer,0.0,None,68.46424517807813,1.0,6.819392512712014,25.0,Sewage sludge,21.233876913535205,None,Continuous,3.940705887317011,60.0,None,Woody peat,Sulfur,2.1457865217391303,45.563366885331526,97.696732,6.045917037006005,1.0820616483688354,0.1875321294352704,31.03999721430382
26.0,27.32884658064516,6.533010214349346,Reactor,4.210797122302158,0.5448641195299109,Potassium phosphate,0.0,Green waste,51.273514376405785,1.0,0.0,17.0,Sewage sludge,21.24495816912712,None,None,0.0,0.0,None,Plastic tube pieces,Microbiological agent,2.1457865217391303,45.58714489422461,96.566739,4.162484442241129,0.1109076738357544,0.2722794957910083,31.035313292035887
105.0,27.32884658064516,8.657727795228267,Windrow,4.210797122302158,4.081392287539228,Zeolite,0.0,Green waste,66.63727498403492,0.0,8.308383703932813,26.0,Sewage sludge,10.07254242326924,None,Continuous,35.6789738117505,84.0,None,Soil,Ca-superphosphate,2.1457865217391303,21.613525771496736,96.475891,6.648935647715653,1.1032603979110718,0.1725319247959446,29.761542399528157
108.0,27.328846580645163,5.644126660942284,Windrow,4.210797122302158,1.034542392255366,Microbiological agent,0.0,Byproduct,67.74138373372551,1.0,0.0,6.0,Sewage sludge,7.647192948537287,None,None,0.0888729474162191,0.0,None,Sawdust,Inorganic acid,2.1457865217391303,16.409243558109832,96.674649,0.3422869619012647,0.0664631351828575,0.194389258270516,1000000.0
