V4_Ventilation Day,V1_Ventilation Type,M1_is Enclosed,Material_Main,Additive_4, Composting Method,V3_Ventilation Duration (min),Additive_2,Period (d),V2_Ventilation Interval (min),Material_2,V5_Ventilation rate (L/min/kg iniDW),Initial pH,Turning times,Initial Moisture Content (%),Additive_1,Compost volume (m3),Additive_3,Application Rate (%DW),Initial GI (%),Initial C/N (%),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
8.0,Intermittent ,0.0,Sheep manure,None,Windrow,15.965611181562366,Ca-superphosphate,47.0,846.0,Plastic tube pieces,1.4377376519421958,11.941122133791616,23.0,43.55839766643548,Labile carbon source,0.045,None,0.5154089810797269,27.32884658064516,33.516390455116024,Straw,1.97,66.02728919657856,105.728001,7.165942568810901,0.957946002483368,0.1564298548955051,28.00020713779917
18.0,Intermittent ,1.0,Sheep manure,None,Reactor,44.83564017643859,Biochar,21.0,1326.0,Husk,3.2856130581184884,5.558806074748269,15.0,45.35124680069202,Phosphogypsum,0.045,None,1.9261302026371896,27.32884658064516,31.47338506699594,Poultry manure,1.97,62.002568581982,105.57807900000002,6.3964899085174265,1.1607403755187988,0.161907371117331,26.389816262694737
0.0,None,0.0,Sheep manure,None,Windrow,0.0,DCD,109.0,0.0,Straw,0.0,6.082192481826263,3.0,44.10250506055024,Urea,0.045,None,1.0927158754111033,27.32884658064516,31.326740587298595,Green waste,1.97,62.06878597609021,104.148818,5.439947336228201,0.324369728565216,0.1710207184484506,1000000.0
0.0,None,1.0,Sheep manure,None,Trough,0.0,MgO,108.0,0.0,Straw,0.0,6.161342734796132,10.0,45.70352045099868,Biochar,0.045,None,3.941920847181063,27.32884658064516,43.629829521202254,Green waste,1.97,85.95076415676844,103.94771099999998,6.416907139053795,0.3109133839607239,0.1446432288467855,20.04687102077508
0.0,None,0.0,Sheep manure,None,Trough,0.0,DCD,118.0,0.0,Woody peat,0.0,4.3516508381129055,30.0,45.19908972320064,MgO,0.045,None,1.4435944480783554,27.32884658064516,43.26638142360055,Byproduct,1.97,85.23477140449307,104.589115,5.898954491812996,0.3161175847053528,0.1979023374579063,25.259585533478035
30.0,Intermittent ,1.0,Sheep manure,None,Windrow,42.67491892063299,Gypsum,125.0,1053.0,Woody peat,6.793801241500682,8.262991854015588,1.0,48.40456380235295,Clay,0.045,None,0.3177738026622956,27.32884658064516,41.77656054242029,Byproduct,1.97,82.29982426856797,104.709732,6.359170684722205,0.8867120146751404,0.1255205021739001,23.29794369879413
9.0,Intermittent ,1.0,Sheep manure,None,Trough,13.3859583579788,Biochar,29.0,1028.0,Husk,5.429283344889743,7.786079200810772,31.0,46.87244189620112,Clay,0.045,None,3.298056886446885,27.32884658064516,32.4715341437222,Mature compost,1.97,63.96892226313274,104.067674,7.069949713297182,0.3337842226028442,0.1674900665102227,25.058073339391918
0.0,None,0.0,Sheep manure,None,Trough,0.0,Organic acid,44.0,0.0,Sawdust,0.0,11.17299195506611,1.0,48.17508697051284,Biochar,0.045,None,0.5227825079815118,27.32884658064516,40.84748010160036,Mature compost,1.97,80.46953580015271,104.36647099999996,6.453348007400968,0.3007160425186157,0.1699180048474947,22.320598828685227
0.0,None,1.0,Sheep manure,None,Windrow,0.0,Calcium magnesium phosphate fertilizer,51.0,0.0,Sawdust,0.0,8.223230800000895,3.0,46.84909375534451,Biochar,0.045,None,1.8207590350809533,27.32884658064516,44.9115608892068,Straw,1.97,88.4757749517374,104.775693,6.449733016683811,0.271305114030838,0.2192225610021426,22.310698364735767
54.0,Intermittent ,1.0,Sheep manure,None,Trough,45.66030385997966,MgO,75.0,1235.0,Byproduct,3.983659573636376,7.292794132424527,27.0,46.55430795846465,LB Culture,0.045,None,0.3113886233903495,27.32884658064516,39.61258554640967,Mature compost,1.97,78.03679352642705,104.733941,1000000.0,1000000.0,1000000.0,1000000.0
0.0,None,0.0,Sheep manure,None,Trough,0.0,MgSO₄,125.0,0.0,Plastic tube pieces,0.0,11.607654202184278,0.0,43.791962259401,MgO,0.045,None,4.468409988878792,27.32884658064516,38.56122505061322,Byproduct,1.97,75.96561334970805,105.065271,5.407121458598185,0.3319527506828308,0.1687268864885755,17.0901906000986
4.0,Intermittent ,1.0,Sheep manure,None,Reactor,27.71682430437338,Mg(OH)₂,23.0,768.0,Sawdust,3.965736896212725,5.599367809189875,29.0,49.66070323517275,Potassium phosphate,0.045,None,2.083229500412862,27.32884658064516,38.211929106328725,Poultry manure,1.97,75.2775003394676,104.562773,6.770309118817592,1.164391279220581,0.1503694414998226,28.6064997206734
13.0,Intermittent ,1.0,Sheep manure,None,Trough,41.654344183910354,Biochar,75.0,646.0,Green Waste,0.4509039348691868,9.41107311692704,0.0,45.20951525744704,K₂SO₄,0.045,None,2.509945429395879,27.32884658064516,37.70998488889545,Mature compost,1.97,74.28867023112403,107.083911,6.678494050002637,0.3210077285766601,0.1409731634230219,21.06273061529706
5.0,Intermittent ,1.0,Sheep manure,None,Trough,47.5645126768078,MgO,37.0,424.0,Green Waste,5.423469006574483,7.298516770727111,4.0,46.80048927580201,Sulfur,0.045,None,4.37925698409211,27.32884658064516,33.161480543255706,Byproduct,1.97,65.32811667021375,105.38780099999998,6.376988420044921,0.7110748291015625,0.1525875481355437,22.25637619325767
0.0,None,0.0,Sheep manure,None,Trough,0.0,None,41.0,0.0,Green waste,0.0,9.059933945285092,27.0,48.72617894757448,Phosphogypsum,0.045,None,2.680169541883599,27.32884658064516,40.40655458061366,Mature compost,1.97,79.6009125238089,102.87500599999996,5.806864069541691,0.2481084465980529,0.1913932885411316,27.40427053678821
0.0,None,1.0,Sheep manure,None,Reactor,0.0,DCD,62.0,0.0,Byproduct,0.0,8.909080826632938,29.0,46.509821555600816,Potassium phosphate,0.045,None,1.849428004385423,27.32884658064516,36.45669948977094,None,1.97,73.50496639879849,105.064683,5.759173929575786,0.2601688206195831,0.2206255425155421,1000000.0
57.0,Intermittent ,0.0,Sheep manure,None,Trough,30.817313650949536,Calcium magnesium phosphate fertilizer,76.0,29.0,None,3.5218061623855923,5.420704471676492,29.0,48.304909214236766,LB Culture,0.045,None,9.327780998084693,27.32884658064516,40.841685998820815,Byproduct,1.97,80.458121417677,103.542704,7.098589708619685,0.3509584367275238,0.1708932916194171,25.15220508601378
0.0,None,0.0,Sheep manure,None,Windrow,0.0,Ca-superphosphate,76.0,0.0,Soil,0.0,9.560100227429553,17.0,47.21659675011626,Carbonatite,0.045,None,9.573676186379371,27.32884658064516,36.07682404220618,Mature compost,1.97,71.07134336314617,103.767538,5.379415667670538,0.1873397529125213,0.1556746710714193,25.27184087607721
64.0,Intermittent ,1.0,Sheep manure,None,Windrow,16.996680034746987,Gypsum,72.0,119.0,Sawdust,9.007736160638602,4.948402021504169,24.0,43.79185649519165,MgO,0.045,None,2.8872910598698,27.32884658064516,40.14688157733478,Byproduct,1.97,79.08935670734952,103.990562,6.916428012122602,0.7076118588447571,0.1802942835559937,27.98657442728539
0.0,None,1.0,Sheep manure,None,Reactor,0.6450410333490619,Organic acid,40.0,0.0,Byproduct,0.0,11.190024064334676,21.0,44.04068701992331,Organic acid,0.045,None,0.7580234253134899,27.328846580645163,34.599769744061014,Straw,1.97,68.1615463958002,104.50078099999996,5.267340896360976,0.330664724111557,0.2137373082159118,27.18016865461638
