M1_is Enclosed,Initial GI (%),Turning times,V1_Ventilation Type,V4_Ventilation Day,Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW), Composting Method,V3_Ventilation Duration (min),Initial C/N (%),Material_2,Additive_2,Additive_3,Application Rate (%DW),V2_Ventilation Interval (min),Compost volume (m3),Material_3,Material_Main,Period (d),Additive_4,Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,27.32884658064516,22.0,Continuous,10.0,60.44072583875037,Labile carbon source,2.7094787957482627,Trough,28.64150600759666,23.4830498987662,Plastic tube pieces,None,None,5.022356952986413,0.0,0.15181,Mature compost,OFMSW,88.0,None,10.481678265920031,1.411,33.134583407159106,93.653095,14.25782472760596,0.1662825047969818,0.2275243609642394,24.46128538748738
0.0,27.32884658064516,25.0,Continuous,29.0,55.31044430452877,Potassium phosphate,4.126590166943864,Windrow,34.082000502893024,19.287729599518208,None,Microbiological agent,None,9.57477987872918,0.0,0.15181,Green waste,OFMSW,94.0,None,5.86903598480476,1.411,27.21498646492019,93.63591100000002,14.25782472760596,0.1908517032861709,0.1798014764448398,22.35324397678041
1.0,27.32884658064516,24.0,Continuous,30.0,83.82976059421156,Mg(OH)₂,3.8863393025381407,Reactor,16.573591626088092,33.22248847904008,None,Gypsum,None,0.748462434587861,0.0,0.15181,Mature compost,OFMSW,106.0,None,8.36310781333648,1.411,46.876931243925554,93.653095,14.25782472760596,0.1662825047969818,0.2202022216177975,21.785686853741183
1.0,27.32884658064516,24.0,Continuous,55.0,75.64805138656752,Sand,3.945567384386413,Reactor,10.985124411413151,5.390656401205775,Husk,MgSO₄,None,8.247559408610401,0.0,0.15181,Mature compost,OFMSW,62.0,None,7.7624023427489615,1.411,7.606216182101349,93.653095,13.05124938350999,0.2353104501962661,0.1869653035511758,24.343041089102243
0.0,27.32884658064516,27.0,Continuous,24.0,47.48824293691376,LB Culture,1.0619183549785205,Trough,30.701727571233963,40.79642645667698,Straw,Gypsum,None,4.18711688127306,0.0,0.15181,Mature compost,OFMSW,65.0,None,6.4439347077932165,1.411,57.56375773037122,93.653095,12.745638442661294,0.1641391366720199,0.1871538869637369,22.415146642184887
1.0,27.328846580645163,12.0,Continuous,14.0,65.63792256102522,Sodium phosphates,1.1681272323196812,Windrow,28.511983355221943,8.530464042519036,Sawdust,Inorganic acid,None,7.074154883501228,0.0,0.15181,None,OFMSW,47.0,None,7.0317795577133655,1.411,12.036484763994356,93.621775,9.27779065547774,0.4426665604114532,0.1655264275953667,1000000.0
0.0,27.32884658064516,22.0,Continuous,43.0,76.64160167872251,MgO,5.265430721697126,Trough,9.664884178343948,44.672419239446704,Sawdust,None,None,0.5962329609173866,0.0,0.15181,Green waste,OFMSW,104.0,None,8.388423346178813,1.411,63.0327835468593,93.63591100000002,14.25782472760596,0.1892818063497543,0.1846935459777356,24.810961298451225
1.0,27.32884658064516,27.0,Continuous,21.0,62.83956849030298,None,3.3680964634590294,Windrow,31.110527254158683,21.034057446789262,Straw,None,None,5.8925204265261,0.0,0.15181,None,OFMSW,82.0,None,10.470516698724136,1.411,29.67905505741965,93.667775,14.25782472760596,0.1662825047969818,0.1996911749849584,25.878023823083
1.0,27.32884658064516,11.0,Continuous,29.0,71.81336996277047,Zeolite,2.7796810286324494,Reactor,57.00195780640591,26.847763221035702,Straw,Microbiological agent,None,7.634771250469114,0.0,0.15181,Mature compost,OFMSW,49.0,None,9.563275969832723,1.411,37.882193904881376,93.60709500000002,9.39057389221932,0.3311864137649536,0.2040910015172196,26.99161210055409
1.0,27.32884658064516,18.0,Continuous,54.0,67.89807976475822,Labile carbon source,2.058817582536976,Trough,53.774785420224575,22.725045283998504,Soil,Inorganic acid,None,3.554919294455935,0.0,0.15181,Mature compost,OFMSW,65.0,None,7.40266701216577,1.411,32.06503889572189,93.60709500000002,12.745638442661294,0.5369740128517151,0.2228590649688943,28.172754112352763
