M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),NH3-N loss (%)
1.0,18,0,1,9,40.0,30.0,1,30.0,690.0,6.0,15.0,0.12,62.07,36,6.82,13,15.97,21.5
1.0,18,0,1,9,40.0,30.0,1,30.0,690.0,6.0,1.46,0.31,65.17,40,7.79,13,16.35,20.2
0.75,4,0,1,3,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,12.86
0.75,4,0,3,3,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,10.23
0.75,0,0,4,3,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,41,0.49,13,20.51,9.65
0.75,0,0,0,3,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,19,0.49,13,20.51,13.45
1.0,18,0,3,8,56.0,56.0,1,0.0,0.0,11.0,0.0,0.13,55.0,30,1.11,13,25.02,1.02
1.0,18,0,4,8,56.0,56.0,1,0.0,0.0,11.0,2.0,0.13,55.0,4,1.11,13,25.09,0.2
1.0,18,0,4,8,56.0,56.0,1,0.0,0.0,11.0,4.0,0.13,55.0,4,1.11,13,25.0,0.11
1.0,18,0,4,8,56.0,56.0,1,0.0,0.0,11.0,6.0,0.13,55.0,4,1.11,13,23.99,0.11
1.0,18,0,4,8,56.0,56.0,1,0.0,0.0,11.0,8.0,0.13,55.0,4,1.11,13,22.32,0.06
1.0,18,0,4,8,56.0,56.0,1,0.0,0.0,11.0,12.0,0.13,55.0,4,1.11,13,21.14,0.04
1.0,18,0,4,8,56.0,56.0,1,0.0,0.0,11.0,18.0,0.13,55.0,4,1.11,13,20.4,0.02
0.75,8,0,3,3,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,21.2
0.75,8,0,1,3,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,23,0.49,8,20.51,32.8
0.75,8,0,1,3,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,23,0.49,7,20.51,12.6
0.75,8,0,1,3,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,23,0.49,5,20.51,3.5
0.0,3,1,3,4,69.0,0.0,2,0.0,0.0,37.0,0.0,0.08,80.7,30,0.0,13,20.38,11.4
0.0,3,1,4,4,69.0,0.0,2,0.0,0.0,37.0,3.0,0.08,80.7,4,0.0,13,22.77,8.14
0.0,3,1,1,4,69.0,0.0,2,0.0,0.0,37.0,4.0,0.08,80.7,38,0.0,13,19.47,4.23
0.0,3,1,2,4,69.0,0.0,2,0.0,0.0,37.0,3.0,0.08,80.7,38,0.0,0,22.13,7.93
1.0,1,0,3,9,35.0,35.0,0,0.0,0.0,4.0,0.0,0.06,69.2,30,0.3,13,18.4,32.5
1.0,1,0,1,9,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,13,0.3,9,18.4,14.5
1.0,1,0,1,9,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,14,0.3,11,18.4,16.0
1.0,1,0,1,9,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,5,0.3,11,18.4,13.3
1.0,1,0,1,9,35.0,35.0,0,0.0,0.0,4.0,1.68,0.06,69.2,13,0.3,11,18.4,5.9
1.0,18,0,3,9,30.0,30.0,0,0.0,0.0,6.0,0.0,0.12,66.11,30,2.57,13,17.58,1.6
1.0,18,0,0,9,30.0,30.0,0,0.0,0.0,6.0,5.0,0.12,60.76,0,2.57,13,27.17,1.18
1.0,18,0,0,9,30.0,30.0,0,0.0,0.0,6.0,10.0,0.12,61.18,0,2.57,13,14.51,0.86
1.0,18,0,0,9,30.0,30.0,0,0.0,0.0,6.0,20.0,0.12,58.78,0,2.57,13,16.71,0.69
1.0,18,0,1,9,30.0,30.0,0,0.0,0.0,6.0,1.0,0.12,61.96,7,2.57,13,26.72,0.85
1.0,19,0,3,9,28.0,28.0,0,0.0,0.0,4.0,0.0,0.06,62.06,30,0.36,13,17.91,13.18
1.0,19,0,1,9,28.0,28.0,0,0.0,0.0,4.0,10.0,0.06,58.69,37,0.36,13,18.23,11.36
1.0,1,0,3,3,30.0,30.0,1,40.0,20.0,4.0,0.0,0.06,53.59,30,0.79,13,32.46,23.17
1.0,1,0,3,3,30.0,30.0,1,40.0,20.0,4.0,0.0,0.06,58.78,30,1.02,13,23.95,14.5
1.0,1,0,0,3,30.0,30.0,1,40.0,20.0,4.0,12.5,0.06,58.67,35,0.78,13,23.95,12.31
1.0,1,0,0,3,30.0,30.0,1,40.0,20.0,4.0,12.5,0.06,58.67,24,0.78,13,23.95,20.84
0.0,12,2,3,9,26.0,0.0,2,0.0,0.0,7.0,0.0,1.2,65.0,30,0.0,13,22.46,26.82
0.0,12,2,4,9,26.0,0.0,2,0.0,0.0,7.0,15.68,1.2,65.0,4,0.0,13,24.97,21.65
0.0,12,2,4,9,26.0,0.0,2,0.0,0.0,7.0,31.36,1.2,65.0,4,0.0,13,26.48,7.31
0.75,12,2,4,9,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,4,0.49,13,20.51,5.47
1.0,1,0,3,9,35.0,35.0,1,30.0,30.0,2.0,0.0,0.06,67.6,30,0.38,13,17.43,29.26
1.0,1,0,1,9,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,65.79,32,0.38,13,14.84,16.11
1.0,1,0,1,9,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,67.3,6,0.38,13,16.2,30.93
1.0,1,0,1,9,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,66.1,32,0.38,1,13.98,16.12
1.0,1,0,3,9,28.0,28.0,0,0.0,0.0,5.0,0.0,0.06,57.54,30,0.48,13,19.25,24.95
1.0,1,0,1,9,28.0,28.0,0,0.0,0.0,5.0,2.45,0.06,59.41,13,0.48,13,18.57,11.23
1.0,1,0,1,9,28.0,28.0,0,0.0,0.0,5.0,2.45,0.06,59.41,12,0.48,13,18.57,22.85
1.0,1,0,1,9,28.0,28.0,0,0.0,0.0,5.0,4.35,0.06,60.3,15,0.48,13,18.97,26.71
1.0,1,0,3,8,34.0,34.0,0,0.0,0.0,6.0,0.0,0.06,65.0,30,0.27,13,11.37,31.52
1.0,1,0,1,8,34.0,34.0,0,0.0,0.0,6.0,10.0,0.06,65.0,37,0.26,13,11.37,21.26
1.0,1,0,1,8,34.0,34.0,0,0.0,0.0,6.0,10.29,0.06,65.0,37,0.26,2,11.37,16.22
