M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),TN loss (%)
1.0,26,0,1,0,15.0,15.0,0,0.0,0.0,0.0,3.67,0.17,72.3,27,0.28,12,19.59,17.13
1.0,26,0,1,0,15.0,15.0,0,0.0,0.0,0.0,7.02,0.17,71.3,27,0.27,12,19.28,14.74
1.0,26,0,1,0,15.0,15.0,0,0.0,0.0,0.0,10.35,0.17,71.1,27,0.27,12,19.8,16.0
0.0,1,1,3,11,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,67.94,28,0.0,13,18.89,40.1
0.0,1,1,1,11,70.0,0.0,2,0.0,0.0,10.0,3.3,1.2,66.61,38,0.0,13,18.89,36.4
0.0,1,1,1,11,70.0,0.0,2,0.0,0.0,10.0,6.6,1.2,68.11,38,0.0,13,18.89,34.3
0.0,1,1,1,11,70.0,0.0,2,0.0,0.0,10.0,9.9,1.2,68.33,38,0.0,13,18.89,28.1
0.0,1,1,1,11,70.0,0.0,2,0.0,0.0,10.0,13.2,1.2,70.34,38,0.0,13,18.89,21.7
0.0,1,1,1,11,70.0,0.0,2,0.0,0.0,10.0,16.5,1.2,68.07,38,0.0,13,18.89,11.5
1.0,12,0,3,10,42.0,21.0,0,0.0,0.0,3.3,0.0,0.4,71.68,28,0.48,13,32.89,40.7
1.0,12,0,4,10,42.0,21.0,0,0.0,0.0,13.5,3.5,0.4,63.33,3,0.52,13,33.86,38.3
1.0,12,0,4,10,42.0,21.0,0,0.0,0.0,8.2,10.6,0.4,63.03,3,0.37,13,35.56,32.2
1.0,12,0,4,10,42.0,21.0,0,0.0,0.0,7.6,17.7,0.4,63.99,3,0.56,13,37.15,26.7
1.0,12,0,4,10,42.0,21.0,0,0.0,0.0,7.2,24.7,0.4,59.91,3,0.61,13,38.62,20.4
0.75,12,0,4,10,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,3,0.49,13,20.51,14.6
1.0,16,0,1,10,22.0,22.0,0,0.0,0.0,11.0,2.93,0.0,57.9,12,0.49,13,14.97,3.76
1.0,16,0,1,10,22.0,22.0,0,0.0,0.0,11.0,3.44,0.0,58.2,12,0.49,13,14.97,4.01
1.0,16,0,1,10,22.0,22.0,0,0.0,0.0,11.0,2.0,0.0,59.4,12,0.46,13,13.18,24.8
1.0,16,0,1,10,22.0,22.0,0,0.0,0.0,11.0,5.18,0.0,57.5,12,1.21,13,18.0,28.1
1.0,16,0,3,10,22.0,22.0,0,0.0,0.0,11.0,0.0,0.0,58.2,28,0.39,13,15.36,44.7
1.0,16,0,3,10,16.0,16.0,0,0.0,0.0,3.0,0.0,0.04,70.9,28,0.52,13,20.0,24.4
1.0,16,0,4,10,16.0,16.0,0,0.0,0.0,3.0,14.0,0.04,71.7,3,0.53,13,21.0,9.2
1.0,16,0,4,10,16.0,16.0,0,0.0,0.0,3.0,14.0,0.04,68.3,3,0.47,13,25.0,8.5
1.0,16,0,3,4,19.0,19.0,0,0.0,0.0,9.0,0.0,0.19,70.0,28,10.0,13,26.39,49.1
1.0,16,0,0,4,19.0,19.0,0,0.0,0.0,9.0,3.0,0.2,70.0,23,10.0,13,26.39,40.5
1.0,16,0,1,4,19.0,19.0,0,0.0,0.0,9.0,6.9,0.2,70.0,21,10.0,5,26.35,40.5
1.0,16,0,2,4,19.0,19.0,0,0.0,0.0,9.0,9.9,0.2,70.0,23,10.0,9,26.35,18.9
0.75,14,0,0,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,23,0.49,13,20.51,33.01
0.75,14,0,2,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,45,0.49,11,20.51,28.94
0.75,14,0,2,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,45,0.49,11,20.51,21.28
0.75,14,0,2,11,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,45,0.49,11,20.51,17.39
0.0,8,1,0,12,35.0,0.0,2,0.0,0.0,7.0,3.02,1.0,66.85,23,0.0,13,18.98,15.2
0.0,8,1,2,12,35.0,0.0,2,0.0,0.0,7.0,6.06,1.0,67.02,9,0.0,14,17.48,10.5
0.0,8,1,2,12,35.0,0.0,2,0.0,0.0,7.0,8.87,1.0,66.18,9,0.0,14,17.48,9.0
0.0,8,1,2,12,35.0,0.0,2,0.0,0.0,7.0,11.88,1.0,66.32,9,0.0,14,15.69,4.2
0.75,16,1,3,11,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,42.8
0.75,16,1,0,11,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,25,0.49,13,20.51,41.4
0.0,16,1,3,11,112.0,0.0,2,0.0,0.0,12.0,0.0,1.24,64.9,28,0.0,13,14.25,46.55
0.0,16,1,0,11,112.0,0.0,2,0.0,0.0,12.0,2.82,1.63,64.5,25,0.0,13,14.25,34.81
1.0,15,0,0,8,54.0,54.0,0,0.0,0.0,7.0,5.0,0.08,65.0,0,0.05,13,25.0,47.08
1.0,16,1,3,11,56.0,28.0,0,0.0,0.0,8.0,0.0,0.4,65.0,28,0.0,13,26.68,36.84
1.0,16,1,4,11,56.0,28.0,0,0.0,0.0,8.0,8.48,0.4,65.0,3,0.0,13,25.77,26.41
1.0,16,1,4,11,56.0,28.0,0,0.0,0.0,8.0,16.95,0.4,65.0,3,0.0,13,24.28,16.56
1.0,16,1,4,11,56.0,28.0,0,0.0,0.0,8.0,25.43,0.4,65.0,3,0.0,13,24.07,12.58
1.0,16,1,4,11,56.0,28.0,0,0.0,0.0,8.0,9.04,0.4,65.0,3,0.0,0,24.57,12.7
1.0,16,1,4,11,56.0,28.0,0,0.0,0.0,8.0,9.61,0.4,65.0,3,0.0,0,24.57,9.86
1.0,16,1,4,11,56.0,28.0,0,0.0,0.0,8.0,10.17,0.4,65.0,3,0.0,0,24.57,18.33
