Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),N2O-N loss (%)
1,6,2,2,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,15.84,0.12,81.5,0.0,21.3,0.07
1,3,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,69.0,0.28,11.0,0.02
1,4,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,63.0,0.28,11.0,0.01
1,4,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,11.0,0.02
1,5,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,14.7,0.03
1,5,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,12.9,0.04
1,3,2,2,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,25.0,0.01,65.0,0.28,16.7,0.01
1,3,2,2,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,14.29,0.01,67.0,0.28,14.0,0.01
1,6,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,14.0,0.01
1,1,2,15,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,12.1,0.01
7,6,2,15,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,14.7,1.6
7,6,2,15,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,18.4,1.5
7,6,2,15,7,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,21.2,2.1
7,6,2,15,7,0,0,0,1.0,31.0,0,30.0,0.0,0.0,1.0,2.83,0.95,69.47,0.31,13.16,0.54
7,6,2,15,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,17.4,0.81
7,6,2,15,7,0,0,1,1.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,17.4,0.96
7,6,2,15,7,0,0,1,0.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,17.4,1.05
7,6,2,15,7,0,0,1,1.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,17.4,1.07
6,6,2,15,7,0,0,0,1.0,39.0,1,39.0,20.0,20.0,7.0,0.0,0.29,68.07,0.46,25.38,1.11
6,5,2,15,7,0,0,0,1.0,39.0,1,39.0,20.0,20.0,7.0,0.0,0.29,68.53,0.46,24.57,1.37
7,0,2,15,7,0,0,2,0.0,55.0,2,0.0,0.0,0.0,7.0,0.0,11.25,60.04,0.0,15.39,0.04
7,0,2,15,7,0,0,2,0.0,55.0,2,0.0,0.0,0.0,15.0,0.0,11.25,60.04,0.0,15.39,0.02
6,0,2,15,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.02
6,0,2,15,7,0,0,2,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.01
6,6,2,15,7,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,72.1,0.2,11.37,0.5
7,6,2,15,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,0.0,1.2,67.6,0.0,18.98,1.0
7,6,2,21,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,3.3,1.2,67.6,0.0,18.98,0.79
7,6,2,21,7,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,6.6,1.2,67.6,0.0,18.98,0.74
