Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TC loss (%)
4,5,2,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,60.9,0.66,30.0,50.1
4,5,2,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,61.9,0.59,25.0,53.43
5,0,4,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,61.9,0.56,20.0,56.34
5,0,4,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,64.5,0.35,15.0,54.84
5,5,1,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,65.3,0.52,11.7,56.57
0,2,1,9,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,67.86
0,2,1,10,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,68.52
0,2,1,12,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,65.77
0,2,1,10,8,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,68.08
0,5,1,9,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,64.55
0,5,1,10,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,59.37
0,5,1,12,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,55.72
0,5,1,10,8,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,59.37
0,4,1,9,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,61.68
0,4,1,10,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,43.92
0,4,1,12,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,53.08
0,4,1,10,8,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,51.64
7,2,1,9,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,81.0,0.0,12.2,24.9
7,5,1,9,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,75.8,0.0,15.3,31.4
1,5,1,9,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,77.3,0.0,22.3,31.6
1,5,1,9,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,77.0,0.0,20.1,40.8
1,0,1,9,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,80.0,0.0,29.9,35.0
1,2,1,0,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,22.28,0.12,84.1,0.0,16.9,14.9
1,5,1,0,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,9.53,0.12,80.7,0.0,20.5,32.3
1,5,1,0,7,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,15.84,0.12,81.5,0.0,21.3,25.3
0,5,1,11,7,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,13.15,0.04,60.0,0.22,16.0,44.0
0,5,1,11,7,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,13.15,0.04,60.0,0.44,19.0,51.0
0,5,1,11,7,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,13.15,0.04,60.0,0.66,22.0,54.0
0,5,1,11,7,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,10.07,0.04,65.0,0.22,19.0,42.0
0,5,1,11,7,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,7.49,0.04,65.0,0.44,22.0,56.0
0,5,1,11,7,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,12.04,0.04,65.0,0.66,16.0,51.0
0,5,1,11,7,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,1.17,0.04,70.0,0.22,22.0,47.0
0,5,1,11,7,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,1.07,0.04,70.0,0.44,16.0,36.0
0,5,1,11,7,0,0,0,1.0,60.0,0,60.0,0.0,0.0,5.0,1.39,0.04,70.0,0.66,19.0,50.0
1,2,1,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,69.0,0.28,11.0,23.5
1,3,1,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,63.0,0.28,11.0,20.6
1,3,1,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,11.0,21.8
1,4,1,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,14.7,16.8
1,4,1,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,12.9,19.2
1,5,1,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,14.0,29.5
1,1,1,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,12.1,18.6
7,5,1,9,7,0,0,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,43.0
7,5,1,9,7,0,0,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,50.0
