Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TN loss (%)
9,5,3,34,13,2,1,0,1.0,51.0,1,51.0,0.25,10.0,1.0,15.85,0.03,60.63,0.41,29.6,11.07
9,5,3,10,13,2,1,0,1.0,51.0,1,51.0,0.25,10.0,1.0,10.25,0.03,64.91,0.3,20.08,6.38
9,5,3,29,13,2,1,0,1.0,51.0,1,51.0,0.25,10.0,1.0,0.0,0.03,61.89,0.31,27.86,14.68
7,3,3,47,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,16.0
7,3,3,31,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,53.0
7,3,3,33,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,26.0
7,3,3,45,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,42.0
0,3,3,29,13,2,1,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,22.4
0,3,3,12,13,2,1,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,20.7
0,3,3,12,13,2,1,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,17.1
0,3,3,12,13,2,1,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,24.39
0,3,3,37,13,2,1,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,12.71
