Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CH4-C loss (%)
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,0.17
0,3.88889,0.0,0,1,35.0,35.0,0.0,4,0.1559,0.39,66.03,21.96203,1.817,0,39.905,0,0.70071,0.31
0,3.88889,0.0,0,1,35.0,35.0,0.0,4,0.2984,0.355,65.69,21.51131,1.813,0,39.0,0,0.72895,0.34
0,3.88889,0.0,0,1,35.0,35.0,0.0,4,0.5697,0.36,66.14,21.64477,1.796,0,38.874,0,0.75396,0.41
7,7.0,0.0,1,0,70.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.43603,0.14
7,7.0,0.0,1,1,70.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.43603,0.22
7,14.0,0.0,1,0,70.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.45903,0.25
7,14.0,0.0,1,1,70.0,0.0,0.0,5,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.45903,0.36
6,5.57143,1.0,0,1,39.0,39.0,0.0,5,0.288,0.455,68.07,25.38104,2.089,1,53.021,0,0.3107,0.147
6,5.57143,1.0,0,1,39.0,39.0,0.0,4,0.288,0.455,68.53,24.5692,2.247,1,55.207,0,0.31339,0.135
6,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,0,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,0.32
6,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,0,1.13402,0.67154,64.37076,21.13283,2.07873,1,39.32967,0,0.46831,0.064
7,8.0,0.0,0,1,56.0,0.0,0.0,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,0,0.475,0.27
7,8.0,0.0,0,1,56.0,0.0,3.3,5,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,1,0.475,0.1
