Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
5,5.55556,0.0,0,1,50.0,50.0,6.0,8,0.1,0.382,60.0,30.5467,1.64653,0,46.40566,4,0.5,42.3
5,5.55556,0.0,0,1,50.0,50.0,8.0,8,0.1,0.382,60.0,31.0381,1.59652,0,46.3663,4,0.5,39.5
5,5.55556,0.0,0,1,50.0,50.0,10.0,8,0.1,0.372,60.0,30.7924,1.62688,0,46.19574,4,0.5,38.7
8,5.55556,0.0,0,1,50.0,50.0,0.0,8,0.1,0.3,55.0,25.0,2.084,0,52.1,0,0.54517,19.4242
8,5.55556,0.0,0,1,50.0,50.0,10.0,8,0.1,0.3,59.0,27.30966,1.903,0,46.75922,0,0.52573,12.303
8,5.55556,0.0,0,1,50.0,50.0,20.0,8,0.1,0.3,59.608,23.81373,2.02985,0,45.83565,0,0.51733,11.9394
8,5.55556,0.0,0,1,50.0,50.0,20.5,8,0.1,0.3,59.608,23.81373,2.02985,0,44.94526,0,0.51733,11.2121
8,5.55556,0.0,0,1,50.0,50.0,21.0,8,0.1,0.3,59.608,23.81373,2.02985,0,44.94526,0,0.51733,9.51515
8,5.55556,0.0,0,1,50.0,50.0,22.0,8,0.1,0.3,59.608,23.81373,2.02985,0,44.94526,0,0.51733,9.18182
5,7.0,0.0,0,1,91.0,7.6,0.0,8,0.25,0.01275,60.0,20.0,1.99,0,39.8,0,0.46988,63.5179
5,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,57.0893
5,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,5,0.46831,59.3214
5,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,46.2857
5,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,63.4286
5,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,54.8571
5,7.0,0.0,0,1,91.0,30.0,12.5,8,0.25,0.41755,60.0,25.0,1.82,0,45.5,5,0.43803,57.9821
5,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,46.8214
5,7.0,0.0,0,1,91.0,7.6,0.0,8,0.25,0.01275,60.0,30.0,1.67,0,50.1,0,0.4951,65.3036
5,7.0,0.0,0,1,91.0,30.0,12.5,8,0.25,0.41755,60.0,30.0,1.63,0,48.9,0,0.45009,58.9643
5,7.0,0.0,0,1,91.0,30.0,12.5,8,0.25,0.41755,60.0,30.0,1.7,0,51.0,5,0.45809,57.625
5,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,51.1071
6,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,1.10037,75.32,17.96,2.09516,0,35.34112,0,0.53992,22.82
6,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,0.73337,69.37,17.83,2.32491,0,38.19206,0,0.5,43.09
6,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,0.95037,66.06,19.19,2.48499,0,40.77194,0,0.48149,49.76
0,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,1.12537,76.28,21.77,2.02016,0,35.34112,0,0.53267,23.45
0,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,0.76597,72.85,21.05,2.03081,0,34.52016,0,0.52818,37.55
0,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,0.91516,63.45,22.43,2.05431,0,40.61827,0,0.54234,57.58
6,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,0.98586,67.86,12.13,3.13774,0,40.42,0,0.38503,32.63
0,0.0,0.0,0,1,32.0,32.0,0.0,8,0.1,1.15037,76.28,22.24,2.02016,0,35.34112,0,0.53267,36.19
6,11.66667,0.0,2,0,70.0,0.0,0.0,2,22.5,0.0,68.32,23.01534,2.0896,0,41.74879,0,0.88889,34.44421
6,11.66667,0.0,2,0,70.0,0.0,0.6,2,22.5,0.0,68.32,24.01534,2.0896,0,41.42584,0,0.88889,28.30697
6,11.66667,0.0,2,0,70.0,0.0,1.0,2,22.5,0.0,68.32,22.51534,2.0896,0,41.42584,0,0.88889,29.97245
6,11.66667,0.0,2,0,70.0,0.0,1.7,2,22.5,0.0,68.32,23.01534,2.0896,0,41.74879,0,0.88889,30.68183
6,7.0,0.0,2,0,56.0,0.0,0.0,2,22.5,0.0,68.24,24.03534,1.75688,0,41.19072,0,0.44444,46.88991
6,7.0,0.0,2,0,56.0,0.0,4.0,2,22.5,0.0,68.24,24.03534,1.75688,0,41.19071,0,0.44444,34.85462
6,7.0,0.0,2,0,56.0,0.0,7.3,2,22.5,0.0,68.24,24.03534,1.75688,0,41.19071,0,0.44444,33.33327
6,7.0,0.0,2,0,56.0,0.0,13.5,2,22.5,0.0,64.57171,19.61188,2.07544,0,36.84045,0,0.44444,23.79163
6,7.0,0.0,2,0,56.0,0.0,25.0,2,22.5,0.0,66.33216,21.20906,1.91178,0,35.22958,0,0.44444,13.35194
6,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,2,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,21.21206
4,0.0,0.0,0,1,28.0,28.0,0.0,8,0.1,0.73807,58.4,45.0,2.0962,0,37.58239,0,0.78002,36.77
4,0.0,0.0,0,1,28.0,28.0,0.0,8,0.1,0.75724,56.2,40.0,2.2992,0,37.46842,0,0.78002,45.06
4,0.0,0.0,0,1,28.0,28.0,0.0,8,0.1,0.78724,58.8,35.0,2.0962,0,37.46842,0,0.78002,43.65
4,0.0,0.0,0,1,28.0,28.0,0.0,8,0.1,0.81824,60.9,30.0,2.2302,0,41.74379,0,0.78002,50.1
4,0.0,0.0,0,1,28.0,28.0,0.0,8,0.1,0.87051,61.9,25.0,2.42832,0,47.98805,0,0.66562,53.43
5,0.0,0.0,0,1,28.0,28.0,0.0,0,0.1,0.90216,61.9,20.0,2.50823,0,36.48011,0,0.51624,56.34
5,0.0,0.0,0,1,28.0,28.0,0.0,0,0.1,0.49312,64.5,15.0,2.91139,0,38.77248,0,0.30974,54.84
5,0.0,0.0,0,1,28.0,28.0,0.0,8,0.1,0.49312,65.3,11.7,2.95563,0,37.73054,0,0.30974,56.57
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,67.8621
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,13,0.46831,68.5241
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,16,0.46831,65.7655
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,13,0.46831,68.0828
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,64.5517
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,13,0.46831,59.3655
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,16,0.46831,55.7241
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,8,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,13,0.46831,59.3655
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,61.6828
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,13,0.46831,43.9172
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,16,0.46831,53.0759
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,13,0.46831,51.6414
8,0.0,0.0,0,0,84.0,0.0,0.0,8,0.12,0.0,81.0,12.2,3.86,0,46.9,0,0.35789,24.9
8,0.0,0.0,0,0,84.0,0.0,0.0,8,0.12,0.0,75.8,15.3,3.18,0,48.8,0,0.37259,31.4
1,0.0,0.0,0,0,84.0,0.0,0.0,8,0.12,0.0,77.3,22.3,2.16,0,48.2,0,0.34361,31.6
1,0.0,0.0,0,0,84.0,0.0,0.0,8,0.12,0.0,77.0,20.1,2.25,0,45.3,0,0.35833,40.8
1,0.0,0.0,0,0,84.0,0.0,0.0,0,0.12,0.0,80.0,29.9,1.82,0,54.5,0,0.35875,35.0
1,0.0,0.0,0,0,84.0,0.0,22.28321,8,0.12,0.0,84.1,16.9,2.26,0,38.3,0,0.35901,14.9
1,0.0,0.0,0,0,84.0,0.0,9.53373,8,0.12,0.0,80.7,20.5,2.21,0,45.3,0,0.35838,32.3
1,0.0,0.0,0,0,84.0,0.0,15.84383,8,0.12,0.0,81.5,21.3,2.03,0,42.5,0,0.35766,25.3
0,12.0,0.0,0,1,60.0,60.0,6.14709,8,0.045,0.22,60.0,16.0,2.3,0,36.9,2,0.5,44.0
0,12.0,0.0,0,1,60.0,60.0,5.29709,8,0.045,0.44,60.0,19.0,2.0,0,38.2,2,0.5,51.0
0,12.0,0.0,0,1,60.0,60.0,5.74709,8,0.045,0.66,60.0,22.0,1.8,0,39.8,2,0.5,54.0
0,12.0,0.0,0,1,60.0,60.0,2.16746,8,0.045,0.22,65.0,19.0,2.0,0,38.4,2,0.4055,42.0
0,12.0,0.0,0,1,60.0,60.0,1.79709,8,0.045,0.44,65.0,22.0,1.8,0,40.4,2,0.4055,56.0
0,12.0,0.0,0,1,60.0,60.0,1.16746,8,0.045,0.66,65.0,16.0,2.3,0,37.2,2,0.386,51.0
0,12.0,0.0,0,1,60.0,60.0,1.29709,8,0.045,0.22,70.0,22.0,1.8,0,40.6,2,0.32607,47.0
0,12.0,0.0,0,1,60.0,60.0,0.43598,8,0.045,0.44,70.0,16.0,2.3,0,37.5,2,0.30422,36.0
0,12.0,0.0,0,1,60.0,60.0,0.29709,8,0.045,0.66,70.0,19.0,2.0,0,38.5,2,0.29872,50.0
1,0.0,0.0,0,1,28.0,28.0,0.0,8,0.01,0.28,69.0,11.0,3.7,0,40.7,0,0.24194,23.5
1,0.0,0.0,0,1,28.0,28.0,0.0,4,0.01,0.28,63.0,11.0,3.7,0,40.7,0,0.27027,20.6
1,0.0,0.0,0,1,28.0,28.0,0.0,4,0.01,0.28,66.0,11.0,3.7,0,40.7,0,0.25735,21.8
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,65.0,14.7,2.85034,0,41.9,0,0.28571,16.8
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,67.0,12.9,3.2093,0,41.4,0,0.26515,19.2
1,0.0,0.0,0,1,28.0,28.0,25.0,8,0.01,0.28,65.0,16.7,2.93413,0,49.0,0,0.28571,8.9
1,0.0,0.0,0,1,28.0,28.0,14.28571,8,0.01,0.28,67.0,14.0,3.24286,0,45.4,0,0.26515,13.4
1,0.0,0.0,0,1,28.0,28.0,0.0,8,0.01,0.28,65.0,14.0,2.95714,0,41.4,0,0.28571,29.5
1,0.0,0.0,0,1,28.0,28.0,0.0,2,0.01,0.28,65.0,12.1,3.34711,0,40.5,0,0.28571,18.6
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.24,65.0,14.5,2.4,1,34.8,0,0.36984,43.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.48,65.0,18.09524,2.1,1,38.0,0,0.36984,50.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.72,65.0,20.73684,1.9,1,39.4,0,0.36984,53.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.24,70.0,18.09524,2.1,1,38.0,0,0.36956,41.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.48,70.0,21.10526,1.9,1,40.1,0,0.36956,55.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.72,70.0,14.66667,2.4,1,35.2,0,0.36956,50.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.24,75.0,21.52632,1.9,1,40.9,0,0.36956,46.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.48,75.0,14.70833,2.4,1,35.3,0,0.36956,34.0
8,9.25,5.0,0,1,37.0,37.0,0.0,8,0.06,0.72,75.0,17.90476,2.1,1,37.6,0,0.36956,49.0
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.24,64.1,14.7,2.36,0,34.8,0,0.61638,42.7
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.48,65.2,18.3,2.08,0,38.0,0,0.62802,51.0
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.72,63.7,20.7,1.9,0,39.4,0,0.63455,50.7
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.24,71.3,18.4,2.06,0,38.0,0,0.59329,41.6
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.48,70.6,21.1,1.9,0,40.1,0,0.54659,54.0
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.72,70.8,15.0,2.35,0,35.2,0,0.62249,50.3
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.24,75.7,21.2,1.93,0,40.9,0,0.48326,45.6
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.48,76.8,14.9,2.37,0,35.3,0,0.60789,33.8
8,9.25,0.0,0,1,37.0,37.0,0.0,8,0.06,0.72,74.0,18.0,2.09,0,37.6,0,0.54503,48.9
5,6.21429,0.0,2,0,87.0,0.0,0.0,5,0.144,0.0,67.6,20.0,2.80157,0,57.19383,0,0.50268,63.12
5,6.21429,0.0,2,0,87.0,0.0,0.0,5,0.144,0.0,68.46,25.0,2.564,0,60.809,0,0.45014,69.28
0,3.88889,0.0,0,1,35.0,35.0,0.0,5,0.1559,0.39,66.03,21.96203,1.817,0,39.905,0,0.70071,52.90177
0,3.88889,0.0,0,1,35.0,35.0,0.0,5,0.2984,0.355,65.69,21.51131,1.813,0,39.0,0,0.72895,55.63031
0,3.88889,0.0,0,1,35.0,35.0,0.0,5,0.5697,0.36,66.14,21.64477,1.796,0,38.874,0,0.75396,55.11272
8,7.0,0.0,1,0,70.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.43603,63.64
8,7.0,0.0,1,1,70.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.43603,63.16
8,14.0,0.0,1,0,70.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.45903,63.33
8,14.0,0.0,1,1,70.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.45903,62.73
8,0.0,0.0,1,0,70.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.47273,52.88
8,0.0,0.0,1,1,70.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.47273,51.81
6,7.0,0.0,0,1,35.0,35.0,0.0,8,0.06,0.2,72.1,11.37,2.68,0,30.45,0,0.667,50.26
8,8.0,0.0,0,1,56.0,0.0,0.0,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,0,0.475,66.0
8,8.0,0.0,0,1,56.0,0.0,3.3,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,2,0.475,59.5
8,8.0,0.0,0,1,56.0,0.0,6.6,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,2,0.475,60.5
8,8.0,0.0,0,1,56.0,0.0,9.9,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,2,0.475,55.3
8,8.0,0.0,0,1,56.0,0.0,13.2,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,2,0.475,44.3
5,3.11111,0.0,0,1,28.0,0.0,0.0,8,0.13,0.0,61.4561,30.8801,1.667,0,51.47713,0,0.5,41.19
5,3.11111,0.0,0,1,28.0,0.0,2.0,8,0.13,0.0,60.661,30.0375,1.668,0,50.10255,4,0.5,38.64
5,3.11111,0.0,0,1,28.0,0.0,4.0,8,0.13,0.0,59.7109,30.3496,1.613,0,48.9539,4,0.5,31.45
5,3.11111,0.0,0,1,28.0,0.0,6.0,8,0.13,0.0,60.4548,30.568,1.562,0,47.74722,4,0.5,25.78
5,3.11111,0.0,0,1,28.0,0.0,8.0,8,0.13,0.0,60.0684,30.8801,1.563,0,48.2656,4,0.5,18.48
5,3.11111,0.0,0,1,28.0,0.0,10.0,8,0.13,0.0,59.4546,31.0362,1.555,0,48.26129,4,0.5,12.39
8,14.0,1.0,0,1,28.0,28.0,0.0,8,0.07122,0.8589,60.0,15.04166,2.6237,1,39.4648,0,0.22888,46.9
8,14.0,1.0,0,1,28.0,28.0,0.0,8,0.07122,0.92562,60.0,19.96354,1.99111,1,39.7496,0,0.21239,53.94
8,14.0,1.0,0,1,28.0,28.0,0.0,8,0.07122,0.90323,60.0,24.98683,1.60222,1,40.0344,0,0.21765,67.74
