Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
0,26.8,0.5,2,0,134.0,0.0,17.8,11,2.21016,0.0,64.61,18.9,1.32,0,24.948,8,0.45246,17.09545
0,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,8,0.46831,24.38837
0,26.8,0.5,2,0,134.0,0.0,9.9,11,1.93464,0.0,64.12,20.1,1.29,0,25.929,26,0.51689,12.70853
0,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,26,0.46831,15.03571
0,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,26,0.46831,21.34472
8,0.0,0.5,0,1,16.0,16.0,0.0,7,0.1,0.233,61.7,16.64286,2.8,0,46.6,0,0.278,22.49666
8,0.0,0.5,0,1,14.0,14.0,10.0,7,0.1,0.233,64.2,18.2,2.5,0,45.5,6,0.305,10.31193
10,9.0,0.02128,0,1,18.0,18.0,0.0,7,0.012,0.31,63.74,12.99248,2.52,0,26.40292,0,0.33333,22.8
10,9.0,0.01389,0,1,18.0,18.0,0.25605,7,0.012,0.31,63.74,12.99248,2.54,0,26.40292,19,0.33333,17.6
0,0.0,0.01389,0,1,15.0,15.0,0.0,11,0.17,0.2885,70.5,26.0,1.59,0,41.34,0,0.27647,24.57547
0,0.0,0.01389,0,1,15.0,15.0,3.62976,11,0.17,0.29038,71.0,22.806,1.44,0,35.202,12,0.27941,15.09375
0,0.0,1.0,0,1,15.0,15.0,7.30994,11,0.17,0.2924,71.5,18.53,1.55,0,32.5746,12,0.28235,15.4871
0,0.0,0.33333,0,1,15.0,15.0,9.97672,11,0.17,0.26605,69.0,30.0,1.36,0,40.8,12,0.28529,12.09124
0,0.0,0.5,0,1,15.0,15.0,0.0,11,0.17,0.26377,70.0,19.176,1.72,0,33.7596,0,0.29735,15.91628
0,0.0,2.0,0,1,15.0,15.0,13.09719,11,0.17,0.28166,71.8,15.394,1.66,0,31.8,12,0.29624,16.07952
0,0.0,5.0,0,1,15.0,15.0,24.36647,11,0.17,0.26201,69.6,16.72242,1.58,0,36.071,12,0.29541,17.38228
0,0.0,5.0,0,1,15.0,15.0,37.59079,11,0.17,0.26947,70.3,16.72242,1.47,0,36.071,12,0.294,21.42857
0,0.0,5.0,0,1,15.0,6.0,0.0,11,0.17,0.28948,70.6,16.72242,1.59,0,36.071,0,0.27647,20.97044
0,0.0,5.0,0,1,15.0,6.0,3.10479,11,0.17,0.28882,70.8,16.72242,1.57,0,36.071,27,0.279,15.50064
0,0.0,1.0,0,1,15.0,6.0,3.43688,11,0.17,0.28171,70.1,16.064,1.55,0,35.304,27,0.27934,16.72387
0,0.0,1.0,0,1,15.0,6.0,3.68545,11,0.17,0.27867,69.8,16.064,1.55,0,35.304,27,0.27958,15.46387
0,0.0,1.0,0,1,15.0,15.0,0.0,11,0.17,0.27765,71.5,19.268,1.62,0,32.5746,0,0.29735,20.20988
0,0.0,0.02778,0,1,15.0,15.0,3.66885,11,0.17,0.28276,72.3,22.406,1.35,0,35.202,27,0.30041,17.13333
0,0.0,0.02778,0,1,15.0,15.0,7.0174,11,0.17,0.27016,71.3,22.864,1.31,0,35.202,27,0.30346,14.74046
0,0.0,0.02778,0,1,15.0,15.0,10.35227,11,0.17,0.26561,71.1,22.672,1.25,0,35.202,27,0.30652,16.0
10,7.0,0.02778,1,0,70.0,0.0,0.0,11,1.2,0.0,68.70741,18.89189,2.20375,0,32.6561,0,0.34258,40.1
10,7.0,0.02778,1,0,70.0,0.0,3.3,11,1.2,0.0,68.89741,18.89189,2.18773,0,31.98075,2,0.33368,36.4
10,7.0,0.02778,1,0,70.0,0.0,6.6,11,1.2,0.0,68.08741,18.89189,2.03991,0,33.16227,2,0.30532,34.3
10,7.0,0.02778,1,0,70.0,0.0,9.9,11,1.2,0.0,65.52171,18.89189,2.22663,0,36.87905,2,0.38456,28.1
10,7.0,0.16667,1,0,70.0,0.0,13.2,11,1.2,0.0,62.69171,18.89189,2.3715,0,39.05713,2,0.37283,21.7
10,7.0,0.16667,1,0,70.0,0.0,16.5,11,1.2,0.0,65.34171,18.89189,2.41665,0,37.90571,2,0.38537,11.5
8,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,0,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,40.7
8,0.0,0.16667,0,1,42.0,21.0,3.5,0,0.4,0.32461,61.088,33.86114,0.821,0,27.8,0,0.505,38.3
8,0.0,0.16667,0,1,42.0,21.0,10.6,0,0.4,0.08315,64.15782,35.56382,0.807,0,28.7,0,0.515,32.2
8,0.0,0.16667,0,1,42.0,21.0,17.7,0,0.4,1.29977,65.85782,37.15365,0.794,0,29.5,0,0.525,26.7
8,0.0,0.0,0,1,42.0,21.0,24.7,0,0.4,0.50505,65.03222,38.61893,0.782,0,30.2,0,0.535,20.4
8,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,0,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,14.6
8,2.0,0.0,0,1,22.0,22.0,0.0,7,0.0035,0.80424,57.9,18.00269,2.13,0,26.34584,9,0.74726,3.76
8,2.0,0.0,0,1,22.0,22.0,0.0,7,0.0035,0.56862,58.2,17.98241,2.05,0,26.34584,9,0.77559,4.01
8,2.0,0.0,0,1,22.0,22.0,0.0,7,0.0035,0.74619,59.4,11.75668,2.14,0,25.32525,9,0.77559,24.8
8,2.0,0.0,0,1,22.0,22.0,0.0,7,0.0035,0.80424,57.5,18.59679,2.15,0,28.46668,9,0.69147,28.1
8,2.0,0.0,0,1,22.0,22.0,0.0,7,0.0035,0.79724,58.2,17.98241,2.13,0,26.34584,0,0.74726,44.7
8,5.33333,0.0,0,1,16.0,16.0,0.0,7,0.045,0.51546,70.9,20.0,2.1,0,42.0,0,0.44444,24.4
8,5.33333,0.0,0,1,16.0,16.0,14.0,7,0.045,0.53004,71.7,21.0,2.0,0,42.0,0,0.44444,9.2
8,5.33333,0.0,0,1,16.0,16.0,14.0,7,0.045,0.47319,68.3,25.0,1.7,0,42.5,0,0.44444,8.5
3,2.11111,0.0,0,1,19.0,19.0,0.0,4,0.04019,10.0,70.0,26.38728,1.73,0,45.65,0,0.82879,49.1
3,2.11111,0.0,0,1,19.0,19.0,3.0,4,0.04019,10.0,70.0,26.38728,1.73,0,45.65,19,0.82879,40.5
3,2.11111,0.0,0,1,19.0,19.0,6.9,4,0.0646,10.0,70.0,26.34783,1.61,0,42.42,17,0.78782,40.5
3,2.11111,0.0,0,1,19.0,19.0,9.9,4,0.1246,10.0,70.0,26.34783,1.61,0,42.42,19,0.78782,18.9
10,5.83333,0.04167,0,1,35.0,35.0,2.38663,4,0.187,5.96659,58.1,26.0,1.8681,1,48.57059,19,0.2139,33.01
10,5.83333,0.04167,0,1,35.0,35.0,14.31981,4,0.187,5.96659,58.1,26.0,1.73697,1,45.16131,30,0.2139,28.94
10,5.83333,0.04167,0,1,35.0,35.0,26.25298,4,0.187,5.96659,58.1,26.0,1.54555,1,40.18429,30,0.2139,21.28
10,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,4,1.13402,0.67154,64.37076,21.13283,2.07873,1,39.32967,30,0.46831,17.39
