Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),NH3-N loss (%)
9,5.55556,0.0,0,1,50.0,50.0,20.0,5,0.1,0.3,59.608,23.81373,2.02985,0,45.83565,0,0.51733,0.86301
9,5.55556,0.0,0,1,50.0,50.0,20.5,5,0.1,0.3,59.608,23.81373,2.02985,0,44.94526,0,0.51733,0.83105
9,5.55556,0.0,0,1,50.0,50.0,21.0,5,0.1,0.3,59.608,23.81373,2.02985,0,44.94526,0,0.51733,0.67656
9,5.55556,0.0,0,1,50.0,50.0,22.0,5,0.1,0.3,59.608,23.81373,2.02985,0,44.94526,0,0.51733,0.58067
8,4.85714,0.0,0,1,34.0,34.0,0.0,4,0.005,0.03367,67.6,33.5,1.46,0,42.91,0,0.55,8.7
8,4.85714,0.0,0,1,34.0,34.0,7.73359,4,0.005,0.03367,67.3,33.52459,1.22,0,40.9,19,0.4291,7.87
8,4.85714,0.0,0,1,34.0,34.0,7.12828,4,0.005,0.03367,66.8,33.1129,1.24,0,41.06,9,0.4566,6.6
8,4.85714,0.0,0,1,34.0,34.0,6.05043,4,0.005,0.03367,66.0,31.5303,1.32,0,41.62,19,0.54307,3.5
7,7.0,0.0,0,1,91.0,7.6,0.0,5,0.25,0.01275,60.0,20.0,1.99,0,39.8,0,0.46988,12.9281
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,9.06668
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,7,0.46831,4.30644
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,2.61249
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,10.7421
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,7.72635
7,7.0,0.0,0,1,91.0,30.0,12.5,5,0.25,0.41755,60.0,25.0,1.82,0,45.5,7,0.43803,3.65344
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,2.32943
7,7.0,0.0,0,1,91.0,7.6,0.0,5,0.25,0.01275,60.0,30.0,1.67,0,50.1,0,0.4951,7.81575
7,7.0,0.0,0,1,91.0,30.0,12.5,5,0.25,0.41755,60.0,30.0,1.63,0,48.9,0,0.45009,4.11289
7,7.0,0.0,0,1,91.0,30.0,12.5,5,0.25,0.41755,60.0,30.0,1.7,0,51.0,7,0.45809,3.05309
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,2.04637
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,23.37209
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,22,0.46831,14.48837
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,28,0.46831,16.25581
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,22,0.46831,19.37209
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,9.98214
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,22,0.46831,13.01724
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,28,0.46831,11.78571
