Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Additive_4,11.69,13,12,15,12,12,12,11,10,8,11,13,13,11,14,15,15,16,14,12,12,11,12,14,12,14,12,11,3,11,11,11,3,15,3,10,11,10,13,11,14,14,16,11,3,13,12,12,11,12,13,15,12,14,13,15,11,3,11,13,12,16,11,11,12,13,3,14,15,13,16,3,13,15,11,14,12,11,12,12,13,13,12,14,12,11,14,15,3,10,12,12,12,11,12,11,12,15,3,14,12
Material_2,12.65,13,13,15,12,12,12,11,10,12,11,13,13,11,14,11,13,16,14,12,12,11,12,14,13,14,12,11,17,11,11,11,12,12,14,10,11,10,13,11,14,14,16,11,13,13,12,12,11,12,13,15,12,14,13,15,11,14,11,13,12,16,11,11,12,13,11,14,15,13,16,15,13,13,11,14,12,11,13,12,13,13,17,14,12,11,14,15,12,10,12,12,12,11,12,11,12,15,13,14,13
Application Rate (%DW),12.61,13,13,15,12,12,12,11,10,12,11,13,13,11,14,11,13,16,14,12,12,11,12,14,13,14,12,11,17,11,11,11,12,12,14,10,11,10,13,11,14,14,16,11,13,13,12,12,11,12,13,15,12,14,13,15,11,14,11,13,12,16,11,11,12,13,11,14,15,13,16,15,13,13,11,14,12,11,13,12,13,13,17,14,12,11,14,15,12,10,8,12,12,11,12,11,12,15,13,14,13
Compost volume (m3),11.73,13,13,7,12,12,12,11,10,7,11,7,13,11,14,11,13,16,14,12,12,11,12,14,7,14,7,11,17,11,11,11,12,12,7,10,11,10,13,11,7,14,16,11,13,13,12,12,11,12,7,15,12,7,13,15,7,14,11,7,12,16,11,11,12,13,11,14,15,13,7,15,13,7,11,14,12,11,13,12,13,13,17,14,12,7,14,15,12,10,12,12,12,11,12,11,12,15,13,14,7
V1_Ventilation Type,12.55,13,13,15,12,12,15,11,10,12,11,13,13,11,14,11,13,16,14,12,2,15,12,14,13,14,12,11,17,11,11,11,12,12,14,10,11,10,13,11,14,14,16,11,13,13,2,12,11,12,13,15,12,14,13,15,11,14,11,13,12,16,11,11,12,13,11,14,15,13,16,15,13,13,11,14,12,11,13,12,13,13,17,14,12,11,14,15,12,10,12,15,12,11,12,11,12,15,13,14,13
V4_Ventilation Day,12.55,13,13,15,12,12,12,12,10,12,3,13,13,11,14,11,13,16,14,12,12,11,12,14,13,14,12,11,17,11,11,11,12,12,14,10,11,10,13,11,14,14,16,11,12,12,12,12,11,12,13,15,12,14,13,15,11,14,11,13,12,16,11,11,12,13,11,12,15,13,16,15,13,13,12,14,12,11,13,12,13,13,17,14,12,11,14,15,12,10,12,12,12,11,12,11,12,15,13,14,13
V3_Ventilation Duration (min),12.24,13,13,15,12,12,12,11,10,12,11,13,13,11,14,11,13,16,14,12,12,11,12,14,13,8,12,11,17,11,11,11,12,12,14,10,11,10,13,11,14,14,16,11,13,13,12,12,11,8,8,15,12,14,13,15,11,14,11,13,8,16,11,11,12,13,11,14,15,13,8,15,13,13,11,14,12,8,8,12,13,13,17,8,12,11,14,15,12,10,12,12,12,11,12,11,12,15,13,14,13
V5_Ventilation rate (L/min/kg iniDW),12.58,13,13,15,12,12,12,11,10,12,11,13,13,11,14,8,13,16,14,12,12,11,12,14,13,14,8,11,17,15,11,11,12,12,14,10,11,10,13,11,14,14,16,11,13,13,12,8,11,12,13,15,15,14,15,15,8,14,11,13,12,16,11,11,12,13,11,15,15,8,16,15,13,13,8,14,12,11,13,12,13,13,17,14,8,15,14,15,12,15,12,12,12,11,12,11,12,15,13,14,13
Initial TN (%),12.65,13,13,15,12,12,12,11,10,12,11,13,13,11,14,11,13,16,14,12,12,11,12,14,13,14,12,11,17,11,11,11,12,12,14,10,11,10,13,11,14,14,16,11,13,13,12,12,11,12,13,15,12,14,13,15,11,14,11,13,12,16,11,11,12,13,11,14,15,13,16,15,13,13,11,14,12,11,13,12,13,13,17,14,12,11,14,15,12,10,12,12,12,11,12,11,12,15,13,14,13
Initial Moisture Content (%),12.74,13,13,15,12,12,12,11,10,12,11,13,13,11,14,11,13,16,14,12,12,11,12,14,13,14,12,11,17,11,11,11,12,12,14,10,11,10,13,11,14,14,16,11,13,13,12,12,11,12,13,15,12,14,13,15,11,14,11,13,12,16,20,11,12,13,11,14,15,13,16,15,13,13,11,14,12,11,13,12,13,13,17,14,12,11,14,15,12,10,12,12,12,11,12,11,12,15,13,14,13
Initial C/N (%),12.65,13,13,15,12,12,12,11,10,12,11,13,13,11,14,11,13,16,14,12,12,11,12,14,13,14,12,11,17,11,11,11,12,12,14,10,11,10,13,11,14,14,16,11,13,13,12,12,11,12,13,15,12,14,13,15,11,14,11,13,12,16,11,11,12,13,11,14,15,13,16,15,13,13,11,14,12,11,13,12,13,13,17,14,12,11,14,15,12,10,12,12,12,11,12,11,12,15,13,14,13
Initial pH,13.01,13,13,15,12,12,12,11,10,12,11,13,13,11,20,11,13,16,14,12,12,11,12,14,13,14,12,20,17,11,11,11,12,12,14,10,11,10,13,12,14,14,16,11,13,13,12,12,11,12,13,15,12,14,13,15,11,14,11,13,12,16,11,11,12,13,11,14,15,13,16,15,13,13,11,14,12,11,13,12,13,20,17,14,12,11,14,15,12,10,12,12,12,11,12,11,12,15,13,20,20
Initial TC (%),12.1,13,13,15,12,12,12,11,10,12,11,13,13,11,14,11,13,16,14,12,12,11,12,14,13,14,8,11,17,11,11,11,12,12,14,10,11,10,8,11,14,8,8,11,13,13,8,12,11,12,13,8,12,14,13,15,8,14,11,13,12,16,11,11,12,13,11,14,15,13,16,15,13,13,11,14,12,11,13,12,13,13,17,14,12,11,14,8,8,10,12,8,12,8,12,11,12,15,13,14,13
