V5_Ventilation rate (L/min/kg iniDW),Additive_4,Initial C/N (%),Compost volume (m3),Additive_1,Material_2,Additive_2,Initial pH,Application Rate (%DW),V2_Ventilation Interval (min),Initial GI (%),V4_Ventilation Day,M1_is Enclosed,V3_Ventilation Duration (min), Composting Method,Initial Moisture Content (%),Turning times,Material_3,Additive_3,Period (d),V1_Ventilation Type,Material_Main,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,None,28.860139083189225,0.08,Organic acid,Plastic tube pieces,Biochar,7.0,4.077077343365252,0,27.32884658064516,0.0,0.0,0,Trough,56.35813692403725,22.0,None,None,106.0,None,Goat manure,0.875,25.25262169779057,102.92636899999994,9.013872512249364,0.2684861719608307,0.15721555139906745,20.419870795332493
0.2003153569521665,None,13.0,0.08,Potassium phosphate,Woody peat,Organic acid,5.0,3.982170320177855,0,27.32884658064516,17.0,1.0,0,Windrow,51.0,23.0,Mature compost,None,46.0,Continuous,Goat manure,0.875,11.375,102.09192299999997,8.550277392883372,0.36413124203681946,0.1287799662974918,1000000.0
0.6514287077917509,None,22.5623683750533,0.08,Ferric salt,Byproduct,Mg(OH)₂,5.0,2.4852917662218394,0,27.32884658064516,33.0,1.0,0,Reactor,50.0,12.0,Green waste,None,101.0,Continuous,Goat manure,0.875,19.742072328171638,104.51316999999996,8.087615673390376,0.5194701552391052,0.2381793104501399,24.543205396135374
0.0,None,39.0,0.08,Mg(OH)₂,Byproduct,Microbiological agent,6.0,5.348125809922314,0,27.32884658064516,0.0,1.0,0,Trough,59.0,27.0,Green waste,None,59.0,None,Goat manure,0.875,34.125,104.274833,8.872677616932746,0.3638458251953125,0.18736792017997492,1000000.0
0.0,None,38.41585529426982,0.08,Ferric salt,Sawdust,MgSO₄,6.0,7.963790974289366,0,27.32884658064516,0.0,0.0,0,Trough,56.0,14.0,None,None,50.0,None,Goat manure,0.875,33.61387338248608,103.373114,7.205553957865111,0.2931729555130005,0.13503644529916384,23.927063255555066
0.0,None,13.372463002264778,0.08,Gypsum,Byproduct,MgO,8.0,6.764652460302927,0,27.32884658064516,0.0,1.0,0,Reactor,66.86712317156427,22.0,None,None,86.0,None,Goat manure,0.875,11.700905126981684,103.71296499999997,9.013872512249364,0.28556424379348755,0.16716159177752327,21.091333559174963
0.0,None,20.71457503580304,0.08,MgCl₂,Soil,Potassium phosphate,6.0,5.826430125786978,0,27.32884658064516,0.0,0.0,0,Windrow,65.38728938161654,21.0,Mature compost,None,78.0,None,Goat manure,0.875,18.12525315632766,103.62444899999996,9.10140095472367,0.2945685386657715,0.1505308054009479,23.4935793713444
0.0,None,31.367148861670287,0.08,Lignite,Straw,Gypsum,5.270541272073818,2.8580896906815183,0,27.32884658064516,0.0,0.0,0,Trough,65.0,25.0,Green waste,None,42.0,None,Goat manure,0.875,27.446255253961507,103.24479399999994,6.670409183294106,0.3399561643600464,0.16919974890633624,26.058168604459187
0.6013276187523497,None,39.97165490494707,0.08,Potassium phosphate,Byproduct,Mg(OH)₂,6.0,2.3946836715808333,0,27.32884658064516,11.0,0.0,0,Trough,65.49987716834131,12.0,Mature compost,None,13.0,Continuous,Goat manure,0.875,34.97519804182869,105.42800299999998,7.356619248703488,0.3198787271976471,0.196676715573339,27.62501771164501
1.2974669054251928,None,39.325411925157425,0.08,Sand,Byproduct,Microbiological agent,7.0,9.041925618712519,0,27.32884658064516,65.0,0.0,0,Windrow,59.0,14.0,Byproduct,None,84.0,Continuous,Goat manure,0.875,34.409735434512754,102.326547,7.748563382289497,0.4802485406398773,0.1659277103887613,27.767452225248565
1.7233163812920558,None,36.8699990243764,0.08,MgSO₄,Soil,Mg(OH)₂,7.0,2.6199218371393425,0,27.32884658064516,73.0,0.0,0,Windrow,65.0,31.0,Poultry manure,None,104.0,Continuous,Goat manure,0.875,32.26124914632935,103.11724499999997,8.8005452494165,0.5443038940429688,0.1789692238658924,27.72898577624106
0.0,None,10.75262083863266,0.08,Sodium phosphates,Green waste,Gypsum,5.0,6.412183542921849,0,27.32884658064516,0.0,0.0,0,Windrow,68.0,24.0,Mature compost,None,98.0,None,Goat manure,0.875,9.408543233803575,102.54580399999996,8.84826032163788,0.293394148349762,0.1696517351169701,20.128200742253664
0.0,None,34.98903084586586,0.08,Zeolite,Green Waste,Microbiological agent,6.0,6.297386243146224,0,27.32884658064516,0.0,1.0,0,Reactor,69.31110903634094,14.0,Mature compost,None,15.0,None,Goat manure,0.875,30.61540199013263,102.71266299999998,7.205553957865111,0.2923758327960968,0.17417456628888556,24.57096264792253
0.0,None,29.0,0.08,Carbonatite,Byproduct,Potassium phosphate,7.0,5.5883950448606825,0,27.328846580645166,0.0,0.0,0,Windrow,55.79913572328057,27.0,None,None,72.0,None,Goat manure,0.875,25.375,105.70837099999996,9.10140095472367,0.33997154235839844,0.15523404320690126,1000000.0
1.06083626181938,None,27.021988107455797,0.08,MgHPO₄,Sawdust,DCD,5.365827221727903,6.4780355438529815,0,27.32884658064516,43.0,0.0,0,Windrow,69.0,20.0,None,None,125.0,Continuous,Goat manure,0.875,23.64423959402382,103.24098699999992,8.812053928886042,0.3045867383480072,0.18580044772527074,25.21303385308198
0.0,None,19.957729086730836,0.08,Microbiological agent,Green Waste,Gypsum,6.042981264850183,3.1878955921998195,0,27.32884658064516,0.0,0.0,0,Windrow,68.28300650174782,18.0,None,None,79.0,None,Goat manure,0.875,17.463012950889482,102.34600399999994,8.84826032163788,0.2632558047771454,0.17809724719390685,19.042150392335678
1.4529792111860629,None,39.51596178389207,0.08,Sand,Byproduct,Organic acid,6.0,2.125647073816162,0,27.32884658064516,70.0,1.0,0,Reactor,66.0,16.0,None,None,111.0,Continuous,Goat manure,0.875,34.57646656090556,104.318461,10.40410816542487,0.3216462135314941,0.22352351865848008,26.045163727543624
