V2_Ventilation Interval (min),Additive_2,Turning times,Initial C/N (%),Initial GI (%),V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Initial Moisture Content (%),Material_Main,Material_2,Period (d),Initial pH,Compost volume (m3),Additive_1,Application Rate (%DW),M1_is Enclosed,V3_Ventilation Duration (min), Composting Method,V4_Ventilation Day,Material_3,Additive_4,Additive_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
285.0,Ca-superphosphate,30.0,22.73764703910777,27.32884658064516,1.4454310866419129,Intermittent ,67.46585047350325,Poultry manure,Woody peat,99.0,5.557712218535385,0.6292491869918699,Clay,2.4568968212713655,0.0,6.339623193700058,Windrow,65.0,Mature compost,None,None,2.4967368849582217,56.76992203970147,99.08325,9.214359566267726,0.4996267259120941,0.1565549324669903,24.897384680071788
1198.0,Mg(OH)₂,31.0,31.499863164741306,27.32884658064516,0.3129445560773563,Intermittent ,64.9134507835325,Poultry manure,Woody peat,121.0,6.0,0.6292491869918699,Lignite,8.729673489755017,1.0,26.919383331718308,Reactor,64.0,Poultry manure,None,None,2.4967368849582217,78.64687023454644,100.011724,8.722701086249714,0.9437077641487122,0.16073665089300115,24.046653253790588
230.0,Inorganic acid,27.0,17.899007305171555,27.32884658064516,0.32101518757104563,Intermittent ,63.83607606511836,Poultry manure,Green waste,131.0,6.0,0.6292491869918699,Sand,3.2823114216136653,1.0,29.847942958138514,Reactor,63.0,Byproduct,None,None,2.4967368849582217,44.68911174295848,102.830923,8.797240086240757,0.7810479402542114,0.15960063953803927,23.674353404917003
317.0,Biochar,20.0,17.013819360742954,27.32884658064516,1.7260550228105935,Intermittent ,61.17786897321274,Poultry manure,Green waste,90.0,6.0,0.6292491869918699,Mature compost,4.2690538556367486,1.0,28.282951886236674,Reactor,72.0,Mature compost,None,None,2.4967368849582217,42.479030351983255,102.77713,4.948839393286645,0.9550604224205016,0.16996083337086185,25.155844222505426
300.0,Mg(OH)₂,25.0,27.065226391739163,27.32884658064516,1.9652018914523877,Intermittent ,51.956261120219104,Poultry manure,Husk,84.0,7.0,0.6292491869918699,MgSO₄,9.913598442208158,0.0,41.72828648780924,Windrow,75.0,Mature compost,None,None,2.4967368849582217,67.5747490319999,100.775797,10.550895306562246,0.5635721683502197,0.17607079333329573,23.660404091848594
602.0,Mg(OH)₂,2.0,11.0,27.328846580645166,0.8930880793418468,Intermittent ,68.0,Poultry manure,Byproduct,114.0,5.901505401333537,0.6292491869918699,Sodium salt,4.85386946475012,1.0,53.16804382380229,Trough,78.0,Straw,None,None,2.4967368849582217,27.464105734540443,104.58164099999996,11.259008270100765,0.8321102261543274,0.14538534611943993,1000000.0
487.0,Ca-superphosphate,23.0,21.231527999417576,27.32884658064516,1.4515512256283871,Intermittent ,60.891107107959634,Poultry manure,Sawdust,94.0,8.0,0.6292491869918699,MgCl₂,8.590486965550669,1.0,56.77286120574579,Trough,57.0,Green waste,None,None,2.4967368849582217,53.0095390801691,101.01194099999996,9.619669145483163,0.5997573137283325,0.17681878210681826,24.215241987296444
90.0,Mg(OH)₂,25.0,18.120277399722873,27.32884658064516,1.4578630725260504,Intermittent ,55.839631173586454,Poultry manure,Straw,82.0,7.104575894090817,0.6292491869918699,Phosphogypsum,5.47885916663653,1.0,48.9523505792388,Windrow,55.0,Straw,None,None,2.4967368849582217,45.24156494956294,104.84841299999997,10.723318675227405,0.8319643139839172,0.18747536328705408,25.75271469857812
567.0,MgSO₄,27.0,33.063361009295605,27.32884658064516,0.7096692889932803,Intermittent ,50.0,Poultry manure,Sawdust,87.0,7.0,0.6292491869918699,Microbiological agent,3.8830705262117715,1.0,50.74978670765462,Windrow,52.0,Byproduct,None,None,2.4967368849582217,82.55051297259783,98.42540399999996,10.92836923176683,0.3754059672355652,0.1552132759526034,23.55543380620389
1295.0,DCD,31.0,35.352487675654444,27.32884658064516,0.6963714663872624,Intermittent ,69.0,Poultry manure,Green Waste,111.0,7.0,0.6292491869918699,Carbonatite,6.792266054375887,0.0,32.85137372017679,Windrow,56.0,Mature compost,None,None,2.4967368849582217,88.2658599548374,103.01474,9.100945473398195,0.5001567602157593,0.17907911856131387,23.397616122873078
