Material_2,Initial pH,Additive_3,Additive_2,Initial Moisture Content (%),V2_Ventilation Interval (min),Material_3,Application Rate (%DW), Composting Method,Additive_4,V1_Ventilation Type,Initial C/N (%),Compost volume (m3),Material_Main,Period (d),V3_Ventilation Duration (min),Additive_1,V4_Ventilation Day,M1_is Enclosed,Initial GI (%),Turning times,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Green waste,8.0,None,Potassium phosphate,62.532770610201,0.0,None,3.147171766660142,Trough,None,Continuous,24.682791381580547,2.147162565177521,Cattle manure,33.0,0.0,MgSO₄,33.0,0.0,27.32884658064516,27.0,1.5682005846758549,1.596639959668374,39.409531035989644,105.44142999999998,7.925238293680985,0.9445085525512696,0.2582072496937086,28.136446076323303
Soil,5.0,None,Inorganic acid,54.0,0.0,None,9.323310141055147,Reactor,None,None,32.518767673118234,2.147162565177521,Cattle manure,30.0,0.0,Mg(OH)₂,0.0,1.0,27.32884658064516,28.0,0.0,1.596639959668374,51.92076390607272,107.48612000000004,3.1552712955719717,1.0659332275390625,0.2198086874536882,29.763597989602705
Sawdust,7.0,None,MgSO₄,68.0,0.0,Straw,2.755951035264088,Reactor,None,Continuous,33.64687217213286,2.147162565177521,Cattle manure,39.0,0.0,Inorganic acid,30.0,1.0,27.32884658064516,29.0,1.1425469404342998,1.596639959668374,53.72194062788114,108.69778700000002,8.750366445057299,0.92355215549469,0.26542574501633165,28.05934868315675
None,7.0,None,Zeolite,68.0,0.0,Poultry manure,6.681850254193321,Windrow,None,Continuous,30.414844335843622,2.147162565177521,Cattle manure,13.0,0.0,Gypsum,4.0,1.0,27.32884658064516,9.0,1.4115199805061618,1.596639959668374,48.56155583370123,104.326127,7.542690186522796,0.8823683857917786,0.25244659006916004,28.70338247257985
Sawdust,7.239452805744812,None,Ca-superphosphate,60.0,0.0,Poultry manure,6.007985533682885,Trough,None,None,24.884379260653283,2.147162565177521,Cattle manure,25.0,0.0,Lime,0.0,0.0,27.32884658064516,24.0,0.0,1.596639959668374,39.731394299101964,105.13891399999999,3.8553811435739798,1.1148176193237305,0.2099535933925859,28.77959657362767
Soil,6.0,None,Microbiological agent,58.07311006192784,0.0,Green waste,4.475082322041924,Trough,None,None,37.0,2.147162565177521,Cattle manure,43.0,0.0,Urea,0.0,1.0,27.32884658064516,19.0,0.0,1.596639959668374,59.07567850772985,104.870208,2.929561032165146,1.0288882255554201,0.2265556297523992,1000000.0
Byproduct,6.4418225756133936,None,Calcium magnesium phosphate fertilizer,64.0,960.0,None,3.307435061995436,Trough,None,Intermittent ,25.0,2.147162565177521,Cattle manure,89.0,35.93958685279697,MgHPO₄,38.0,1.0,27.32884658064516,28.0,1.3624914065950993,1.596639959668374,39.91599899170935,104.792929,7.465817187096784,0.513730525970459,0.20129778643079133,1000000.0
Sawdust,7.0,None,Zeolite,58.54587876538118,0.0,Straw,5.433080446140161,Trough,None,None,20.006802571525512,2.147162565177521,Cattle manure,38.0,0.0,K₂SO₄,0.0,0.0,27.32884658064516,25.0,0.0,1.596639959668374,31.943660450893606,107.156107,4.312022984205653,1.1011073589324951,0.18876994752241166,26.66329980479733
Green Waste,7.0,None,Organic acid,51.0,0.0,Straw,6.753833100588909,Windrow,None,Continuous,24.583258712968725,2.147162565177521,Cattle manure,35.0,0.0,MgCl₂,17.0,1.0,27.32884658064516,31.0,0.8422254982856658,1.596639959668374,39.25061319999159,108.264899,9.069609680396471,0.9353068470954896,0.2307291189317658,28.873589936411186
None,6.0,None,MgSO₄,52.45329756226205,0.0,Poultry manure,7.171837886075796,Windrow,None,None,11.407068047394207,2.147162565177521,Cattle manure,50.0,0.0,Ferric salt,0.0,1.0,27.32884658064516,31.0,0.0,1.596639959668374,18.212980667125887,106.6983945,3.14277298537902,1.0943846702575684,0.13614798542620613,22.753530366432067
Green waste,6.529968164159102,None,Mg(OH)₂,58.283236629811604,0.0,Poultry manure,3.9488993132626016,Trough,None,None,39.5092244852416,2.147162565177521,Cattle manure,43.0,0.0,Mg(OH)₂,0.0,1.0,27.32884658064516,31.0,0.0,1.596639959668374,63.08200658864489,111.72971950000004,2.408368985286554,1.0807173252105713,0.22580692635601124,1000000.0
None,6.7834603925661385,None,DCD,62.57745527073713,0.0,Straw,2.980051786114976,Trough,None,None,14.171891129970136,2.147162565177521,Cattle manure,69.0,0.0,Microbiological agent,0.0,0.0,27.32884658064516,29.0,0.0,1.596639959668374,22.627407682180106,107.270261,3.4745598170354097,1.1021416187286377,0.14842259898063415,22.714575088130555
Byproduct,7.0,None,Potassium phosphate,59.49559770642145,0.0,Mature compost,8.220605401068683,Trough,None,None,24.96906708288425,2.147162565177521,Cattle manure,31.0,0.0,Lime,0.0,1.0,27.32884658064516,31.0,0.0,1.596639959668374,39.866610260173246,110.29510950000004,3.5993712582337083,0.4127103984355927,0.23571967908523905,27.788124449049114
Straw,5.568051209462172,None,Inorganic acid,69.0,0.0,None,3.8638786417140962,Reactor,None,None,16.37313115537477,2.147162565177521,Cattle manure,29.0,0.0,Gypsum,0.0,1.0,27.32884658064516,28.0,0.0,1.596639959668374,26.14199546756257,110.104549,3.547656522975641,1.032109022140503,0.18780815672448856,28.22916981514708
Sawdust,5.2987630062725115,None,DCD,56.86550538318959,601.0,Green waste,3.4037000426671677,Trough,None,Intermittent ,17.50432691064385,2.147162565177521,Cattle manure,29.0,27.48222861896837,Labile carbon source,11.0,1.0,27.32884658064516,29.0,1.4421071738698448,1.596639959668374,27.948107812632433,107.798968,6.1972929608115175,0.9676141738891602,0.18681901350901509,28.485047042202734
Husk,6.0,None,Ca-superphosphate,55.0,0.0,Poultry manure,4.639168754900815,Trough,None,None,33.0,2.147162565177521,Cattle manure,28.0,0.0,Urea,0.0,0.0,27.32884658064516,17.0,0.0,1.596639959668374,52.68911866905634,106.782619,2.885813207855049,1.0911638736724854,0.18657302944203774,1000000.0
None,8.0,None,MgO,59.0,0.0,Green waste,3.79955440646938,Windrow,None,None,35.0,2.147162565177521,Cattle manure,31.0,0.0,Lime,0.0,0.0,27.32884658064516,29.0,0.0,1.596639959668374,55.882398588393094,111.614901,2.6566935487868517,1.0964362621307373,0.18737669239305327,1000000.0
Husk,7.0,None,Calcium magnesium phosphate fertilizer,67.0,0.0,Straw,4.555794513382499,Windrow,None,None,31.38512294447525,2.147162565177521,Cattle manure,40.0,0.0,Labile carbon source,0.0,1.0,27.32884658064516,23.0,0.0,1.596639959668374,50.110741432253924,108.58235900000004,3.529829702886288,1.0969812870025637,0.21953848829603548,25.39412334198032
Husk,6.2918597236271,None,Ca-superphosphate,62.0,0.0,Poultry manure,6.2500503815911745,Reactor,None,None,17.0,2.147162565177521,Cattle manure,34.0,0.0,MgCl₂,0.0,1.0,27.32884658064516,24.0,0.0,1.596639959668374,27.14287931436236,106.69792400000006,3.14277298537902,1.095672369003296,0.20752818854694904,1000000.0
Green Waste,5.794175633207566,None,Inorganic acid,61.0,0.0,Straw,2.0807878275038982,Trough,None,None,28.0,2.147162565177521,Cattle manure,30.0,0.0,Urea,0.0,1.0,27.32884658064516,25.0,0.0,1.596639959668374,44.70591887071446,109.24580100000004,3.1637030866013225,1.080105543136597,0.2277311967382207,1000000.0
Plastic tube pieces,6.642065143445153,None,Potassium phosphate,62.0,0.0,Mature compost,6.670667418489388,Trough,None,None,19.0,2.147162565177521,Cattle manure,88.0,0.0,Phosphogypsum,0.0,1.0,27.32884658064516,28.0,0.0,1.596639959668374,30.336159233699107,105.28307800000002,3.14277298537902,1.095672369003296,0.22915050198377085,1000000.0
