Material_3,V1_Ventilation Type,V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),M1_is Enclosed,Period (d),Material_2,Additive_1,Additive_3, Composting Method,V3_Ventilation Duration (min),Compost volume (m3),Turning times,Initial Moisture Content (%),Initial GI (%),V2_Ventilation Interval (min),Additive_4,V4_Ventilation Day,Material_Main,Additive_2,Application Rate (%DW),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Mature compost,None,0,22.855082044292253,1.0,84.0,Soil,Biochar,None,Windrow,0,0.05513157894736841,13.0,51.151716998079976,27.32884658064516,0,None,0,Food waste,Calcium magnesium phosphate fertilizer,3.734369506146349,6.0,1.938857678018576,44.31275130332053,96.51464100000004,5.679164150230228,1.7440165281295776,0.1357783271305257,18.67071282413839
Green waste,None,0,33.52144739324837,1.0,62.0,Straw,MgCl₂,None,Windrow,0,0.05513157894736841,9.0,54.0,27.32884658064516,0,None,0,Food waste,Biochar,4.0560937158518815,5.714580450525753,1.938857678018576,64.9933156566954,93.44975500000004,8.674975167798085,1.4729558229446411,0.18378059231441635,20.933600753697426
Poultry manure,None,0,13.0,1.0,19.0,Plastic tube pieces,Biochar,None,Trough,0,0.05513157894736841,10.0,67.67751161760114,27.32884658064516,0,None,0,Food waste,MgO,9.925648675781387,6.0,1.938857678018576,19.388576780185762,95.18733900000002,7.951158589900569,0.3237251043319702,0.16594261134217445,1000000.0
Byproduct,None,0,22.111291977885113,1.0,14.0,Green waste,Ca-superphosphate,None,Reactor,0,0.05513157894736841,9.0,68.44642785665512,27.32884658064516,0,None,0,Food waste,MgO,5.5865218092234885,6.6406146468660525,1.938857678018576,42.87064822223309,93.55951000000003,7.664931312516598,0.25826191902160645,0.18161667610848484,26.88859163548068
Byproduct,None,0,33.93692168918831,1.0,120.0,Husk,Ca-superphosphate,None,Reactor,0,0.05513157894736841,2.0,69.0,27.32884658064516,0,None,0,Food waste,DCD,8.484958065558786,6.057554065020267,1.938857678018576,65.7988611853979,95.12972400000002,7.664931312516598,0.2276473045349121,0.1525692187509518,11.490367230844404
Poultry manure,None,0,17.0,1.0,97.0,None,Sodium salt,None,Reactor,0,0.05513157894736841,17.0,53.0,27.32884658064516,0,None,0,Food waste,Biochar,9.857975989260275,6.0,1.938857678018576,32.9605805263158,93.71606400000002,7.19309237870159,1.06893789768219,0.14328658436861305,1000000.0
None,None,0,13.842591182682819,0.0,73.0,Woody peat,Ca-superphosphate,None,Trough,0,0.05513157894736841,7.0,66.82582038421192,27.32884658064516,0,None,0,Food waste,DCD,7.8396696435658395,7.750507379129362,1.938857678018576,26.83881419821683,93.953437,8.478918865824749,0.5234426259994507,0.11961562665039913,21.448412374159123
Poultry manure,None,0,17.640918728657667,1.0,51.0,Green waste,Potassium phosphate,None,Trough,0,0.05513157894736841,13.0,57.0,27.32884658064516,0,None,0,Food waste,Ca-superphosphate,3.7579528211034776,6.112896560784781,1.938857678018576,34.20323072435961,94.23516400000004,9.992847094296113,1.467288374900818,0.18620839864849534,21.252584198561802
Mature compost,None,0,25.674118047022525,1.0,18.0,Green Waste,Clay,None,Windrow,0,0.05513157894736841,14.0,60.0608481950212,27.32884658064516,0,None,0,Food waste,Gypsum,8.19729799085586,7.145487649877203,1.938857678018576,49.7784609018249,94.12740600000002,7.918332712270553,0.35312992334365845,0.20337185910586725,26.40372274648428
Poultry manure,None,0,34.14799023083271,1.0,71.0,None,Gypsum,None,Windrow,0,0.05513157894736841,10.0,63.0,27.32884658064516,0,None,0,Food waste,Inorganic acid,8.821876264854385,7.455508777577019,1.938857678018576,66.20809304795333,94.05234400000003,7.918332712270553,0.3254900872707367,0.1993780308578469,18.955235341618614
Mature compost,None,0,12.0,1.0,114.0,Soil,Mature compost,None,Reactor,0,0.05513157894736841,8.0,65.99957223800915,27.32884658064516,0,None,0,Food waste,MgO,2.806667573992867,7.0,1.938857678018576,23.266292136222912,93.76190100000004,8.439617010237047,0.9747864603996276,0.1381523235850584,1000000.0
Poultry manure,None,0,28.0,1.0,35.0,None,Phosphogypsum,None,Reactor,0,0.05513157894736841,8.0,68.85908703833965,27.32884658064516,0,None,0,Food waste,Calcium magnesium phosphate fertilizer,2.7248490703052277,7.0,1.938857678018576,54.28801498452013,94.03443400000006,9.757488936735076,1.4007785320281982,0.2092550923324956,1000000.0
Straw,None,0,28.0,1.0,36.0,Byproduct,Potassium phosphate,None,Reactor,0,0.05513157894736841,15.0,64.0,27.32884658064516,0,None,0,Food waste,Calcium magnesium phosphate fertilizer,3.4871643188869275,7.0,1.938857678018576,54.28801498452013,94.49136400000002,10.676609760001448,1.3465163707733154,0.19863701400060185,1000000.0
Straw,None,0,28.0,1.0,126.0,Woody peat,Phosphogypsum,None,Reactor,0,0.05513157894736841,10.0,53.0,27.32884658064516,0,None,0,Food waste,MgO,8.521196313564221,7.707706270287738,1.938857678018576,54.28801498452013,94.90764300000002,8.689675098586596,0.2431696355342865,0.19240156649331386,1000000.0
