Additive_3,V3_Ventilation Duration (min),Initial GI (%),Initial pH,Additive_4,Additive_1,Additive_2, Composting Method,Application Rate (%DW),Compost volume (m3),Period (d),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Turning times,V1_Ventilation Type,Material_2,M1_is Enclosed,Material_3,Material_Main,Initial Moisture Content (%),Initial C/N (%),V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,0.0,27.32884658064516,6.0,None,Calcium magnesium phosphate fertilizer,Calcium magnesium phosphate fertilizer,Trough,8.65006473723536,0.0996875,28.0,0.0,0.0,20.0,None,Green Waste,0.0,None,Digestate,63.0,37.25385171887285,0.0,2.754411318174137,102.61243082004441,107.38228400000001,10.540336453099515,0.98056161403656,0.13625384425495538,21.808278755687862
None,0.0,27.32884658064516,7.0,None,Lime,MgO,Windrow,8.149286074119066,0.0996875,30.0,0.0,0.0,19.0,None,Woody peat,0.0,Green waste,Digestate,62.230747227597206,32.922060791639616,0.0,2.754411318174137,90.68089686210917,108.15221200000002,10.75512860853255,0.8848743438720703,0.15025678392120195,27.152876572287045
None,0.0,27.32884658064516,7.56791428772436,None,Sand,MgO,Trough,9.535920632329574,0.0996875,89.0,0.0,0.0,1.0,None,Green Waste,0.0,None,Digestate,64.0,37.145472622477726,0.0,2.754411318174137,102.31391021028018,110.80766500000004,10.514926683885733,0.98056161403656,0.13476834280139582,11.506618162178402
None,0.0,27.32884658064516,8.0,None,Carbonatite,None,Reactor,5.560502921307854,0.0996875,23.0,0.0,0.0,6.0,None,Straw,1.0,None,Digestate,52.79176468847308,35.009458640453445,0.0,2.754411318174137,96.43044912241432,108.64261900000002,5.63559301854637,1.1066763401031494,0.1846559272708352,25.72089052691728
None,0.0,27.32884658064516,5.012372588982223,None,Inorganic acid,Zeolite,Trough,7.1326659216936665,0.0996875,16.0,0.0,0.0,10.0,None,Husk,1.0,None,Digestate,53.67054403066857,34.85191862823419,0.0,2.754411318174137,95.99651912969229,108.53301800000004,5.598308144137318,1.1066763401031494,0.13332793561197534,24.098699734802537
None,0.0,27.32884658064516,7.0,None,Zeolite,Biochar,Windrow,5.637852775986669,0.0996875,85.0,0.0,0.0,1.0,None,Byproduct,1.0,Green waste,Digestate,58.0,33.59799992106417,0.0,2.754411318174137,92.54271125059292,109.79344499999999,10.099686157463758,0.603667676448822,0.1452640956520398,15.794291381719832
None,0.0,27.32884658064516,6.0,None,Organic acid,None,Reactor,9.989922650819073,0.0996875,24.0,0.0,0.0,23.0,None,Green waste,1.0,None,Digestate,64.9779486436172,36.0,0.0,2.754411318174137,99.15880745426891,108.97221800000004,9.668051379758039,0.98056161403656,0.14384549801926685,1000000.0
None,0.0,27.32884658064516,8.0,None,Sodium salt,Microbiological agent,Reactor,5.973321056873234,0.0996875,113.0,0.0,0.0,1.0,None,Green Waste,1.0,Mature compost,Digestate,64.07352905374071,34.10869271273266,0.0,2.754411318174137,93.94936925607456,110.99686000000004,10.063915748214825,1.1066763401031494,0.17732900185073086,11.541076005159082
None,0.0,27.32884658064516,7.208435754493344,None,Inorganic acid,MgO,Trough,6.836737379898031,0.0996875,113.0,0.0,0.0,8.0,None,Husk,1.0,Green waste,Digestate,55.0,35.193535828486674,0.0,2.754411318174137,96.9374734125507,108.01900400000002,5.598308144137318,0.9485270977020264,0.14818575433286754,16.370075488970283
None,0.0,27.32884658064516,6.770632192535597,None,Potassium phosphate,MgSO₄,Trough,5.879467506562933,0.0996875,102.0,0.0,0.0,0.0,None,Straw,0.0,Mature compost,Digestate,54.0,35.86848805835853,0.0,2.754411318174137,98.7965694737366,110.05285200000004,8.250517344307259,1.1007134914398191,0.10652168990776724,15.076498212257835
None,56.89193283056589,27.32884658064516,6.0,None,Ferric salt,MgSO₄,Reactor,8.36314793961388,0.0996875,13.0,9.0,0.14944598213885585,13.0,Intermittent ,Plastic tube pieces,1.0,Green waste,Digestate,67.0,30.788910277935198,1403.0,2.754411318174137,84.80532294379273,107.59807100000003,13.874036345482189,1.3553653955459597,0.10684374056567172,23.380041261268378
None,0.0,27.32884658064516,7.137911377270454,None,K₂SO₄,None,Reactor,8.626506542374731,0.0996875,59.0,0.0,0.0,0.0,None,Green waste,1.0,None,Digestate,54.0953653054147,33.32606753755345,0.0,2.754411318174137,91.79369761567291,110.14279600000003,7.724225264470906,0.9745988845825196,0.1286425959136583,14.060642442384589
None,0.0,27.32884658064516,6.0,None,Clay,Mg(OH)₂,Trough,9.711790586486037,0.0996875,34.0,0.0,0.0,9.0,None,Green Waste,1.0,Mature compost,Digestate,68.68259964116139,35.50900423716236,0.0,2.754411318174137,97.80640316793337,108.848748,10.007590746640322,0.98056161403656,0.14876144727438112,19.612492044250157
None,0.0,27.32884658064516,5.0,None,None,None,Trough,8.816113301662641,0.0996875,77.0,0.0,0.0,27.0,None,Byproduct,0.0,None,Digestate,56.0,39.05317006790799,0.0,2.754411318174137,107.5684936456252,108.35725500000002,10.314850924606539,0.6318594217300415,0.12986663346866092,21.80655118397211
None,0.0,27.32884658064516,8.0,None,Zeolite,Potassium phosphate,Trough,6.8186646246256455,0.0996875,45.0,0.0,0.0,2.0,None,Woody peat,0.0,Green waste,Digestate,62.616705852903024,39.44367383574145,0.0,2.754411318174137,108.64410164353536,107.56198,10.577621327508568,0.9579986333847046,0.13882714851560507,21.962495910610162
None,0.0,27.32884658064516,5.0,None,Sulfur,Mg(OH)₂,Reactor,5.4588955996067625,0.0996875,15.0,0.0,0.0,0.0,None,Green Waste,1.0,None,Digestate,64.7106997601242,33.44289272201035,0.0,2.754411318174137,92.11548222598877,110.77236600000002,12.101671589287298,1.1007134914398191,0.14411469035130567,21.250983196510493
None,0.0,27.32884658064516,6.485547590260464,None,Sodium salt,Microbiological agent,Reactor,8.314556770484451,0.0996875,60.0,0.0,0.0,7.0,None,None,1.0,None,Digestate,53.16470454800878,27.0,0.0,2.754411318174137,110.17645272696548,108.140918,5.598308144137318,1.0430235862731934,0.1396251119393757,1000000.0
None,0.0,27.32884658064516,8.0,None,None,None,Windrow,3.0474098573461337,0.0996875,112.0,0.0,0.0,3.0,None,None,1.0,Mature compost,Digestate,61.0,35.45643493075961,0.0,2.754411318174137,97.6616056753891,108.441696,10.066525335705037,1.1066763401031494,0.16566578229597032,13.287774060435677
None,0.0,27.32884658064516,7.0,None,MgO,Potassium phosphate,Windrow,4.545341199827991,0.0996875,36.0,0.0,0.0,19.0,None,Husk,1.0,None,Digestate,67.74874366804559,35.109471658882754,0.0,2.754411318174137,96.70592611234072,108.43936600000002,10.310834839056957,1.1066763401031494,0.16736898833865035,23.67439147733657
None,0.0,27.32884658064516,7.0,None,LB Culture,Mg(OH)₂,Trough,5.4850067323332725,0.0996875,77.0,0.0,0.0,23.0,None,Sawdust,1.0,None,Digestate,51.0,32.796578451312755,0.0,2.754411318174137,90.33526688368185,108.89454100000003,5.598308144137318,1.1066763401031494,0.16066583121356734,20.686964959308966
None,0.0,27.32884658064516,7.0,None,Organic acid,MgO,Windrow,3.007126466707053,0.0996875,80.0,0.0,0.0,1.0,None,None,1.0,Green waste,Digestate,65.0,32.574619310430215,0.0,2.754411318174137,89.72390011386278,110.18466800000004,9.971295472174674,0.9485270977020264,0.1538281506388226,11.20765365189219
None,0.0,27.32884658064516,5.0,None,MgO,Organic acid,Trough,3.217348862913436,0.0996875,18.0,0.0,0.0,13.0,None,Woody peat,1.0,None,Digestate,51.612609073339776,37.430061654341,0.0,2.754411318174137,103.09778546067258,108.250519,5.6684188961763855,1.1066763401031494,0.16076203883747886,28.5381641102031
