Turning times,V1_Ventilation Type,Period (d),V3_Ventilation Duration (min),Material_2,Compost volume (m3),Initial Moisture Content (%),Additive_3,Material_3, Composting Method,Initial GI (%),Additive_4,Material_Main,V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial C/N (%),Additive_1,Initial pH,Additive_2,V4_Ventilation Day,M1_is Enclosed,Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
18.0,None,99.0,0,Straw,0.6277154746460176,57.0,None,Byproduct,Windrow,27.32884658064516,None,Swine manure,0.0,0,32.62667266952874,Organic acid,5.0,MgO,0.0,1.0,4.951133159430467,2.0952942734506244,68.36248040621156,106.36222300000004,8.123568617030536,1.167796611785889,0.20007806594178335,24.60721121875189
15.0,None,74.0,0,None,0.6277154746460176,64.85867071084043,None,Mature compost,Windrow,27.32884658064516,None,Swine manure,0.0,0,28.84008360192535,Sulfur,6.0,Organic acid,0.0,1.0,7.592713293706861,2.0952942734506244,60.428462016951435,106.62563800000004,8.123568617030536,1.1655399799346924,0.21875373876326248,22.792307289634472
9.0,None,109.0,0,Husk,0.6277154746460176,56.88658863802833,None,Byproduct,Reactor,27.32884658064516,None,Swine manure,0.0,0,30.0,Potassium phosphate,6.0,Gypsum,0.0,1.0,9.310684687822091,2.0952942734506244,62.858828203518726,106.81338300000004,8.123568617030536,1.1465296745300293,0.2139684800776064,1000000.0
4.0,None,28.0,0,Husk,0.6277154746460176,64.59227331532371,None,Byproduct,Reactor,27.32884658064516,None,Swine manure,0.0,0,23.861995289246302,Organic acid,6.0,None,0.0,1.0,9.966744464051363,2.0952942734506244,49.997902082663536,107.103342,8.123568617030536,1.198756456375122,0.20994297949898452,22.947121253586026
21.0,None,51.0,0,Woody peat,0.6277154746460176,60.0,None,Straw,Reactor,27.32884658064516,None,Swine manure,0.0,0,18.162193723296863,Ferric salt,6.0,None,0.0,1.0,3.03196615866714,2.0952942734506244,38.055140501724786,104.90020800000002,7.5489818081140285,1.1117687225341797,0.20304721025975095,28.414867381272
24.0,None,90.0,0,Straw,0.6277154746460176,64.96296221101844,None,Mature compost,Trough,27.32884658064516,None,Swine manure,0.0,0,22.313681836594725,Sulfur,5.0,Potassium phosphate,0.0,0.0,7.302802303094188,2.0952942734506244,46.75372977181616,105.28918200000004,8.123568617030536,1.1565260887145996,0.19929845770907656,25.322585237726734
24.0,None,96.0,0,Green Waste,0.6277154746460176,56.23511552330545,None,Mature compost,Windrow,27.32884658064516,None,Swine manure,0.0,0,29.87703534428378,Mg(OH)₂,6.0,Potassium phosphate,0.0,0.0,6.59573586461491,2.0952942734506244,62.60118106455971,104.87328200000002,8.123568617030536,1.1207826137542725,0.2489806953250551,21.56846803756859
22.0,None,116.0,0,Green Waste,0.6277154746460176,58.0,None,Green waste,Windrow,27.32884658064516,None,Swine manure,0.0,0,30.28998423419974,Lignite,7.0,MgSO₄,0.0,1.0,9.378044088448943,2.0952942734506244,63.4664305088284,106.69392000000003,8.123568617030536,1.1230392456054688,0.21688137268100585,22.2500599954498
2.0,None,113.0,0,Straw,0.6277154746460176,56.424988512531435,None,Green waste,Reactor,27.32884658064516,None,Swine manure,0.0,0,34.0,MgCl₂,5.194989729745377,None,0.0,1.0,7.471930157837898,2.0952942734506244,71.24000529732123,107.42263600000004,8.123568617030536,1.1463379859924316,0.1933054614489677,1000000.0
8.0,None,19.0,0,Green waste,0.6277154746460176,61.0,None,Poultry manure,Windrow,27.32884658064516,None,Swine manure,0.0,0,20.220751222038523,K₂SO₄,8.0,Zeolite,0.0,1.0,3.564412989148652,2.0952942734506244,42.36842424040703,105.95792500000002,8.405572758515747,1.179598689079285,0.22331538549316893,28.2578822583962
