Material_3,Initial pH, Composting Method,V3_Ventilation Duration (min),Additive_2,M1_is Enclosed,Additive_1,V2_Ventilation Interval (min),Compost volume (m3),Initial GI (%),Material_Main,Initial C/N (%),V4_Ventilation Day,V1_Ventilation Type,Turning times,V5_Ventilation rate (L/min/kg iniDW),Additive_3,Period (d),Application Rate (%DW),Material_2,Initial Moisture Content (%),Additive_4,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Mature compost,7.043070768800264,Reactor,0.0,Inorganic acid,1.0,Microbiological agent,0,0.15181,27.32884658064516,OFMSW,33.346661366776054,42.0,Continuous,29.0,1.4099561400167082,None,64.0,9.059285313581574,None,66.0,None,1.411,47.052139188521004,110.70535500000004,8.2446095849097,0.6156038641929626,0.2277692269123935,23.87956279777649
Poultry manure,5.0,Windrow,0.0,Ca-superphosphate,1.0,LB Culture,0,0.15181,27.32884658064516,OFMSW,31.468834727331068,60.0,Continuous,0.0,1.3924185300806922,None,97.0,2.6652485073911847,Plastic tube pieces,52.0,None,1.411,44.40252580026413,110.12057800000004,9.251168284841217,0.7279725074768066,0.18924915043431625,25.519078964837902
Green waste,6.0,Windrow,0.0,MgSO₄,1.0,Ferric salt,0,0.15181,27.32884658064516,OFMSW,13.0,54.0,Continuous,22.0,0.7506386057756742,None,98.0,9.80224564994177,None,63.78945110707488,None,1.411,18.343,110.74719000000003,7.687698282506265,0.4261370599269867,0.14715631953507366,1000000.0
Byproduct,6.0,Reactor,0.0,Zeolite,1.0,Potassium phosphate,0,0.15181,27.32884658064516,OFMSW,12.431386727328535,43.0,Continuous,4.0,0.9441719250725912,None,75.0,9.259298707365216,Byproduct,65.4588804443691,None,1.411,17.54068667226056,110.48701200000004,8.556430923880948,0.2999352514743805,0.17383390556207756,21.701750393876967
Mature compost,6.0,Windrow,0.0,Microbiological agent,1.0,Microbiological agent,0,0.15181,27.32884658064516,OFMSW,20.035281767625836,76.0,Continuous,30.0,0.16803212726801495,None,122.0,6.894295814812709,Plastic tube pieces,53.0,None,1.411,28.26978257412005,110.69559300000004,6.62459374438272,0.37071913480758667,0.19036855275674847,27.589427690517148
Poultry manure,6.18153510076048,Reactor,0.0,Microbiological agent,1.0,Calcium magnesium phosphate fertilizer,0,0.15181,27.32884658064516,OFMSW,38.44639421815042,58.0,Continuous,20.0,0.6193200591185346,None,99.0,6.857317048729797,Plastic tube pieces,61.0,None,1.411,54.247862241810246,110.56440300000004,8.680851333008178,0.3621569573879242,0.21402648241052605,22.78574760300795
Poultry manure,7.0,Reactor,0.0,Calcium magnesium phosphate fertilizer,1.0,Inorganic acid,0,0.15181,27.32884658064516,OFMSW,22.68468516177633,52.0,Continuous,18.0,1.25489995510127,None,94.0,4.983285110498997,Husk,64.0,None,1.411,32.00809076326641,109.73688600000006,9.823762758488536,0.5599428415298462,0.2146475769405564,25.33256898601025
Byproduct,8.0,Reactor,0.0,Calcium magnesium phosphate fertilizer,1.0,Inorganic acid,0,0.15181,27.32884658064516,OFMSW,23.0,58.0,Continuous,3.0,0.4590075943071166,None,102.0,7.839092529230528,None,58.810191350724956,None,1.411,32.453,109.83484200000004,7.810806318842382,0.343923956155777,0.2021691737210183,1000000.0
Mature compost,5.496426515392418,Windrow,0.0,Ca-superphosphate,0.0,LB Culture,0,0.15181,27.32884658064516,OFMSW,16.007270094673984,37.0,Continuous,27.0,1.9944872130693112,None,48.0,8.9119984771439,Plastic tube pieces,58.0,None,1.411,22.586258103584992,111.05409300000004,1000000.0,1000000.0,1000000.0,1000000.0
Poultry manure,5.0,Trough,0.0,Zeolite,1.0,MgSO₄,0,0.15181,27.32884658064516,OFMSW,36.23730225391268,38.0,Continuous,30.0,1.2987920704273823,None,99.0,2.527288235877786,Husk,63.247536010333405,None,1.411,51.130833480270795,110.11122500000003,7.00823931784454,0.7725855708122253,0.2235251598889279,24.105246721824976
Poultry manure,6.355020413702768,Trough,0.0,None,0.0,MgSO₄,0,0.15181,27.32884658064516,OFMSW,22.16287086445436,61.0,Continuous,10.0,0.4892507731199058,None,75.0,7.295637655712109,Green waste,56.0,None,1.411,31.27181078974511,110.24934300000004,9.371386538361936,0.4423559904098511,0.1902221101285708,27.326777359135047
Byproduct,8.0,Windrow,0.0,None,1.0,None,0,0.15181,27.32884658064516,OFMSW,29.645378728492933,50.0,Continuous,24.0,1.2702035617760388,None,71.0,6.732692943427043,None,69.0,None,1.411,41.82962938590354,109.73585200000004,6.826566016595588,0.3556094467639923,0.20035117015875514,25.511459192497878
None,6.609159065958128,Trough,0.0,Calcium magnesium phosphate fertilizer,1.0,Carbonatite,0,0.15181,27.32884658064516,OFMSW,33.0,34.0,Continuous,5.0,0.3008797463753208,None,34.0,6.168045896272324,Husk,57.3087212094693,None,1.411,46.563,110.03750600000004,8.23027580116897,0.4711622893810272,0.2276505272967955,1000000.0
