Material_2, Composting Method,M1_is Enclosed,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),TC loss (%)
4,2,0.0,6,70.0,0.0,2,0.0,0.0,6.0,1.7,22.5,68.77,0,0.0,7,17.82,30.68
4,2,0.0,6,56.0,0.0,2,0.0,0.0,8.0,0.0,22.5,64.97,9,0.0,7,18.71,46.89
4,2,0.0,6,56.0,0.0,2,0.0,0.0,8.0,4.0,22.5,64.97,0,0.0,7,18.71,34.85
4,2,0.0,6,56.0,0.0,2,0.0,0.0,8.0,7.3,22.5,64.35,0,0.0,7,18.71,33.33
4,2,0.0,6,56.0,0.0,2,0.0,0.0,8.0,13.5,22.5,62.0,0,0.0,7,16.55,23.79
4,2,0.75,6,42.74,22.55,2,2.36,13.4,5.45,5.24,1.45,64.48,0,0.49,7,20.51,21.21
9,0,0.75,4,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,9,0.49,7,20.51,36.77
9,0,1.0,4,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,56.2,9,0.78,7,40.0,45.06
9,0,1.0,4,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,58.8,9,0.83,7,35.0,43.65
9,0,1.0,4,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,60.9,9,0.66,7,30.0,50.1
9,0,1.0,4,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,61.9,9,0.59,7,25.0,53.43
7,0,1.0,5,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,61.9,9,0.56,7,20.0,56.34
7,0,1.0,5,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,64.5,9,0.35,7,15.0,54.84
17,0,1.0,5,28.0,28.0,0,0.0,0.0,0.0,0.0,0.1,65.3,9,0.52,7,11.7,56.57
6,0,0.75,0,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,9,0.49,7,20.51,67.86
6,0,0.75,0,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,10,0.49,7,20.51,68.52
6,0,0.75,0,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,12,0.49,7,20.51,65.77
6,0,0.75,0,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,10,0.49,8,20.51,68.08
11,0,0.75,0,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,9,0.49,7,20.51,64.55
11,0,0.75,0,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,10,0.49,7,20.51,59.37
11,0,0.75,0,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,12,0.49,7,20.51,55.72
11,0,0.75,0,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,10,0.49,8,20.51,59.37
12,0,0.75,0,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,9,0.49,7,20.51,61.68
12,0,0.75,0,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,10,0.49,7,20.51,43.92
12,0,0.75,0,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,12,0.49,7,20.51,53.08
12,0,0.75,0,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,10,0.49,8,20.51,51.64
6,0,0.0,7,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,81.0,9,0.0,7,12.2,24.9
10,0,0.0,7,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,75.8,9,0.0,7,15.3,31.4
10,0,0.0,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,77.3,9,0.0,7,22.3,31.6
10,0,0.0,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,77.0,9,0.0,7,20.1,40.8
16,0,0.0,1,84.0,0.0,2,0.0,0.0,0.0,0.0,0.12,80.0,9,0.0,7,29.9,35.0
6,0,0.0,1,84.0,0.0,2,0.0,0.0,0.0,22.28,0.12,84.1,0,0.0,7,16.9,14.9
10,0,0.0,1,84.0,0.0,2,0.0,0.0,0.0,9.53,0.12,80.7,0,0.0,7,20.5,32.3
10,0,0.0,1,84.0,0.0,2,0.0,0.0,0.0,15.84,0.12,81.5,0,0.0,7,21.3,25.3
1,0,1.0,0,60.0,60.0,0,0.0,0.0,5.0,13.15,0.04,60.0,11,0.22,7,16.0,44.0
1,0,1.0,0,60.0,60.0,0,0.0,0.0,5.0,13.15,0.04,60.0,11,0.44,7,19.0,51.0
1,0,1.0,0,60.0,60.0,0,0.0,0.0,5.0,13.15,0.04,60.0,11,0.66,7,22.0,54.0
1,0,1.0,0,60.0,60.0,0,0.0,0.0,5.0,10.07,0.04,65.0,11,0.22,7,19.0,42.0
1,0,1.0,0,60.0,60.0,0,0.0,0.0,5.0,7.49,0.04,65.0,11,0.44,7,22.0,56.0
1,0,1.0,0,60.0,60.0,0,0.0,0.0,5.0,12.04,0.04,65.0,11,0.66,7,16.0,51.0
1,0,1.0,0,60.0,60.0,0,0.0,0.0,5.0,1.17,0.04,70.0,11,0.22,7,22.0,47.0
