Initial pH,Material_Main,Additive_3,Initial Moisture Content (%),Initial GI (%),V3_Ventilation Duration (min),Material_2,V1_Ventilation Type, Composting Method,Additive_1,Period (d),Initial C/N (%),M1_is Enclosed,Additive_4,Material_3,V5_Ventilation rate (L/min/kg iniDW),Turning times,Additive_2,V2_Ventilation Interval (min),Compost volume (m3),V4_Ventilation Day,Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
8.0,Swine manure,None,59.0,27.32884658064516,54.24515362526891,Woody peat,Intermittent ,Trough,Ferric salt,75.0,25.0,1.0,None,None,1.500239258636324,30.0,Calcium magnesium phosphate fertilizer,766.0,0.6277154746460176,60.0,4.7256554885148665,2.0952942734506244,49.40155652146706,111.75959300000004,6.790331270326929,0.4247592389583587,0.1667987765265073,1000000.0
7.0,Swine manure,None,52.0,27.32884658064516,0.0,Woody peat,Continuous,Reactor,Mg(OH)₂,75.0,22.0,1.0,None,Green waste,0.485360248051714,22.0,DCD,0.0,0.6277154746460176,41.0,4.437019277874583,2.0952942734506244,55.788016699418286,113.61585200000002,4.415496614246974,0.5183887481689453,0.2217442763259133,1000000.0
6.0,Swine manure,None,55.0,27.32884658064516,0.0,Byproduct,Continuous,Trough,Gypsum,87.0,10.0,1.0,None,Mature compost,0.758694742253812,22.0,DCD,0.0,0.6277154746460176,72.0,9.990798099269938,2.0952942734506244,61.40950082415563,112.883371,4.415496614246974,0.5183887481689453,0.2008422795301949,1000000.0
8.0,Swine manure,None,56.0,27.32884658064516,51.36310677743221,Byproduct,Intermittent ,Reactor,Forsterite,95.0,23.0,1.0,None,Poultry manure,1.957331410670348,22.0,DCD,972.0,0.6277154746460176,64.0,3.751810370699533,2.0952942734506244,68.81151735210587,111.32023000000002,6.790331270326929,0.4087013304233551,0.1796721205356294,1000000.0
9.205701564201725,Swine manure,None,83.74110578882117,27.32884658064516,27.572511821873253,Straw,Intermittent ,Trough,Sand,104.0,13.0,1.0,None,Byproduct,1.495729706769114,4.0,DCD,1203.0,0.6277154746460176,55.0,7.782891102055021,2.0952942734506244,20.822758945814066,107.778895,8.850113825892347,0.4643360376358032,0.1384894493126848,1000000.0
10.666455491332634,Swine manure,None,52.0,27.32884658064516,0.0,Straw,Continuous,Windrow,Calcium magnesium phosphate fertilizer,117.0,39.0,0.0,None,Poultry manure,1.773585309934705,19.0,Calcium magnesium phosphate fertilizer,0.0,0.6277154746460176,39.0,3.6636310990534673,2.0952942734506244,70.62491138261991,111.291285,5.05634175307047,0.315470278263092,0.1894514248772356,1000000.0
11.696745441137054,Swine manure,None,65.0,27.32884658064516,0.0,Plastic tube pieces,Continuous,Windrow,Sand,95.0,23.0,0.0,None,Poultry manure,0.2428602791480421,24.0,Biochar,0.0,0.6277154746460176,34.0,7.655674681913203,2.0952942734506244,56.773509692395706,111.617119,2.497878373722831,1.0675311088562012,0.1863515892613291,1000000.0
6.0,Swine manure,None,73.96470349359882,27.32884658064516,0.0,Husk,Continuous,Windrow,Mg(OH)₂,57.0,27.0,1.0,None,None,1.2707394195536243,11.0,Ca-superphosphate,0.0,0.6277154746460176,38.0,5.307867711454545,2.0952942734506244,39.76166938203197,112.283961,4.242892644969348,0.4503313601016998,0.1895276097115388,1000000.0
11.469005067853466,Swine manure,None,64.0,27.32884658064516,0.0,None,Continuous,Reactor,Lime,96.0,40.0,1.0,None,Mature compost,0.9008128005350532,31.0,DCD,0.0,0.6277154746460176,46.0,3.2764798690168178,2.0952942734506244,54.77373566496901,112.29571,5.05634175307047,0.4573310911655426,0.2219235704674304,1000000.0
8.344818457286848,Swine manure,None,52.0,27.32884658064516,0.0,Soil,Continuous,Windrow,K₂SO₄,94.0,38.0,1.0,None,Straw,1.1638951713137384,23.0,Gypsum,0.0,0.6277154746460176,43.0,4.610213431266289,2.0952942734506244,23.315998307183587,110.860374,4.651655702559637,0.543677806854248,0.1942848201955042,1000000.0
