Initial Moisture Content (%),Compost volume (m3),Initial C/N (%),Additive_1,V2_Ventilation Interval (min),Additive_3,V1_Ventilation Type,V4_Ventilation Day,Material_Main,Period (d),Additive_4,Initial pH,Initial GI (%),Turning times,V3_Ventilation Duration (min), Composting Method,M1_is Enclosed,Material_2,Additive_2,Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
58.0,0.045,44.41945355384508,LB Culture,0.0,None,None,0.0,Sheep manure,105.0,None,9.244221927091338,27.32884658064516,29.0,0.0,Windrow,1.0,Byproduct,MgSO₄,4.543691343557873,0.0,Poultry manure,1.97,87.5063235010748,91.89121899999996,9.055383979398227,0.7701603770256042,0.2138478742697504,22.5501596775462
71.43537996832066,0.045,29.0,MgHPO₄,1312.0,None,Intermittent ,33.0,Sheep manure,74.0,None,6.0,27.32884658064516,0.0,7.64602174775624,Trough,1.0,Sawdust,Organic acid,5.164397126818103,0.2161016617580975,Mature compost,1.97,10.772277520653224,91.652592,11.79175749834816,0.6718653440475464,0.0985875960659217,1000000.0
51.0,0.045,16.0,Phosphogypsum,0.0,None,None,0.0,Sheep manure,51.0,None,5.0,27.32884658064516,8.0,0.0,Windrow,1.0,Byproduct,MgSO₄,2.188397037379058,0.0,Byproduct,1.97,63.1403956636347,92.13772399999998,9.055383979398227,0.8337626457214355,0.1865467980095652,1000000.0
77.13543503928,0.045,13.0,Forsterite,0.0,None,None,0.0,Sheep manure,54.0,None,9.883352757876114,27.32884658064516,2.0,0.0,Reactor,1.0,Byproduct,Calcium magnesium phosphate fertilizer,2.62212895641467,0.0,Straw,1.97,56.97932527844618,92.47005999999998,9.055383979398227,0.6899821162223816,0.2078515158260672,1000000.0
79.09773902797717,0.045,40.28244415408568,Microbiological agent,862.0,None,Intermittent ,0.0,Sheep manure,99.0,None,6.0,27.32884658064516,0.0,23.859762821206623,Windrow,0.0,Green Waste,Mg(OH)₂,7.426929118982388,0.9387150303865444,None,1.97,79.35641498354879,92.76976400000008,11.017286398131978,0.7063848972320557,0.1334265447916318,17.153695025204563
80.69669738838823,0.045,13.0,LB Culture,116.0,None,Intermittent ,7.0,Sheep manure,97.0,None,6.0,27.32884658064516,8.0,22.405968168967387,Reactor,1.0,Green waste,Mg(OH)₂,5.795351073637187,0.5505819816222497,Poultry manure,1.97,59.75062454221985,90.57242100000003,8.283407743127531,0.4972970187664032,0.1954297383830939,1000000.0
55.0,0.045,14.0,Sodium salt,0.0,None,None,0.0,Sheep manure,42.0,None,8.84833459535416,27.32884658064516,29.0,0.0,Windrow,0.0,Byproduct,Inorganic acid,5.375471063469833,0.0,Mature compost,1.97,75.97032529904483,91.62005699999996,11.0308016834133,0.7171158790588379,0.1839791462391685,1000000.0
61.0,0.045,16.0,MgSO₄,158.0,None,Intermittent ,33.0,Sheep manure,89.0,None,7.0,27.32884658064516,19.0,25.69448132583121,Windrow,1.0,Green Waste,Biochar,5.740637329235336,1.615682936802087,Byproduct,1.97,15.609940451195692,90.54411700000004,6.892516274365888,0.8045801520347595,0.1703737429905307,1000000.0
53.0,0.045,18.0,Lignite,0.0,None,None,0.0,Sheep manure,37.0,None,11.216726781451172,27.32884658064516,0.0,0.0,Reactor,1.0,Byproduct,Mg(OH)₂,2.343103596461107,0.0,Mature compost,1.97,45.896281517799245,92.80283499999996,9.297680681780236,0.5821903944015503,0.2195064884230435,1000000.0
54.0,0.045,35.824659181151965,K₂SO₄,0.0,None,None,0.0,Sheep manure,22.0,None,8.0,27.32884658064516,6.0,0.0,Reactor,1.0,Byproduct,DCD,4.703318516241267,0.0,Straw,2.450242363326088,78.44596730098019,92.72515099999995,1000000.0,1000000.0,1000000.0,1000000.0
59.0,0.045,28.0,Mg(OH)₂,0.0,None,Continuous,6.0,Sheep manure,86.0,None,8.0,27.32884658064516,26.0,0.0,Windrow,1.0,Byproduct,Biochar,2.394812004805817,1.1409015130053222,Straw,1.97,41.081319343965696,91.65990099999998,8.228323701192737,0.987598180770874,0.2376870313387439,1000000.0
62.0,0.045,29.0,Microbiological agent,0.0,None,None,0.0,Sheep manure,106.0,None,10.269675101351895,27.32884658064516,29.0,0.0,Trough,1.0,Byproduct,None,4.22686881338042,0.0,Green waste,1.97,19.185855495018675,91.81697399999996,9.055383979398227,0.7014782428741455,0.22677866804505,1000000.0
62.0,0.045,17.0,Gypsum,1026.0,None,Intermittent ,8.0,Sheep manure,119.0,None,6.0,27.32884658064516,13.0,56.06848445101171,Trough,1.0,Byproduct,Organic acid,4.941914093613178,1.0679351003656967,Byproduct,1.97,65.9943112405756,91.287652,6.880246566934472,0.85125732421875,0.1401251857516677,1000000.0
71.35851272857781,0.045,25.0,Calcium magnesium phosphate fertilizer,1408.0,None,Intermittent ,0.0,Sheep manure,37.0,None,7.000000000000001,27.32884658064516,14.0,54.60501340119181,Trough,0.0,Green waste,DCD,3.910336380535502,0.2842714242718702,None,1.97,12.668060600997368,91.90576400000003,9.788175637828155,0.7194403409957886,0.1683052453777422,1000000.0
65.0,0.045,40.961397864543535,Lignite,0.0,None,None,0.0,Sheep manure,112.0,None,10.13759468579073,27.32884658064516,10.0,0.0,Trough,1.0,Byproduct,Ca-superphosphate,3.5381542031468403,0.0,None,1.97,80.69395379315077,91.91541399999994,8.496121139109285,0.8938965201377869,0.2127000971377575,22.86567795368287
61.0,0.045,34.0,Sodium salt,0.0,None,None,0.0,Sheep manure,45.0,None,10.89246616135615,27.32884658064516,12.0,0.0,Trough,0.0,Byproduct,MgSO₄,2.1598793383412977,0.0,Byproduct,1.97,74.33248082753917,91.933248,11.0308016834133,0.829694390296936,0.1835424283366633,1000000.0
