Title,Author,Location,Journal,Material_0,Material_Main,Material_2,Material_3,Additive Species,Additive_1,Additive_2,Additive_3,Additive_4,Application Rate (%DW),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Initial C/N (%),Initial EC (ms/cm),Initial GI (%),Initial FW (kg),Initial DW (kg),Initial NH3-N (g/kg),Initial NO2-N (g/kg),Final Moisture Content (%),Final pH,Final TN (%),Final TC (%),Final C/N (%),Final EC (ms/cm),Final GI (%),Final FW (kg),Final DW (kg),Final NH3-N (g/kg),Final NO2-N (g/kg),TN loss (%),NH3-N (g),N2O-N (g),NH3-N loss (%),N2O-N loss (%),TC loss (%),CH4-C (g),CO2-C (g),CH4-C loss (%),CO2-C loss (%),Method,M1_isEnclosed,M2_isTurning,M3_isForce aeration,M4_isVessel,M5_isReactor,Period (d),Compost volume (m3),Initial density (kg/L),V1_Ventilation Type,V2_Ventilation Interval (min),V3_Ventilation Duration (min),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V6_Extra,Turning times
Biochar increases nitrogen retention and lowers greenhouse gas emissions when added to composting poultry litter,"Eunice Agyarko-Mintah et al.,2017",Australia,Waste Management,Manure,Poultry manure,Sugarcane straw,,None,,,,,0,64.9862,7.46265,2.65926,40,15.04177854,1.67053,,85.74447789,30.0224,0.0126333,0.0111524,40.4123,7.38876,2.94247,33.2033,11.28415923,6.56649,,30.07969766,17.9238,0.00214715,0.023197,55.3,,8.514,,1.4,,0.594,,0.008,,Turning,0,1,0,1,0,60,0.22,0.389747627,None,,,,,,5
Biochar increases nitrogen retention and lowers greenhouse gas emissions when added to composting poultry litter,"Eunice Agyarko-Mintah et al.,2017",Australia,Waste Management,Manure,Poultry manure,Sugarcane straw,,Physical,Biochar,,,,10,62.7622,7.33735,2.86,37.3,13.04195804,3.57061,,89.05950405,33.1638,0.0122977,0.0172491,40.6474,7.39518,2.75068,37.7408,13.72053456,7.29982,,42.03202556,24.9471,0.0019458,0.0377695,48.9,,2.134,,0.4,,0.099,,0.0012,,Turning,0,1,0,1,0,60,0.22,0.404815928,None,,,,,,5
Biochar increases nitrogen retention and lowers greenhouse gas emissions when added to composting poultry litter,"Eunice Agyarko-Mintah et al.,2017",Australia,Waste Management,Manure,Poultry manure,Sugarcane straw,,Physical,Biochar,,,,10,60.6549,7.61365,2.61,37.8,14.48275862,4.80377,,84.27173905,33.1568,0.00719685,0.0188848,38.5295,7.45301,2.97808,34.5069,11.58696207,8.79982,,38.93802718,23.9354,0.00201291,0.0303346,43,,2.706,,0.5,,0.132,,0.0018,,Turning,0,1,0,1,0,60,0.22,0.383053359,None,,,,,,5
"Biochar amendment before or after composting affects compost quality and N losses, but not P plant uptake","Bart Vandecasteele et al.,2016",Itali,Journal of Environmental Management,Other,OFMSW,Green Waste,,None,,,,,0,73,7.3,1.8,35.64,19.8,,,,,,,,,,,,,,,,,,22,,,,,,,,,,Static,0,1,1,0,0,25,,,Continuous,0,,25,,,12
"Biochar amendment before or after composting affects compost quality and N losses, but not P plant uptake","Bart Vandecasteele et al.,2016",Itali,Journal of Environmental Management,Other,OFMSW,Green Waste,,Physical,Biochar,,,,10,69.7,7.6,1.4,38.5,27.5,,,,,,,,,,,,,,,,,,3,,,,,,,,,,Static,0,1,1,0,0,25,,,Continuous,0,,25,,,12
Biochar lowers ammonia emission and improves nitrogen retention in poultry litter composting,"Eunice Agyarko-Mintah et al.,2017",Australia,Waste Management,Manure,Poultry manure,Sugarcane straw,,None,,,,,0,60,7.28993,3.056743095,37.7951,12.3645,,,31.5,12.6,0.281479,0.000400112,42.582,7.86275,3.324192548,34.8392,10.4805,,,19.55362063,11.2272979,0.497275,0.000558364,32.3,41.17647059,,5.6,,,,,,,Turning,0,1,0,1,0,60,0.165,1.909090909,None,,,,,,7
Biochar lowers ammonia emission and improves nitrogen retention in poultry litter composting,"Eunice Agyarko-Mintah et al.,2017",Australia,Waste Management,Manure,Poultry manure,Sugarcane straw,,Physical,Biochar,,,,10,59,7.31734,2.960783429,39.3648,13.2954,,,34.5,14.145,0.24349,0.000558364,41.8398,7.95416,3.357352321,38.2389,11.3896,,,25.31756928,14.72474893,0.553141,0.000374349,15.8,16.47058824,,2.3,,,,,,,Turning,0,1,0,1,0,60,0.165,2.090909091,None,,,,,,7
Biochar lowers ammonia emission and improves nitrogen retention in poultry litter composting,"Eunice Agyarko-Mintah et al.,2017",Australia,Waste Management,Manure,Poultry manure,Sugarcane straw,,Physical,Biochar,,,,10,58,7.38317,3.339649853,38.2086,11.4409,,,34.5,14.49,0.225607,0.000466357,39.0307,8.13514,3.595827629,36.2481,10.0806,,,24.75090832,15.09045555,0.451465,0.000297063,21.9,24.70588235,,2.3,,,,,,,Turning,0,1,0,1,0,60,0.165,2.090909091,None,,,,,,7
Effect of adding biomass fly ash to co-composting of tree pruning waste and cow dung,"Somjai Karnchanawong et al.,2014",Thailand,Advanced Materials Research,Manure,Cow manure,Tree pruning waste,,None,,,,,0,65,7.0135,,,31.6,0.613333,,45.7,,,,,8.19,,,12.96,0.95,,,,,,2.01,,,,,59.78,,,,,Turning,0,1,0,1,0,150,0.12,0.380833333,None,,,,,,21
Effect of adding biomass fly ash to co-composting of tree pruning waste and cow dung,"Somjai Karnchanawong et al.,2014",Thailand,Advanced Materials Research,Manure,Cow manure,Tree pruning waste,,Physical,Biomass fly ash,,,,4,65,6.8869,,,31.67613636,0.693333,,47.5,,,,,8.36,,,13.74,1.03,,,,,,6.5,,,,,59.44,,,,,Turning,0,1,0,1,0,150,0.12,0.395833333,None,,,,,,21
