material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,CO2-C loss  (%)
0,8.349844652961549,114.01017719067802,70.6658038817683,44.095449976744604,9.759309798279268,1,0.22081187822553616,3,[52.8307976]
4,5.5497703592528165,60.46970554944842,48.713074525834024,13.02192464661538,2.912274094313959,0,1.2106870903491864,0,[56.3820704]
3,4.63470083575626,51.04144175972879,70.77157491243214,26.871966458983316,1.2606677783444966,4,2.8879484627634326,0,[56.69735815]
0,5.458695533084646,57.371444566307616,50.5320756467573,12.756115922406385,1.3194626088009649,8,1.1776735372451466,1,[56.98616148]
3,1.4864551091165605,63.956157113120526,29.97537156457504,12.15078814513519,3.7668973313147167,0,1.6939640703554186,1,[57.21582199]
0,5.601048653796564,68.90944988298202,73.3746773947311,29.69892885398247,5.443144109108787,2,0.06300839210428144,0,[52.31999697]
3,5.769847699633257,74.89569602568118,44.00797885328634,13.92571231979455,10.249381972669818,2,1.8457319643990484,2,[52.05693941]
1,8.832317528568069,63.476360340046426,75.4019183019546,53.489943215085056,6.724440005333887,2,1.1391440391406622,3,[51.91190977]
0,5.020971369018273,163.70355464612888,70.77082373847404,13.336744316366495,4.428849610624364,6,1.977705629776235,0,[54.84562663]
1,4.0715357911647185,75.35544557310118,28.20766224857512,19.475548212577827,5.145559049555048,5,0.2835297240668595,2,[55.3798688]
0,2.877295842194425,59.65584151101054,26.096853135062787,19.51276171415389,2.1404029259412662,10,1.1993268487213111,2,[59.34799558]
3,0.999319417010051,44.32581587529027,32.55164175485656,12.672713984334775,4.955844245782229,5,2.3166725632927,0,[54.78753616]
5,6.044479075976078,56.567560457691506,24.202726656489745,2.287041883116196,1.0770719195766287,8,0.24514235157288944,3,[52.38827004]
5,4.804812744473832,113.97740665514696,33.16475706186538,18.164742592045904,4.089834696275951,9,0.22385949516340808,2,[52.51335768]
4,8.445703398183818,75.87403987382837,14.419874287322049,20.539244449001597,2.0655289494254427,4,0.5776086554763342,3,[52.97399856]
0,10.017734056262393,44.558349806481495,47.50238541702327,18.26641840977722,0.2723429621798297,6,2.068070146096211,0,[53.93623956]
5,5.83058999201905,58.345936985525,5.721191526850942,31.132176577375134,8.418554695890368,7,1.0111727656899063,3,[48.35436287]
3,10.691433128320371,180.0478002172425,46.25609613901609,11.348729175079505,9.155595961298323,9,0.8260632374786958,2,[48.46609613]
5,-0.712476572319364,55.828154661571844,11.404001167212801,14.773360803795237,-0.18803214185524808,10,0.8940183523920808,3,[55.71682143]
0,0.8492957721609096,80.13278578994097,50.549886282184495,-0.9783787934381815,4.382290797857052,7,0.6880190787921246,1,[54.32999375]
0,1.2780897132863749,48.45006181912112,0.17303424668339124,20.199709289032892,7.4956424601617435,0,1.406434581943147,1,[57.99283171]
1,3.2908188800970657,55.435013458415455,44.541870071098195,14.0596292089517,-0.21051997749361928,5,2.4635325181870353,0,[55.20560376]
1,10.749687533049789,75.42185807469588,46.41346727546706,14.754396754249102,1.1870873848065364,10,0.4046160930467906,2,[56.43567677]
0,6.586561745134946,41.02645851938339,73.3128880924268,8.827786697915007,6.904621319504345,0,2.4199742816102923,3,[61.08165856]
0,2.9759927299074365,77.75417410744711,6.507745633740038,8.744058313581412,4.57901371950223,9,1.8420647164094532,1,[57.71141304]
1,3.5807536921590892,154.87586820546636,56.22881989878651,15.798896730662998,-0.9508959626610541,10,1.50532804662835,0,[50.24574821]
0,5.8730678181089395,60.54061181312191,86.68724951373756,13.733224275425442,9.528352554905837,8,0.802870048653249,0,[53.90891563]
0,2.807478395736903,134.67703239359827,55.738969702110474,18.05289446539122,-0.3798070735666126,9,0.27106253549766635,3,[50.48155309]
4,6.527950014990324,52.52555823964278,41.04573460946177,10.86822331867513,6.132887032297159,9,0.41917654241909474,2,[55.9956166]
5,4.602971738251563,164.09550511142626,66.0920729006954,25.892267587847034,6.521041789150118,3,1.3079617317044452,4,[48.55263942]
0,6.0245236909243935,80.11939651695117,-0.2963055147998387,13.647282576740045,3.0991613262913544,7,2.1878764973487996,4,[54.56443537]
5,0.6908065644182886,41.956898943480596,7.85121813730999,19.07667190515808,2.335872770218955,9,1.597908955716542,1,[56.48529711]
5,8.310688983727621,55.413987306121676,9.407207748692265,37.72517817526256,9.867188741516536,0,2.019625185973389,4,[49.8279458]
4,2.954019075920841,134.8389871261562,85.2158439698067,9.708675255499521,0.9479470654714803,0,1.960042086534763,1,[51.65305279]
0,5.847275239486053,42.24470354743846,22.80050077269141,13.54148499440494,9.557366524755919,9,1.2513453125884144,2,[53.80278664]
4,7.50665333223599,42.28974792631049,65.7475645294944,15.000028263904351,2.7496112188201223,6,1.578046634512857,1,[56.45019961]
3,2.2103512550774718,44.62447470812001,30.226729140814918,19.935226714434293,-0.6239083344697489,0,0.6773862044541534,2,[56.72162287]
1,6.905852184402969,99.30200967591041,69.36306522354899,4.822865087320947,1.1718583198266819,2,1.7003793302880368,0,[48.91658676]
0,8.632758829516737,70.1418655544214,68.72438487471955,9.314799583867837,-0.16673071294160602,2,2.399394140948827,0,[60.75773896]
5,9.258005184167333,114.25754738513957,78.35131125032119,10.235969979944622,1.018053452055348,6,1.2935814235797594,0,[52.24777583]
2,1.7259889227681577,65.54673572170294,24.511515538668238,1.4371634285420793,3.096916038396773,6,2.4546852360552123,2,[51.81652712]
