material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,TN loss (%)
3,10.25019951048156,89.46832884731879,0.5006087964657325,2,20,13.246714283129885,33.79862563144841,4,[39.96067747]
6,13.415626752870397,64.90454487075748,2.184199591317059,3,57,5.763743762516034,179.05832764668486,4,[37.47475588]
4,0.6006735300752786,64.18812120578869,6.243456631318218,1,67,13.10940221435811,53.60914456862654,4,[39.29148276]
1,4.428639941067827,33.91674965633472,9.506107283852952,3,52,11.699847566592485,79.11685416583339,4,[32.24972531]
1,16.79898013163959,70.11957703895264,7.617653998700893,3,58,6.945398118491516,33.4119632599967,3,[38.653587]
2,0.851185709618198,64.84755056802464,3.782213452408602,3,32,7.442631019248945,178.74351037725938,4,[45.61310965]
2,11.558286414708743,27.804283281614666,1.6754827355239184,4,20,5.4118203041181765,41.689066527549734,4,[37.41102902]
2,15.658957116714763,74.78644373344049,6.286870532813483,2,9,4.302236321921862,163.2811392599484,4,[47.21170068]
2,0.07413257677501428,12.614847222708981,9.646937732076566,5,45,-0.08432667081093759,66.7443710214017,2,[39.10594968]
1,9.155877381108061,68.57393906830225,6.726530474941102,4,51,5.251206799453436,91.79229888103376,4,[44.41339096]
2,5.880930046398893,84.27163519752003,-0.7585447929890794,3,27,11.168154245998739,184.55571076827516,4,[39.86222107]
5,7.760747123928525,74.13592512594155,3.801092283648349,1,0,5.496964971131308,69.39395684371652,4,[44.66560822]
0,3.432393473940879,83.75822264369675,5.983000077747709,2,64,11.878599159913444,85.30981105239462,4,[38.95506069]
1,24.320558657841428,66.44287613147684,6.3780781526839165,5,46,1.0240367384166724,73.2216759000112,4,[44.93043292]
3,27.984180967063338,9.322007605240705,0.0807763449508816,0,14,-0.1891946144070672,35.43212827175525,4,[37.76328173]
5,37.75443220525737,14.199952502252907,3.2165587647872247,1,19,-0.047199937535350345,35.64889204312793,4,[44.02664137]
1,30.59354378423783,15.3757588230885,3.127446328206074,1,23,0.27630298915156914,50.25594039894139,4,[40.28533271]
2,19.605969021354355,73.41960841982187,3.120706770794894,2,10,12.222749551313338,196.92232509721927,4,[36.99754629]
2,9.477335976257049,66.34500473742216,5.739158869681352,2,67,5.6789993886287125,161.7537518300758,4,[46.09379453]
2,-0.546787578144142,86.39086453835702,8.201395248849463,0,64,8.655940268683494,11.728336907598118,4,[35.5279379]
1,8.867032556672754,72.37011355656313,3.0251032595004874,3,55,10.659889317254372,160.3200778697846,4,[42.73640407]
6,5.210142300640632,69.84254502429843,7.290833282907023,1,27,11.43481945175193,179.65919009494425,4,[39.08223714]
4,0.34044736294677413,27.84360591285465,3.0039145571633785,1,76,0.35692872288400235,12.51927938000153,4,[47.34326348]
2,41.05781752285774,88.72135091430546,5.7534435226358065,5,38,0.9518122850740831,133.3414007295234,4,[37.7923774]
2,7.836557237475494,80.60733223478928,5.912791221201512,1,52,11.029828608523662,54.33348741044541,2,[35.76059991]
4,13.139842806307326,85.75577390687947,7.436557775108962,3,65,8.401166587506845,62.8243111301218,4,[37.34644579]
3,35.204519289978556,7.701567472077619,0.8859176965035716,1,60,2.269445972163492,27.83822471905317,4,[38.84814925]
3,15.55168263855953,72.68545333737097,7.865082248613949,2,57,7.993442388168138,56.48504322902351,4,[44.17394972]
