material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,NH3-N loss  (%)
1,8.762620336720659,126.58721767858971,2.6122366688804544,19.917458040035072,10.509416959448242,3,44.221343465695355,4,[36.46958581]
3,9.289802047779819,68.58065662907262,35.4994026485711,32.64485269053894,9.170857288270017,11,27.12967508433322,3,[25.41735192]
1,6.075123774908225,149.4515455035584,1.4673268933159722,49.021573416135226,10.212316340163952,7,45.662301844288976,0,[23.75517383]
2,2.6507364487174696,153.05745895049435,4.876809509673913,42.75940562443968,8.799716280678757,3,43.59894650391285,2,[29.18949823]
2,8.37778866202119,153.9884826443685,35.66781765491042,36.247931384141886,9.03903900086482,5,41.4378641700655,3,[32.43332349]
2,9.555362666249309,46.77699119782491,-0.8943254463050403,27.21404405173368,8.638012471454712,4,31.72377314194031,4,[38.72146014]
2,6.2189978628675195,136.8100436926214,27.951382072732475,24.144517009822838,8.89593709835806,2,14.235065807548859,4,[28.65696051]
1,6.02932486335454,67.66429038697456,30.243400210840004,27.588027653158377,8.672719353350587,8,14.673402418858291,3,[29.01808783]
2,5.590324920560106,73.7805392696323,1.1210289730935536,28.477144152350117,8.582910007459006,1,46.642409868557536,1,[32.37303449]
4,3.47547551423816,158.13362403430762,70.9481104507623,31.796467442437823,9.610121801379053,2,47.1925074488384,1,[23.99465373]
4,4.681939468978954,51.34632698951839,13.633283140532368,20.236921998982893,9.977173976090727,8,48.22078033868989,4,[34.78347496]
5,5.139920199761575,56.72036131119336,1.4676520018857295,27.4972477469198,9.867656552359545,3,43.96111183347963,4,[32.58517188]
3,2.991233810147014,68.57633545780588,-0.9618866141816089,19.61222486682881,10.005399579303328,5,45.6126244644854,4,[44.99546556]
2,6.039117409082875,67.38129060704537,13.864633896841267,35.29636016939812,8.598747456252175,4,33.59737181188022,3,[32.33861297]
