material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,NH3-N loss (%)
1,25.780713779505458,29.116125701067336,10.413211723008006,4,31,3.9492340928821212,12.754905707700734,3,[23.9726313]
4,22.756548788600842,41.08739078017857,10.074995479543562,3,45,2.108902792824082,48.804502472148165,0,[20.24467673]
1,20.327880361805367,9.078438234218366,7.567058268330998,2,70,4.444966425268007,37.53228964382318,4,[19.99331817]
2,13.962009730865848,72.02623940845183,2.1113600781667334,5,39,6.427479367259341,131.82784424390942,1,[15.77313954]
6,10.503760672095897,36.11108208302614,9.900069277707434,3,49,2.4033611567647735,124.77919082051278,4,[19.4029992]
6,25.424843114864995,27.42441921091006,4.979291867181708,4,65,2.0075843197835734,123.97733419913985,4,[20.18894951]
3,35.79291820768155,25.552244877725045,9.012720863058702,3,63,2.730293174391531,42.25428080392582,1,[21.07694203]
6,31.697209189712858,34.99943948250136,6.7731086952005715,3,50,5.43670461951639,6.573364419724479,4,[17.86726501]
4,40.8485333531566,28.934958101373102,8.813043630185144,2,62,2.5628007503846737,42.792461796122865,3,[21.65907146]
2,18.782275926967657,16.02503301449089,9.71506195571805,3,25,13.020690338567574,29.709963106970477,2,[18.56855109]
3,31.12611608794606,41.982984606916474,1.6801582527347563,0,0,1.9418049886596997,94.74011978373784,3,[19.97115259]
0,26.11926340609856,32.747473754114345,8.57924233439155,5,50,1.1101415842123803,139.70578208012424,4,[27.97791894]
5,32.54266227411999,34.41140577015257,8.080090137703984,3,10,2.3260059349143805,26.454685739425038,3,[20.89040947]
4,17.57038806144427,15.402673599601336,8.64149505078364,2,62,5.993341648185709,14.496319692902931,3,[25.14826027]
3,19.43610279433043,24.791217278415772,6.9713722315013165,5,54,0.023050632457716436,141.83974022605986,4,[22.25624091]
2,30.584520789140683,9.475301537906038,0.29158761199739835,4,32,10.447705277698391,101.74159595082786,2,[16.2846316]
1,23.733833073473214,43.211860121775786,10.609260059628024,4,44,3.9478427010758463,142.53485990378758,0,[18.05565344]
0,39.16222872061836,-0.5103613062191926,9.08213356434896,2,45,-0.41391198980930055,45.160029338016685,1,[18.18370711]
0,24.860940271421637,28.304314402562397,10.523172366861099,2,61,3.993207801496787,153.89344401575025,3,[22.89178759]
