material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,TC loss  (%)
1,4.848895484281408,46.88594958726944,49.80208633311316,-0.1781872637988169,8.889398858553688,3,10.922572248440849,4,[53.77369066]
0,2.8118663773154586,118.86441974082202,11.901285195429857,9.048783309477058,4.813834252530462,3,41.54272867152771,0,[54.80086105]
2,2.729660658569783,8.400724269495337,68.10925060069883,23.834601560665767,1.2805699709601512,6,8.358996235274141,3,[57.6508902]
0,-0.7342795346305524,37.737697286603705,4.057239193209241,2.696470258391639,3.6860447006092936,0,9.080040452466562,1,[56.45109623]
1,0.8238943273498127,11.056336959833667,74.24296183849609,28.45073067445616,8.24127794821246,0,56.22191776045094,3,[64.33521495]
3,2.7163069489080547,120.86718123391334,-0.3088839739672783,0.9565870277485455,8.256807723768237,1,39.98701425362181,1,[57.84105065]
2,-0.14741709377983458,36.23106077887629,17.38596654206633,5.769604300594383,6.506881922543827,6,56.67127260742379,0,[57.20927632]
2,-0.5937144058871426,21.831317261961427,30.147226831762044,16.463329955539063,8.271153252991116,6,50.57698365370939,1,[56.88821337]
4,-0.8340195081034305,82.15263678188217,74.85311462697246,33.57444468729283,7.781559303316202,0,37.14010443317249,2,[55.62313079]
0,7.159224540744109,180.16066061629155,73.82464719338641,9.9850631620728,8.336810016912217,2,4.396950804459408,0,[52.91795572]
3,2.130551478058343,108.79642505644033,23.50003131848529,10.343106377740833,2.0325201043616725,7,44.64504126926708,3,[59.21513081]
1,5.901904859027771,44.70664060021691,-0.9639060849137644,18.381249983984063,9.368164605732492,1,29.475423953739632,1,[55.6671908]
4,7.984438910848359,132.0561398394781,72.20098318641004,36.61157667962728,0.19587727238102115,0,53.13995190938116,1,[56.5384451]
2,2.6226824039113796,137.59644697022526,9.612637997548736,16.7029850749309,8.416831433192561,4,52.19543897925388,2,[58.0260792]
1,1.8350127873838038,112.980410573856,34.54335543926418,9.204365234156976,4.730554805355083,6,55.016838706417694,0,[62.3193647]
3,1.184807137923114,111.77786501923663,68.40832140238989,52.30327624433913,3.199737209439629,0,54.78828857103936,3,[55.7791391]
4,2.8296134887884388,38.7208215669198,34.2724553725816,4.6851452063984,8.267534305135708,7,9.941162667751946,4,[58.72471188]
3,0.8891764558833684,71.0352458572085,71.91953946289271,2.4128883285547476,4.547072539687465,7,55.049477829048485,0,[57.45924877]
2,9.92955362528738,115.5253124228097,70.03244439487096,9.730634492732266,4.265689413164466,0,44.93077897341186,1,[52.91037712]
1,1.1589684575465924,58.429935277605324,49.72283146974422,15.968515763509085,9.17537957986315,0,22.62707444203164,1,[57.31306673]
1,5.875967777469176,191.08422197803793,71.08679302259866,24.73494633180875,5.032506337294105,0,53.04188632032242,2,[57.61090591]
0,1.9219394198934845,-0.6255430615863578,46.63113397045361,8.731932348630743,1.246982938449941,1,14.300453859674919,1,[59.06041195]
1,6.388610295451609,55.13945936435449,73.96422010876805,37.555683407469495,1.3714883632783925,0,52.997043202817316,1,[57.91023347]
1,2.5619066696703268,182.91304581605718,67.34712299152221,35.46879031533903,1.509659754763685,6,52.71472204210801,3,[54.88183916]
2,3.4002561111645893,162.78960251698177,71.64258177179447,9.09022398928278,9.161110265728484,3,56.89101173107209,2,[56.50780321]
1,2.274370783185693,114.08004865040199,-0.41102117224039736,15.7025156490423,3.4369927830245004,5,51.60634988898784,3,[52.50909404]
1,6.514785475990486,22.229083278483298,68.43845146190665,51.87545344716398,7.09051661667179,5,55.47029739882401,1,[59.78442256]
0,4.886982415694037,60.18986363807286,72.82317584855485,8.889756135919841,0.5152440891461467,3,57.97848992711132,0,[56.70780139]
