Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),NH3-N loss (%)
9,6,3,31,13,2,0,2,0,26.0,0.0,2,0.0,0,7,0.0,1.2,65.0,0.0,22.46,26.82
9,6,3,4,13,2,0,2,0,26.0,0.0,2,0.0,0,7,15.68,1.2,65.0,0.0,24.97,21.65
9,6,3,4,13,2,0,2,0,26.0,0.0,2,0.0,0,7,31.36,1.2,65.0,0.0,26.48,7.31
9,6,3,4,13,2,0,2,0,42.04,23.07,2,3.76,0,7,4.83,1.42,64.28,0.79,20.52,5.47
9,6,3,31,13,2,0,0,1,35.0,35.0,1,30.0,4,2,0.0,0.06,67.6,0.38,17.43,29.26
9,6,3,33,13,2,0,0,1,35.0,35.0,1,30.0,4,2,0.41,0.06,63.37,0.38,14.84,16.11
9,6,3,6,13,2,0,0,1,35.0,35.0,1,30.0,4,2,0.41,0.06,67.38,0.38,16.2,30.93
9,6,3,33,1,2,0,0,1,35.0,35.0,1,30.0,4,2,0.41,0.06,66.1,0.38,13.98,16.12
9,6,3,31,13,2,0,0,1,28.0,28.0,0,0.0,0,5,0.0,0.06,57.54,0.48,19.25,24.95
9,6,3,14,13,2,0,0,1,28.0,28.0,0,0.0,0,5,2.45,0.06,58.47,0.48,28.18,11.23
9,6,3,13,13,2,0,0,1,28.0,28.0,0,0.0,0,5,2.45,0.06,58.21,0.48,28.18,22.85
9,6,3,16,13,2,0,0,1,28.0,28.0,0,0.0,0,5,4.35,0.06,62.72,0.48,16.85,26.71
8,6,3,31,13,2,0,0,1,34.0,34.0,0,0.0,0,6,0.0,0.06,65.0,0.27,11.37,31.52
8,6,3,40,13,2,0,0,1,34.0,34.0,0,0.0,0,6,10.0,0.06,65.0,0.26,11.37,21.26
8,6,3,40,2,2,0,0,1,34.0,34.0,0,0.0,0,6,10.29,0.06,65.0,0.26,11.37,16.22
8,6,3,40,2,2,0,0,1,34.0,34.0,0,0.0,0,6,14.57,0.06,65.0,0.26,11.37,14.88
9,6,3,31,13,2,0,0,1,35.0,0.0,0,0.0,0,6,0.0,0.06,69.2,0.25,18.43,32.5
9,6,3,14,10,2,0,0,1,35.0,0.0,0,0.0,0,6,8.87,0.06,63.46,0.25,18.43,14.5
9,6,3,40,13,2,0,0,1,35.0,0.0,0,0.0,0,6,4.0,0.06,65.48,0.25,18.43,20.3
9,6,3,14,13,2,0,0,1,35.0,0.0,0,0.0,0,6,8.87,0.06,63.46,0.25,18.43,12.4
7,6,3,31,13,2,0,0,1,50.0,15.7,0,1.02,0,8,0.0,0.1,60.0,0.62,31.01,36.3
7,6,3,8,13,2,0,0,1,50.0,16.3,0,0.03,0,8,2.0,0.1,60.0,0.0,30.06,33.2
7,6,3,8,13,2,0,0,1,50.0,10.7,0,0.03,0,8,4.0,0.1,60.0,0.6,30.33,26.6
7,6,3,8,13,2,0,0,1,50.0,30.7,0,1.02,0,8,6.0,0.1,60.0,1.25,30.55,20.4
7,6,3,8,13,2,0,0,1,50.0,25.1,0,1.02,0,8,8.0,0.1,60.0,1.25,31.04,14.9
7,6,3,8,13,2,0,0,1,50.0,25.1,0,1.02,0,8,10.0,0.1,60.0,0.69,30.79,10.7
9,6,3,31,13,2,0,0,1,50.0,50.0,0,0.0,0,8,0.0,0.1,55.0,0.3,25.0,2.49
9,6,3,4,13,2,0,0,1,50.0,50.0,0,0.0,0,8,10.0,0.1,61.49,0.3,24.25,1.57
9,6,3,4,15,2,0,0,1,50.0,50.0,0,0.0,0,8,20.0,0.1,60.71,0.3,18.55,0.86
9,6,3,4,15,3,0,0,1,50.0,50.0,0,0.0,0,8,20.5,0.1,59.46,0.3,18.55,0.83
9,6,3,4,15,3,0,0,1,50.0,50.0,0,0.0,0,8,21.0,0.1,59.72,0.3,18.55,0.68
9,6,3,4,15,3,0,0,1,50.0,50.0,0,0.0,0,8,22.0,0.1,59.72,0.3,17.95,0.58
8,5,3,31,13,2,0,0,1,34.0,34.0,0,0.0,0,7,0.0,0.01,67.6,0.03,33.5,8.7
8,5,3,24,8,2,0,0,1,34.0,34.0,0,0.0,0,7,7.73,0.01,67.3,0.03,33.52,7.87
8,5,3,17,6,2,0,0,1,34.0,34.0,0,0.0,0,7,7.13,0.01,66.8,0.03,33.11,6.6
8,5,3,24,6,2,0,0,1,34.0,34.0,0,0.0,0,7,6.05,0.01,66.0,0.03,31.53,3.5
7,6,3,31,13,2,0,0,1,42.04,23.07,0,3.76,0,12,4.83,1.42,64.28,0.79,20.52,12.93
7,6,3,4,13,2,0,0,1,91.0,22.4,0,0.0,0,12,12.5,0.25,60.0,0.4,20.0,9.07
7,6,3,12,13,2,0,0,1,91.0,22.4,0,0.0,0,12,12.5,0.25,60.0,0.4,20.0,4.31
7,6,3,4,3,2,0,0,1,42.04,23.07,0,3.76,0,12,4.83,1.42,64.28,0.79,20.52,2.61
7,6,3,31,13,2,0,0,1,42.04,23.07,0,3.76,0,12,4.83,1.42,64.28,0.79,20.52,10.74
7,6,3,4,13,2,0,0,1,42.04,23.07,0,3.76,0,12,4.83,1.42,64.28,0.79,20.52,7.73
7,6,3,12,13,2,0,0,1,42.04,23.07,0,3.76,0,12,4.83,1.42,64.28,0.79,20.52,3.65
7,6,3,4,3,2,0,0,1,42.04,23.07,0,3.76,0,12,4.83,1.42,64.28,0.79,20.52,2.33
7,6,3,31,13,2,0,0,1,42.04,23.07,0,3.76,0,12,4.83,1.42,64.28,0.79,20.52,7.82
7,6,3,4,13,2,0,0,1,42.04,23.07,0,3.76,0,12,4.83,1.42,64.28,0.79,20.52,4.11
7,6,3,12,13,2,0,0,1,42.04,23.07,0,3.76,0,12,4.83,1.42,64.28,0.79,20.52,3.05
7,6,3,4,3,2,0,0,1,42.04,23.07,0,3.76,0,12,4.83,1.42,64.28,0.79,20.52,2.05
0,3,3,31,13,2,0,0,1,42.04,23.07,0,3.76,0,1,4.83,1.42,64.28,0.79,20.52,23.37
0,3,3,33,13,2,0,0,1,42.04,23.07,0,3.76,0,1,4.83,1.42,64.28,0.79,20.52,14.49
0,3,3,44,13,2,0,0,1,42.04,23.07,0,3.76,0,1,4.83,1.42,64.28,0.79,20.52,16.26
0,3,3,33,15,2,0,0,1,42.04,23.07,0,3.76,0,1,4.83,1.42,64.28,0.79,20.52,19.37
0,6,3,31,13,2,0,0,1,42.04,23.07,0,3.76,0,1,4.83,1.42,64.28,0.79,20.52,9.98
0,6,3,33,13,2,0,0,1,42.04,23.07,0,3.76,0,1,4.83,1.42,64.28,0.79,20.52,13.02
0,6,3,44,13,2,0,0,1,42.04,23.07,0,3.76,0,1,4.83,1.42,64.28,0.79,20.52,11.79
0,6,3,33,15,2,0,0,1,42.04,23.07,0,3.76,0,1,4.83,1.42,64.28,0.79,20.52,10.95
0,5,3,31,13,2,0,0,1,42.04,23.07,0,3.76,0,1,4.83,1.42,64.28,0.79,20.52,6.04
0,5,3,33,13,2,0,0,1,42.04,23.07,0,3.76,0,1,4.83,1.42,64.28,0.79,20.52,14.49
0,5,3,44,13,2,0,0,1,42.04,23.07,0,3.76,0,1,4.83,1.42,64.28,0.79,20.52,10.19
0,5,3,33,15,2,0,0,1,42.04,23.07,0,3.76,0,1,4.83,1.42,64.28,0.79,20.52,16.33
1,3,3,31,13,2,0,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,69.0,0.28,11.0,12.68
1,4,3,31,13,2,0,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,63.0,0.28,11.0,12.09
1,4,3,31,13,2,0,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,66.0,0.28,11.0,12.98
1,5,3,31,13,2,0,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,65.0,0.28,14.7,10.27
1,5,3,31,13,2,0,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,67.0,0.28,12.9,10.56
1,3,3,4,13,2,0,0,1,28.0,28.0,0,0.0,0,0,25.0,0.01,65.0,0.28,16.7,9.09
1,3,3,4,13,2,0,0,1,28.0,28.0,0,0.0,0,0,14.29,0.01,67.0,0.28,14.0,9.49
1,6,3,31,13,2,0,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,65.0,0.28,14.0,9.09
1,1,3,31,13,2,0,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,65.0,0.28,12.1,11.69
9,6,3,31,13,2,0,0,1,37.0,37.0,0,0.0,0,4,0.0,0.06,64.1,0.24,14.7,13.9
9,6,3,31,13,2,0,0,1,37.0,37.0,0,0.0,0,4,0.0,0.06,65.2,0.48,18.3,18.7
9,6,3,31,13,2,0,0,1,37.0,37.0,0,0.0,0,4,0.0,0.06,63.7,0.72,20.7,20.6
9,6,3,31,13,2,0,0,1,37.0,37.0,0,0.0,0,4,0.0,0.06,71.3,0.24,18.4,12.7
9,6,3,31,13,2,0,0,1,37.0,37.0,0,0.0,0,4,0.0,0.06,70.6,0.48,21.1,16.9
9,6,3,31,13,2,0,0,1,37.0,37.0,0,0.0,0,4,0.0,0.06,70.8,0.72,15.0,32.4
9,6,3,31,13,2,0,0,1,37.0,37.0,0,0.0,0,4,0.0,0.06,75.7,0.24,21.2,9.6
9,6,3,31,13,2,0,0,1,37.0,37.0,0,0.0,0,4,0.0,0.06,76.8,0.48,14.9,27.7
9,6,3,31,13,2,0,0,1,37.0,37.0,0,0.0,0,4,0.0,0.06,74.0,0.72,18.0,24.9
0,3,3,31,13,2,0,1,1,21.0,21.0,2,0.0,0,0,0.0,0.08,71.66,0.0,18.05,5.37
0,3,3,31,13,2,0,1,1,21.0,21.0,2,0.0,0,0,0.0,0.44,69.89,0.0,19.55,2.59
9,6,3,31,13,2,0,0,1,31.0,30.0,0,0.0,0,1,2.83,0.95,69.47,0.31,13.16,23.81
0,5,3,31,13,2,0,0,1,35.0,35.0,0,0.0,0,8,0.0,0.16,66.03,0.81,21.96,12.59
0,5,3,31,13,2,0,0,1,35.0,35.0,0,0.0,0,8,0.0,0.3,65.69,0.6,21.51,16.16
0,5,3,31,13,2,0,0,1,35.0,35.0,0,0.0,0,8,0.0,0.57,66.14,0.81,21.64,17.44
9,6,3,31,13,2,0,1,0,70.0,0.0,2,0.0,0,9,0.0,1.2,64.0,0.0,17.4,29.5
9,6,3,31,13,2,0,1,1,70.0,0.0,2,0.0,0,9,0.0,1.2,64.0,0.0,17.4,26.6
9,6,3,31,13,2,0,1,0,70.0,0.0,2,0.0,0,5,0.0,1.2,64.0,0.0,17.4,27.9
9,6,3,31,13,2,0,1,1,70.0,0.0,2,0.0,0,5,0.0,1.2,64.0,0.0,17.4,23.7
9,6,3,31,13,2,0,1,0,70.0,0.0,2,0.0,0,0,0.0,1.2,64.0,0.0,17.4,12.8
9,6,3,31,13,2,0,1,1,70.0,0.0,2,0.0,0,0,0.0,1.2,64.0,0.0,17.4,10.3
