Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,Application Rate (%DW),V3_Ventilation Duration (min),Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
10,13,4,2,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,10.0,0.0,22.74107,0.3,61.5,12.303
10,13,4,2,15,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,20.0,0.0,20.05,0.3,64.0,11.9394
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,20.5,0.0,20.05,0.3,64.0,11.2121
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,21.0,0.0,20.05,0.3,64.0,9.51515
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,22.0,0.0,19.75,0.3,64.0,9.18182
7,13,4,27,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,0.0,0.0,0.0,20.0,0.0,60.0,63.5179
7,13,4,2,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,26.4,12.5,0.0,20.0,0.202,60.0,57.0893
7,13,4,12,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,26.4,12.5,0.0,20.0,0.202,60.0,59.3214
7,13,4,2,5,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,55.2,25.0,0.0,20.0,0.408,60.0,46.2857
7,13,4,27,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,0.0,0.0,0.0,25.0,0.0,60.0,63.4286
7,13,4,2,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,20.4,12.5,0.0,25.0,0.18,60.0,54.8571
7,13,4,12,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,20.4,12.5,0.0,25.0,0.18,60.0,57.9821
7,13,4,2,5,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,55.2,25.0,0.0,25.0,0.408,60.0,46.8214
7,13,4,27,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,8.4,0.0,0.0,30.0,0.07,60.0,65.3036
7,13,4,2,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,8.4,12.5,0.0,30.0,0.07,60.0,58.9643
7,13,4,12,11,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,8.4,12.5,0.0,30.0,0.07,60.0,57.625
7,13,4,2,5,4,1,0,1.0,0.0,13.0,91.0,0.25,0.0,53.2,25.0,0.0,30.0,0.424,60.0,51.1071
8,13,1,27,11,4,1,0,1.0,0.0,0.0,32.0,0.1,0.0,32.0,0.0,0.0,17.96,0.303,75.32,22.82
8,13,1,27,11,4,1,0,1.0,0.0,0.0,32.0,0.1,0.0,32.0,0.0,0.0,17.83,0.274,69.37,43.09
8,13,1,27,11,4,1,0,1.0,0.0,0.0,32.0,0.1,0.0,32.0,0.0,0.0,19.19,0.336,66.06,49.76
0,13,8,27,11,4,1,0,1.0,0.0,0.0,32.0,0.1,0.0,32.0,0.0,0.0,21.77,0.355,76.28,23.45
0,13,8,27,11,4,1,0,1.0,0.0,0.0,32.0,0.1,0.0,32.0,0.0,0.0,21.05,0.328,72.85,37.55
0,13,8,27,11,4,1,0,1.0,0.0,0.0,32.0,0.1,0.0,32.0,0.0,0.0,22.43,0.336,63.45,57.58
8,13,4,27,11,4,1,0,1.0,0.0,0.0,32.0,0.1,0.0,32.0,0.0,0.0,12.13,0.26321,67.86,32.63
0,13,4,27,11,4,1,0,1.0,0.0,0.0,32.0,0.1,0.0,32.0,0.0,0.0,22.24,0.355,76.28,36.19
8,2,4,27,11,4,1,2,0.0,0.0,6.0,70.0,22.5,2.0,0.0,0.0,0.0,27.07459,0.0,63.81271,34.44421
8,2,4,2,11,4,1,2,0.0,0.0,6.0,70.0,22.5,2.0,0.0,0.6,0.0,27.07459,0.0,63.81271,28.30697
8,2,4,2,11,4,1,2,0.0,0.0,6.0,70.0,22.5,2.0,0.0,1.0,0.0,27.07459,0.0,63.81271,29.97245
8,2,4,2,11,4,1,2,0.0,0.0,6.0,70.0,22.5,2.0,0.0,1.7,0.0,27.07459,0.0,63.81271,30.68183
8,2,4,27,11,4,1,2,0.0,0.0,8.0,56.0,22.5,2.0,0.0,0.0,0.0,27.23283,0.0,64.00481,46.88991
8,2,4,2,11,4,1,2,0.0,0.0,8.0,56.0,22.5,2.0,0.0,4.0,0.0,27.23283,0.0,63.81271,34.85462
8,2,4,2,11,4,1,2,0.0,0.0,8.0,56.0,22.5,2.0,0.0,7.3,0.0,25.58648,0.0,63.7579,33.33327
8,2,4,2,11,4,1,2,0.0,0.0,8.0,56.0,22.5,2.0,0.0,13.5,0.0,25.57485,0.0,62.8479,23.79163
8,2,4,2,11,4,1,2,0.0,0.0,8.0,56.0,22.5,2.0,0.0,25.0,0.0,25.57485,0.0,59.99457,13.35194
8,2,4,2,11,4,1,2,0.0,0.0,8.0,56.0,22.5,2.0,0.0,38.0,0.0,24.77718,0.0,57.92593,21.21206
5,13,6,27,11,4,1,0,1.0,0.0,0.0,28.0,0.1,0.0,28.0,0.0,0.0,45.0,0.2425,58.4,36.77
5,13,6,27,11,4,1,0,1.0,0.0,0.0,28.0,0.1,0.0,28.0,0.0,0.0,40.0,0.2545,56.2,45.06
5,13,6,27,11,4,1,0,1.0,0.0,0.0,28.0,0.1,0.0,28.0,0.0,0.0,35.0,0.28783,58.8,43.65
5,13,6,27,11,4,1,0,1.0,0.0,0.0,28.0,0.1,0.0,28.0,0.0,0.0,30.0,0.36,60.9,50.1
5,13,6,27,11,4,1,0,1.0,0.0,0.0,28.0,0.1,0.0,28.0,0.0,0.0,25.0,0.399,61.9,53.43
7,0,9,27,11,4,1,0,1.0,0.0,0.0,28.0,0.1,0.0,28.0,0.0,0.0,20.0,0.343,61.9,56.34
7,0,9,27,11,4,1,0,1.0,0.0,0.0,28.0,0.1,0.0,28.0,0.0,0.0,15.0,0.31221,64.5,54.84
7,13,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.1,0.0,28.0,0.0,0.0,11.7,0.30421,65.3,56.57
0,5,4,27,11,4,1,0,1.0,0.0,1.0,100.0,0.00025,0.0,100.0,0.0,0.0,23.45395,17.85714,50.0,67.8621
0,5,4,30,11,4,1,0,1.0,0.0,1.0,100.0,0.00025,0.0,100.0,50.0,0.0,22.89423,11.90476,50.0,68.5241
0,5,4,38,11,4,1,0,1.0,0.0,1.0,100.0,0.00025,0.0,100.0,50.0,0.0,23.34314,11.90476,50.0,65.7655
0,5,4,30,15,4,1,0,1.0,0.0,1.0,100.0,0.00025,0.0,100.0,50.0,0.0,23.1165,11.90476,50.0,68.0828
0,13,4,27,11,4,1,0,1.0,0.0,1.0,100.0,0.00025,0.0,100.0,0.0,0.0,37.16,8.92857,50.0,64.5517
0,13,4,30,11,4,1,0,1.0,0.0,1.0,100.0,0.00025,0.0,100.0,25.0,0.0,36.2561,7.14286,50.0,59.3655
0,13,4,38,11,4,1,0,1.0,0.0,1.0,100.0,0.00025,0.0,100.0,25.0,0.0,37.1625,7.14286,50.0,55.7241
0,13,4,30,15,4,1,0,1.0,0.0,1.0,100.0,0.00025,0.0,100.0,25.0,0.0,36.7037,7.14286,50.0,59.3655
0,8,4,27,11,4,1,0,1.0,0.0,1.0,100.0,0.00025,0.0,100.0,0.0,0.0,47.54118,8.92857,50.0,61.6828
0,8,4,30,11,4,1,0,1.0,0.0,1.0,100.0,0.00025,0.0,100.0,25.0,0.0,46.18571,7.14286,50.0,43.9172
0,8,4,38,11,4,1,0,1.0,0.0,1.0,100.0,0.00025,0.0,100.0,25.0,0.0,47.54412,7.14286,50.0,53.0759
0,8,4,30,15,4,1,0,1.0,0.0,1.0,100.0,0.00025,0.0,100.0,25.0,0.0,46.85507,7.14286,50.0,51.6414
10,5,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.12,2.0,0.0,0.0,0.0,12.2,0.0,81.0,24.9
10,13,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.12,2.0,0.0,0.0,0.0,15.3,0.0,75.8,31.4
1,13,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.12,2.0,0.0,0.0,0.0,22.3,0.0,77.3,31.6
1,13,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.12,2.0,0.0,0.0,0.0,20.1,0.0,77.0,40.8
1,0,4,27,11,4,1,0,0.0,0.0,0.0,84.0,0.12,2.0,0.0,0.0,0.0,29.9,0.0,80.0,35.0
1,5,4,2,11,4,1,0,0.0,0.0,0.0,84.0,0.12,2.0,0.0,22.28321,0.0,16.9,0.0,84.1,14.9
1,13,4,2,11,4,1,0,0.0,0.0,0.0,84.0,0.12,2.0,0.0,9.53373,0.0,20.5,0.0,80.7,32.3
1,13,4,2,11,4,1,0,0.0,0.0,0.0,84.0,0.12,2.0,0.0,15.84383,0.0,21.3,0.0,81.5,25.3
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,11.35,0.0,16.0,0.22,60.0,44.0
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,11.35,0.0,19.0,0.44,60.0,51.0
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,10.35,0.0,22.0,0.66,60.0,54.0
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,11.35,0.0,19.0,0.22,65.0,42.0
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,10.35,0.0,22.0,0.44,65.0,56.0
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,11.35,0.0,16.0,0.66,65.0,51.0
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,9.35,0.0,22.0,0.22,70.0,47.0
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,9.35,0.0,16.0,0.44,70.0,36.0
0,13,4,4,11,4,1,0,1.0,0.0,5.0,60.0,0.045,0.0,60.0,9.35,0.0,19.0,0.66,70.0,50.0
1,5,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,28.0,0.0,0.0,11.0,0.28,69.0,23.5
1,6,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,28.0,0.0,0.0,11.0,0.28,63.0,20.6
1,6,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,28.0,0.0,0.0,11.0,0.28,66.0,21.8
1,8,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,28.0,0.0,0.0,14.7,0.28,65.0,16.8
1,8,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,28.0,0.0,0.0,12.9,0.28,67.0,19.2
1,5,4,2,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,28.0,25.0,0.0,16.7,0.28,65.0,8.9
1,5,4,2,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,28.0,14.28571,0.0,14.0,0.28,67.0,13.4
1,13,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,28.0,0.0,0.0,14.0,0.28,65.0,29.5
1,2,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.01,0.0,28.0,0.0,0.0,12.1,0.28,65.0,18.6
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,0.0,25.0,14.5,0.24,65.0,43.0
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,0.0,25.0,18.09524,0.48,65.0,50.0
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,0.0,25.0,20.73684,0.72,65.0,53.0
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,0.0,25.0,18.09524,0.24,70.0,41.0
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,0.0,25.0,21.10526,0.48,70.0,55.0
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,0.0,25.0,14.66667,0.72,70.0,50.0
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,0.0,25.0,21.52632,0.24,75.0,46.0
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,0.0,25.0,14.70833,0.48,75.0,34.0
10,13,4,27,11,4,1,0,1.0,5.0,4.0,37.0,0.06,1.0,37.0,0.0,25.0,17.90476,0.72,75.0,49.0
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,14.7,0.24,64.1,42.7
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.06,0.0,37.0,0.0,0.0,18.3,0.48,65.2,51.0
