Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V3_Ventilation Duration (min),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Initial Moisture Content (%),Initial pH,Initial TN (%),CH4-C loss (%)
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,0.13,6.0,0.0,30.568,60.4548,6.54057,1.562,0.25
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,0.13,8.0,0.0,30.8801,60.0684,6.49486,1.563,0.19
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,0.13,10.0,0.0,31.0362,59.4546,6.55429,1.555,0.17
10,5,4,27,11,4,1,1,0.0,0.0,0.0,96.5,0.0,2.0,0.0,0.4,0.0,0.0,6.53,77.53,6.2,1.90678,0.13
10,0,4,27,11,4,1,1,0.0,0.0,0.0,120.1,0.0,2.0,0.0,0.4,0.0,0.0,6.81,66.71,7.01,1.54678,0.9
10,0,4,27,11,4,1,1,0.0,0.0,0.0,120.1,0.0,2.0,0.0,0.4,0.0,0.0,9.22,66.36,7.41,1.56389,0.4
10,0,4,27,11,4,1,1,0.0,0.0,0.0,120.1,0.0,2.0,0.0,14.53621,0.0,0.0,7.35,67.68,7.59,1.59118,0.9
10,0,4,27,11,4,1,1,0.0,0.0,0.0,109.8,0.0,2.0,0.0,14.53621,0.0,0.0,7.24,66.26,8.04,1.59118,1.2
8,8,4,27,11,4,1,0,1.0,0.0,0.0,50.0,0.0,0.0,50.0,0.03,0.0,0.22286,19.11,72.13,5.67,2.21,0.01872
8,13,4,27,11,4,1,0,1.0,0.0,0.0,50.0,0.0,0.0,50.0,0.03,0.0,0.20526,13.27,69.74,7.56,2.93,0.20265
8,4,4,27,11,4,1,0,1.0,0.0,0.0,50.0,0.0,0.0,50.0,0.03,0.0,0.21455,13.56,71.05,8.08,3.48,0.14782
2,5,4,27,11,4,1,0,1.0,60.0,4.0,28.0,30.0,1.0,28.0,0.06,0.0,1.20727,25.0,66.9,5.75,1.5,0.34
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,30.0,1.0,28.0,0.06,0.0,0.96434,20.9,58.6,5.36,1.7,0.27
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,30.0,1.0,28.0,0.06,0.0,0.85547,18.7,53.1,5.13,1.9,0.2
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,30.0,1.0,28.0,0.06,0.0,0.76023,16.8,47.5,5.04,2.0,0.12
0,5,4,27,11,4,1,2,0.0,0.0,0.0,287.0,0.0,2.0,0.0,0.04906,0.0,0.0,18.15183,80.89,7.47,2.516,1.0
0,5,4,27,11,4,1,2,0.0,0.0,0.0,287.0,0.0,2.0,0.0,0.09813,0.0,0.0,16.16184,80.82,7.42,2.83,1.49
10,13,4,37,11,4,1,2,1.0,0.0,0.0,56.0,0.0,0.0,56.0,1.37,0.32468,0.108,19.5,69.2,8.6,2.33766,0.06
10,8,9,37,11,4,1,2,1.0,0.0,0.0,56.0,0.0,0.0,56.0,1.37,2.06897,0.108,21.2,71.0,9.2,2.31034,0.05
10,13,4,16,11,4,1,2,1.0,0.0,0.0,56.0,0.0,0.0,56.0,1.37,0.0,0.108,19.6,70.3,7.5,2.22222,0.02
10,8,9,37,11,4,1,2,1.0,0.0,0.0,56.0,0.0,0.0,56.0,1.18,2.83688,0.108,19.5,71.8,8.4,2.30496,0.03
0,13,4,27,11,4,1,1,0.0,0.0,0.0,64.0,0.0,2.0,0.0,1.1,0.0,0.0,17.898,74.27405,7.9,2.04892,0.197
0,13,4,27,11,4,1,1,1.0,0.0,0.0,64.0,0.0,2.0,0.0,1.1,0.0,0.0,17.898,74.27405,7.9,2.04892,0.296
0,13,4,27,11,4,1,1,1.0,0.0,12.0,64.0,0.0,2.0,0.0,1.1,0.0,0.0,21.63185,74.27405,7.9,2.04892,0.428
0,13,4,27,11,4,1,1,1.0,1410.0,12.0,64.0,30.0,1.0,64.0,1.1,0.0,2.5,26.05473,74.27405,7.9,2.04892,0.164
7,13,4,27,11,4,1,0,1.0,720.0,4.0,30.0,10.0,1.0,30.0,0.1,0.0,0.00833,41.11596,60.0,7.7987,0.77987,0.049
7,13,4,7,11,4,1,0,1.0,720.0,4.0,30.0,10.0,1.0,30.0,0.1,10.0,0.00833,38.25338,60.0,7.88312,0.78831,0.05
7,13,4,2,11,4,1,0,1.0,720.0,4.0,30.0,10.0,1.0,30.0,0.1,10.0,0.00833,42.9974,60.0,7.73377,0.77338,0.028
0,13,4,27,11,4,1,0,1.0,0.0,0.0,20.0,0.0,0.0,20.0,0.06,0.0,0.21,29.35,60.22,7.53,1.45,0.15
0,13,4,27,11,4,1,0,1.0,10.0,0.0,20.0,10.0,1.0,20.0,0.06,0.0,0.42,29.35,60.22,7.53,1.45,0.13
0,13,4,27,11,4,1,0,1.0,15.0,0.0,20.0,5.0,1.0,20.0,0.06,0.0,0.84,29.35,60.22,7.53,1.45,0.21
10,13,4,27,11,4,1,0,1.0,0.0,9.0,56.0,0.0,2.0,0.0,0.1,0.0,0.0,24.8781,65.98502,7.35211,1.66749,4.3
10,13,4,28,11,4,1,0,1.0,0.0,9.0,56.0,0.0,2.0,0.0,0.1,15.0,0.0,22.8873,69.6223,7.71979,1.80593,7.21
