Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH,NH3-N loss (%)
6,8,4,27,11,4,1,0,1.0,0.0,2.0,30.7,30.7,0.0,0.0,0.0,0.3,0.17962,60.1,1.797,21.78854,6.80145,0.7338
6,8,4,27,11,4,1,0,1.0,0.0,2.0,30.8,30.8,0.0,0.0,0.0,0.3,0.16436,35.1,1.521,24.6956,6.69034,0.00779
1,8,4,27,11,4,1,0,1.0,0.0,2.0,30.8,30.8,0.0,0.0,0.0,0.3,0.07656,43.4,2.098,15.42469,7.18537,0.07871
0,5,4,27,11,4,1,0,1.0,0.0,11.0,66.0,66.0,0.0,0.0,0.0,0.028,0.4,72.7,1.9,18.0,8.15,23.7467
0,5,4,27,11,4,1,0,1.0,0.0,11.0,66.0,66.0,0.0,0.0,0.0,0.028,0.4,71.7,1.92,18.0,8.483,20.78947
0,5,4,27,11,4,1,0,1.0,0.0,11.0,66.0,66.0,0.0,0.0,0.0,0.028,0.2,71.7,1.92,18.0,8.483,17.63158
0,8,4,27,11,4,1,0,1.0,0.0,11.0,66.0,66.0,0.0,0.0,0.0,0.028,0.2,68.8,1.76,22.0,8.573,11.45833
0,8,4,27,11,4,1,0,1.0,0.0,11.0,66.0,66.0,0.0,0.0,0.0,0.028,0.2,69.5,1.55,26.0,8.573,9.36556
0,8,4,27,11,4,1,0,1.0,0.0,11.0,66.0,66.0,0.0,0.0,0.0,0.028,0.2,67.3,1.33,29.0,8.47642,13.15789
0,5,4,27,11,4,1,0,1.0,0.0,11.0,66.0,66.0,0.0,0.0,0.0,0.028,0.2,71.8,1.92,18.0,8.43,18.99736
0,13,4,27,11,4,1,1,0.0,0.0,0.0,64.0,0.0,2.0,0.0,0.0,1.1,0.0,74.27405,2.04892,23.79619,7.9,8.84253
0,13,4,27,11,4,1,1,1.0,0.0,0.0,64.0,0.0,2.0,0.0,0.0,1.1,0.0,74.27405,2.04892,23.79619,7.9,8.03866
0,13,4,27,11,4,1,1,1.0,0.0,12.0,64.0,0.0,2.0,0.0,0.0,1.1,0.0,74.27405,2.04892,23.79619,7.9,17.68506
0,13,4,27,11,4,1,1,1.0,1410.0,12.0,64.0,64.0,1.0,30.0,0.0,1.1,2.5,74.27405,2.04892,19.62,7.9,24.11599
7,13,4,27,11,4,1,0,1.0,720.0,4.0,30.0,30.0,1.0,10.0,0.0,0.1,0.00833,60.0,0.77987,41.11596,7.7987,8.8
7,13,4,7,11,4,1,0,1.0,720.0,4.0,30.0,30.0,1.0,10.0,10.0,0.1,0.00833,60.0,0.78831,38.25338,7.88312,8.6
7,13,4,2,11,4,1,0,1.0,720.0,4.0,30.0,30.0,1.0,10.0,10.0,0.1,0.00833,60.0,0.77338,42.9974,7.73377,6.4
0,13,4,27,11,4,1,0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.06,0.21,60.22,1.45,29.35,7.53,17.2859
0,13,4,27,11,4,1,0,1.0,10.0,0.0,20.0,20.0,1.0,10.0,0.0,0.06,0.42,60.22,1.45,29.35,7.53,13.0478
0,13,4,27,11,4,1,0,1.0,15.0,0.0,20.0,20.0,1.0,5.0,0.0,0.06,0.84,60.22,1.45,29.35,7.53,13.9488
10,13,4,27,11,4,1,0,1.0,0.0,9.0,56.0,0.0,2.0,0.0,0.0,0.1,0.0,68.29741,1.66749,24.8781,7.59534,20.65
10,13,4,28,11,4,1,0,1.0,0.0,9.0,56.0,0.0,2.0,0.0,15.0,0.1,0.0,63.22546,1.80593,22.8873,7.37998,28.11
10,13,4,2,11,4,1,0,1.0,0.0,9.0,56.0,0.0,2.0,0.0,10.0,0.1,0.0,62.77778,1.57849,26.366,6.77892,13.86
10,13,4,2,12,4,1,0,1.0,0.0,9.0,56.0,0.0,2.0,0.0,25.0,0.1,0.0,63.276,1.71941,24.4799,7.74953,19.21
0,5,4,27,11,4,1,0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.06,0.21,55.0,2.34,11.5,7.26,14.75511
0,5,4,17,11,4,1,0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,20.0,0.06,0.21,55.0,2.52,14.7,7.36,8.92663
0,5,4,17,11,4,1,0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,20.0,0.06,0.21,55.0,2.52,14.0,7.21,6.29648
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,0.0,0.06,0.2,72.1,2.77826,10.57997,7.82186,29.52
8,13,4,30,11,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,10.0,0.06,0.2,72.1,2.59565,11.30095,7.57287,24.68
8,13,4,4,11,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,10.0,0.06,0.2,72.1,2.6837,10.89254,7.78543,21.16
8,13,4,30,3,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,12.5,0.06,0.2,72.1,2.68042,11.19228,7.75506,32.03
8,13,4,4,3,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,12.5,0.06,0.2,72.1,2.67717,11.3794,7.69433,22.91
10,13,4,27,11,4,1,0,1.0,0.0,1.0,21.0,21.0,0.0,0.0,0.0,1.2096,0.24,59.81,1.91,19.9,7.3,17.13
10,0,4,27,11,4,1,0,1.0,0.0,1.0,21.0,21.0,0.0,0.0,0.0,1.2096,0.24,60.21,1.79,19.9,7.86,11.11
7,8,4,27,11,4,1,0,1.0,0.0,15.0,15.0,15.0,0.0,0.0,0.0,0.018,0.9532,65.03,2.16588,12.88,7.88046,23.4667
7,8,4,2,11,4,1,0,1.0,0.0,15.0,15.0,15.0,0.0,0.0,29.0,0.018,0.90506,63.17,1.92582,24.41,7.88046,17.6
7,8,4,2,11,4,1,0,1.0,0.0,15.0,15.0,15.0,0.0,0.0,29.0,0.018,0.88629,62.39,1.84851,27.43,7.69614,21.2267
7,8,4,2,11,4,1,0,1.0,0.0,15.0,15.0,15.0,0.0,0.0,29.0,0.018,0.89127,62.6,1.81596,28.06,7.88046,18.6667
7,8,4,2,11,4,1,0,1.0,0.0,15.0,15.0,15.0,0.0,0.0,29.0,0.018,0.8765,61.97,2.06009,16.31,7.88046,19.4133
7,8,4,2,11,4,1,0,1.0,0.0,15.0,15.0,15.0,0.0,0.0,29.0,0.018,0.91149,63.43,1.86072,39.93,7.88046,20.6933
5,13,4,27,11,4,1,0,0.0,0.0,7.0,45.0,0.0,2.0,0.0,0.0,0.06,0.0,70.07481,1.79,23.8,8.2,29.8
5,13,4,27,11,4,1,0,0.0,0.0,7.0,45.0,0.0,2.0,0.0,0.0,0.06,0.0,70.74222,1.45,30.6,8.4,22.8
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,0.0,2.0,0.0,0.0,1.2096,0.0,63.6,2.12625,17.26269,8.11709,18.5
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,70.0,0.0,0.0,0.0,1.2096,0.18,63.6,2.12625,17.26269,8.11709,20.0
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,70.0,0.0,0.0,0.0,1.2096,0.36,63.6,2.12625,17.26269,8.11709,31.5
10,13,4,27,11,4,1,0,1.0,0.0,4.0,70.0,70.0,0.0,0.0,0.0,1.2096,0.54,63.6,2.12625,17.26269,8.11709,40.1
10,13,4,27,11,4,1,0,1.0,20.0,4.0,70.0,70.0,1.0,40.0,0.0,1.2096,0.54,63.6,2.12625,17.26269,8.11709,25.3
0,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.01,0.43,83.0,2.60606,16.5,8.45,6.39252
0,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.01,0.21,83.0,2.60606,16.5,8.45,0.78505
7,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.01,0.48,71.0,5.77049,6.1,6.8,26.4179
7,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.01,0.23,71.0,5.77049,6.1,6.8,17.5746
7,13,4,2,11,4,1,0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,37.7,0.01,0.43,65.0,3.9918,12.2,6.95,21.6606
7,13,4,2,11,4,1,0,1.0,0.0,0.0,31.0,31.0,0.0,0.0,37.7,0.01,0.48,65.0,3.9918,12.2,6.95,16.3433
10,13,4,27,11,4,1,0,1.0,5.0,4.0,30.0,30.0,1.0,25.0,0.0,0.06,0.48,65.9,2.17,17.86175,7.8444,29.1
10,13,4,30,11,4,1,0,1.0,5.0,4.0,30.0,30.0,1.0,25.0,10.0,0.06,0.48,68.469,1.96,18.73469,7.85581,22.8
10,13,4,30,3,4,1,0,1.0,5.0,4.0,30.0,30.0,1.0,25.0,10.2,0.06,0.48,68.469,2.06,17.73301,7.79357,21.6
10,13,4,30,3,4,1,0,1.0,5.0,4.0,30.0,30.0,1.0,25.0,5.2,0.06,0.48,62.965,2.1,17.80952,7.8112,24.6
10,13,4,27,11,4,1,1,0.0,0.0,7.0,54.0,0.0,2.0,0.0,0.0,0.13,0.0,67.88741,2.03159,25.16324,7.6986,11.4
10,13,4,4,11,4,1,1,0.0,0.0,7.0,54.0,0.0,2.0,0.0,15.0,0.13,0.0,62.9323,2.05348,18.9705,7.21106,10.1
10,13,4,4,11,4,1,1,0.0,0.0,7.0,54.0,0.0,2.0,0.0,15.0,0.13,0.0,62.9323,2.05348,18.9705,7.21106,9.0
10,13,4,27,11,4,1,1,0.0,0.0,7.0,54.0,0.0,2.0,0.0,0.0,0.13,0.0,67.88741,2.03159,25.16324,7.6986,20.5
10,13,4,28,11,4,1,1,0.0,0.0,7.0,54.0,0.0,2.0,0.0,6.0,0.13,0.0,64.55,1.83439,22.80134,6.82606,16.4
10,13,4,28,11,4,1,1,0.0,0.0,7.0,54.0,0.0,2.0,0.0,6.0,0.13,0.0,64.55,1.83439,22.80134,6.82606,15.7
0,5,4,27,11,4,1,0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.007,16.43192,71.66,0.356,126.63202,9.19,18.91355
0,5,4,27,11,4,1,0,1.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.007,15.49873,69.89,0.947,61.48258,8.49,7.0952
8,13,4,27,11,4,1,0,1.0,720.0,9.0,45.0,45.0,1.0,20.0,0.0,0.12,1.92399,65.0,2.3053,18.23564,7.26608,7.3
8,13,4,28,11,4,1,0,1.0,720.0,9.0,45.0,45.0,1.0,20.0,5.0,0.12,1.67299,65.0,2.00371,20.55341,6.76797,4.09
8,13,4,28,11,4,1,0,1.0,720.0,9.0,45.0,45.0,1.0,20.0,1.0,0.12,2.16183,65.0,2.20995,19.24808,6.57881,3.58
8,13,4,36,11,4,1,0,1.0,720.0,9.0,45.0,45.0,1.0,20.0,1.0,0.12,2.18347,65.0,2.21595,18.087,6.9256,0.8
8,13,4,13,11,4,1,0,1.0,720.0,9.0,45.0,45.0,1.0,20.0,3.0,0.12,2.42442,65.0,1.831,22.53234,6.13745,0.98
8,13,4,22,11,4,1,0,1.0,720.0,9.0,45.0,45.0,1.0,20.0,3.0,0.12,1.92683,65.0,2.18101,17.32337,7.07692,1.57
8,13,4,4,11,4,1,0,1.0,720.0,9.0,45.0,45.0,1.0,20.0,5.0,0.12,1.90299,65.0,1.82941,23.7652,6.70492,2.89
10,13,4,27,11,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.1,0.3,60.0,2.46106,25.0,7.7,2.48
10,13,4,2,11,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,10.0,0.1,0.3,60.0,1.92198,25.0,7.7,1.57
10,13,4,38,11,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,10.0,0.1,0.3,60.0,1.92198,25.0,7.7,1.74
10,13,4,2,15,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,20.0,0.1,0.3,60.0,1.93596,25.0,7.7,0.86
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,0.0,0.06,0.1,72.86,2.68,11.37,7.84398,18.4
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,0.0,0.06,0.2,72.86,2.68,11.37,7.7688,21.2
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,0.0,0.06,0.3,72.86,2.68,11.37,7.89098,19.1
10,13,4,27,11,4,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,0.0,0.06,0.25,52.2,2.23,24.8,8.56244,38.7
10,13,4,13,8,4,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,4.72666,0.06,0.25,58.385,2.22788,20.7479,8.07981,17.9
10,13,4,13,8,1,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,4.72666,0.06,0.25,58.385,2.25502,20.7479,8.03662,16.1
10,13,4,13,8,1,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,4.72666,0.06,0.25,58.385,2.2751,20.20193,7.99718,18.4
10,13,4,13,8,1,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,4.72666,0.06,0.25,58.785,2.31124,19.56193,7.94273,15.8
10,13,4,13,8,1,1,0,1.0,0.0,3.0,28.0,28.0,0.0,0.0,4.72666,0.06,0.25,57.045,2.35657,20.20193,7.99343,17.2
0,5,4,27,11,4,1,1,0.0,0.0,0.0,90.0,0.0,2.0,0.0,0.0,0.02069,0.0,68.804,2.37478,13.9628,7.4215,0.41
0,8,4,27,11,4,1,1,0.0,0.0,0.0,90.0,0.0,2.0,0.0,0.0,0.02069,0.0,68.804,2.37478,13.9628,7.4215,0.13
0,8,4,27,11,4,1,1,0.0,0.0,0.0,90.0,0.0,2.0,0.0,0.0,0.02069,0.0,68.804,2.37478,13.9628,7.4215,0.23
