Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH,NH3-N loss (%)
3,4,4,16,11,4,1,0,1.0,0.0,4.0,30.0,30.0,0.0,0.0,2.53615,0.06,0.2,62.1647,1.6986,22.70481,5.58222,8.9
3,4,4,27,11,4,1,0,1.0,0.0,9.0,19.0,19.0,0.0,0.0,0.0,0.1216,10.0,70.0,1.73,26.38728,6.3,16.5467
3,4,4,25,11,4,1,0,1.0,0.0,9.0,19.0,19.0,0.0,0.0,3.0,0.1216,10.0,70.0,1.73,26.38728,6.3,12.879
3,4,4,23,6,4,1,0,1.0,0.0,9.0,19.0,19.0,0.0,0.0,6.9,0.3212,10.0,70.0,1.61,26.34783,6.2,12.879
3,4,4,25,8,3,1,0,1.0,0.0,9.0,19.0,19.0,0.0,0.0,9.9,0.28217,10.0,70.0,1.61,26.34783,6.2,2.9862
10,8,4,27,11,4,1,1,0.0,0.0,12.0,112.0,42.0,0.0,0.0,0.0,0.2434,0.2569,65.4,1.4,23.09483,7.1,21.4
10,8,4,25,11,4,1,1,0.0,0.0,12.0,112.0,42.0,0.0,0.0,2.94985,0.1498,0.26221,66.1,1.6,26.62432,6.8,20.7
10,8,4,27,11,4,1,1,0.0,0.0,12.0,112.0,0.0,2.0,0.0,0.0,0.58271,0.0,64.9,3.4,13.29683,6.9,18.4
10,8,4,25,11,4,1,1,0.0,0.0,12.0,112.0,0.0,2.0,0.0,2.8169,0.68621,0.0,64.5,3.1,13.80038,7.0,19.7
3,8,4,18,11,4,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.0,2.25,0.02,0.5,63.945,1.55096,29.0076,11.9607,27.1028
3,8,4,18,8,6,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.0,1.8209,0.02,0.5,63.005,1.60583,32.0229,6.47344,0.46729
3,8,4,18,8,6,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.0,2.5709,0.02,0.5,63.215,1.77798,30.3435,8.34411,10.42991
3,8,4,18,8,6,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.0,3.3209,0.02,0.5,61.455,1.70326,26.9466,11.5866,17.37382
3,8,4,18,8,6,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.0,4.0709,0.02,0.5,64.445,1.46576,29.0458,12.0647,29.17756
10,13,4,27,11,4,1,0,1.0,690.0,6.0,40.0,30.0,1.0,30.0,0.0,0.1416,7.69231,64.54545,2.34,16.53936,6.8098,26.0
10,13,4,4,11,4,1,0,1.0,690.0,6.0,40.0,30.0,1.0,30.0,6.0,0.1446,7.31707,63.55556,2.31,16.39658,5.99866,11.8
10,13,4,28,11,4,1,0,1.0,690.0,6.0,40.0,30.0,1.0,30.0,15.0,0.0617,6.81818,62.06897,2.41,15.97083,6.19841,21.5
10,13,4,28,11,4,1,0,1.0,690.0,6.0,40.0,30.0,1.0,30.0,1.46082,0.1358,7.79221,65.17413,2.34,16.34774,6.11367,20.2
3,2,4,35,11,4,1,0,1.0,0.0,24.0,24.0,24.0,0.0,0.0,2.56049,0.03,0.76104,63.5,2.72179,20.5,6.08647,12.86
3,2,4,27,11,4,1,0,1.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.03,0.76815,63.5,2.87696,20.5,6.00188,10.23
3,13,4,27,11,4,1,0,1.0,5.0,54.0,68.0,68.0,1.0,1.0,0.0,0.005,4.29,43.61,2.33,28.8,4.92,50.4386
3,13,4,38,11,4,1,0,1.0,5.0,54.0,68.0,68.0,1.0,1.0,51.0,0.005,4.29,63.52136,2.13476,19.34766,7.51364,9.64912
3,13,4,19,11,4,1,0,1.0,5.0,54.0,68.0,68.0,1.0,1.0,35.7,0.005,4.29,58.92593,2.34167,20.74096,7.49153,13.4503
8,13,4,27,11,4,1,0,1.0,0.0,11.0,56.0,56.0,1.0,0.0,0.0,0.13,1.11111,55.0,1.80435,25.02125,7.4,1.02
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,56.0,1.0,0.0,2.0,0.13,1.11111,55.0,1.84239,25.08996,7.8,0.2
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,56.0,1.0,0.0,4.0,0.13,1.11111,55.0,1.8587,25.00167,7.8,0.11
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,56.0,1.0,0.0,6.0,0.13,1.11111,55.0,1.95109,23.99361,8.0,0.11
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,56.0,1.0,0.0,8.0,0.13,1.11111,55.0,2.11957,22.31769,8.0,0.06
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,56.0,1.0,0.0,12.0,0.13,1.11111,55.0,2.27717,21.13909,8.1,0.04
8,13,4,2,11,4,1,0,1.0,0.0,11.0,56.0,56.0,1.0,0.0,18.0,0.13,1.11111,55.0,2.42935,20.40002,8.2,0.02
3,5,4,27,11,4,1,0,1.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0,0.03,0.82386,66.0,3.16471,17.0,5.8,21.2
3,5,4,24,13,4,1,0,1.0,0.0,25.0,25.0,25.0,0.0,0.0,2.22035,0.03,0.80596,66.0,2.80853,15.25751,6.53882,32.8
3,5,4,24,13,4,1,0,1.0,0.0,25.0,25.0,25.0,0.0,0.0,1.82166,0.03,0.80912,66.0,2.82069,15.25751,6.53882,12.6
3,5,4,24,13,4,1,0,1.0,0.0,25.0,25.0,25.0,0.0,0.0,1.42297,0.03,0.8123,66.0,2.82069,15.25751,6.22669,3.5
4,2,4,27,11,4,1,1,0.0,0.0,37.0,69.0,0.0,2.0,0.0,0.0,0.08,0.0,80.7,0.82,20.37805,7.78,11.4
4,2,4,2,11,4,1,1,0.0,0.0,37.0,69.0,0.0,2.0,0.0,3.0,0.08,0.0,80.7,0.9,22.76667,7.78,8.13793
4,2,4,28,11,4,1,1,0.0,0.0,37.0,69.0,0.0,2.0,0.0,4.0,0.08,0.0,80.7,0.95,19.47368,7.78,4.22508
4,2,4,28,0,4,1,1,0.0,0.0,37.0,69.0,0.0,2.0,0.0,3.0,0.08,0.0,80.7,0.83,22.13253,7.78,7.9278
10,13,4,27,11,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,0.0,0.06,0.3,69.2,2.04,18.4,8.23053,32.5
10,13,4,13,7,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,3.644,0.06,0.3,69.2,2.04,18.4,8.02421,14.5
10,13,4,31,9,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,3.644,0.06,0.3,69.2,2.04,18.4,7.96947,16.0
10,13,4,4,9,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,3.644,0.06,0.3,69.2,2.04,18.4,8.16316,13.3
10,13,4,13,9,4,1,0,1.0,0.0,4.0,35.0,35.0,0.0,0.0,0.97178,0.06,0.3,69.2,2.04,18.4,6.85368,5.9
10,13,4,27,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,0.0,0.12,2.56621,66.11478,1.94767,17.57895,7.25571,1.6
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,5.0,0.12,2.56621,62.64748,1.94767,24.11183,6.60761,1.184
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,10.0,0.12,2.56621,63.17,1.94767,21.84555,6.57182,0.864
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,20.0,0.12,2.56621,63.5,1.94767,16.32083,6.38097,0.688
10,13,4,28,11,4,1,0,1.0,0.0,6.0,30.0,30.0,0.0,0.0,1.0,0.12,2.56621,62.64625,1.94767,17.71373,7.07281,0.848
10,14,4,27,11,4,1,0,1.0,0.0,4.0,28.0,28.0,0.0,0.0,0.0,0.06,0.36,62.06,1.95,17.91,7.79826,13.18
