Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final pH
1,12,1,0,6,45.0,45.0,1,17.0,3,24,0.0,2.4,55.0,41,6.67,15,30.49,7.11
1,12,1,0,6,45.0,45.0,1,17.0,3,24,0.44,2.4,55.0,3,6.67,15,29.15,7.47
1,12,1,0,6,45.0,45.0,1,17.0,3,24,0.44,2.4,55.0,46,6.67,15,31.29,7.36
1,1,1,0,3,30.0,30.0,0,0.0,0,4,0.0,0.06,60.6,41,0.2,15,20.0,8.59
1,1,1,0,3,30.0,30.0,0,0.0,0,4,2.14,0.06,55.85,28,0.2,5,17.3,8.66
1,1,1,0,3,30.0,30.0,0,0.0,0,4,3.2,0.06,55.58,51,0.2,15,19.82,7.88
1,1,1,0,3,30.0,30.0,0,0.0,0,4,2.22,0.06,55.85,14,0.2,15,17.3,8.38
1,1,1,0,3,30.0,30.0,0,0.0,0,4,2.54,0.06,55.58,5,0.2,15,19.82,8.51
1,14,1,0,3,19.0,19.0,0,0.0,0,9,0.0,0.48,70.0,41,10.0,15,26.39,8.11
1,14,1,0,3,19.0,19.0,0,0.0,0,9,3.0,0.51,70.0,32,10.0,15,26.39,8.1
1,14,1,0,3,19.0,19.0,0,0.0,0,9,6.9,0.51,70.0,30,10.0,5,26.35,7.71
1,14,1,0,3,19.0,19.0,0,0.0,0,9,9.9,0.57,70.0,32,10.0,11,26.35,7.71
1,12,1,0,9,35.0,35.0,1,10.0,7,6,2.39,0.19,58.1,32,5.97,15,26.0,7.97
1,12,1,0,9,35.0,35.0,1,10.0,7,6,14.32,0.19,58.1,56,5.97,13,26.0,7.79
1,12,1,0,9,35.0,35.0,1,10.0,7,6,26.25,0.19,58.1,56,5.97,13,26.0,7.7
1,12,1,0,9,42.08,23.1,1,3.77,7,6,4.81,1.42,64.26,56,0.79,13,20.46,7.62
3,7,0,1,10,35.0,0.0,2,0.0,0,7,3.02,1.0,66.85,32,0.0,15,18.23,7.47
3,7,0,1,10,35.0,0.0,2,0.0,0,7,6.06,1.0,67.02,15,0.0,16,18.23,7.41
3,7,0,1,10,35.0,0.0,2,0.0,0,7,8.87,1.0,66.18,15,0.0,16,20.05,7.43
3,7,0,1,10,35.0,0.0,2,0.0,0,7,11.88,1.0,66.32,15,0.0,16,19.55,7.46
