Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NH3-N (g_kg)
3,0,0,2,4,42.08,23.1,2,3.77,0,11,4.81,1.42,64.26,5,0.79,11,20.46,1.39
1,13,1,0,6,22.0,22.0,0,0.0,0,11,3.05,0.0,57.9,15,0.52,11,17.29,2.47
1,13,1,0,6,22.0,22.0,0,0.0,0,11,3.05,0.0,58.2,15,0.52,11,17.29,2.49
1,13,1,0,6,22.0,22.0,0,0.0,0,11,3.05,0.0,59.4,15,0.52,11,16.96,4.16
1,13,1,0,6,22.0,22.0,0,0.0,0,11,3.05,0.0,57.5,15,0.4,11,16.18,4.15
1,13,1,0,6,22.0,22.0,0,0.0,0,11,0.0,0.0,58.2,34,0.42,11,18.47,3.27
3,20,1,0,6,56.0,0.0,2,0.0,0,0,0.0,0.13,66.33,34,0.0,11,15.2,2.38
3,20,1,0,6,56.0,0.0,2,0.0,0,0,2.0,0.13,65.07,4,0.0,11,17.29,1.85
3,20,1,0,6,56.0,0.0,2,0.0,0,0,4.0,0.13,61.18,4,0.0,11,26.97,0.89
3,20,1,0,6,56.0,0.0,2,0.0,0,0,6.0,0.13,61.48,4,0.0,11,27.46,0.5
3,20,1,0,6,56.0,0.0,2,0.0,0,0,10.0,0.13,62.23,4,0.0,11,19.32,0.45
1,11,1,0,4,45.0,45.0,1,17.0,4,19,0.0,2.4,55.0,34,6.67,11,30.49,3.26
1,11,1,0,4,45.0,45.0,1,17.0,4,19,0.44,2.4,55.0,3,6.67,11,29.15,2.33
1,11,1,0,4,45.0,45.0,1,17.0,4,19,0.44,2.4,55.0,38,6.67,11,31.29,2.42
1,13,1,0,2,19.0,19.0,0,0.0,0,9,0.0,0.48,70.0,34,10.0,11,26.39,1.3
1,13,1,0,2,19.0,19.0,0,0.0,0,9,3.0,0.51,70.0,28,10.0,11,26.39,1.12
1,13,1,0,2,19.0,19.0,0,0.0,0,9,6.9,0.51,70.0,26,10.0,2,26.35,0.19
1,13,1,0,2,19.0,19.0,0,0.0,0,9,9.9,0.57,70.0,28,10.0,8,26.35,0.17
1,11,1,0,7,35.0,35.0,1,10.0,8,6,2.39,0.19,58.1,28,5.97,11,26.0,0.04
1,11,1,0,7,35.0,35.0,1,10.0,8,6,14.32,0.19,58.1,49,5.97,10,26.0,0.04
