Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final TC (%)
1,11,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,28,0.79,10,20.46,28.86
1,11,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,21,0.79,12,20.46,28.33
1,12,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,20,0.79,10,20.46,40.32
1,12,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,21,0.79,10,20.46,32.84
1,12,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,28,0.79,10,20.46,31.18
1,12,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,21,0.79,12,20.46,31.95
2,9,0,0,1,84.0,0.0,2,0.0,0,0,0.0,0.12,77.0,20,0.0,10,20.1,38.0
2,7,0,0,1,84.0,0.0,2,0.0,0,0,22.28,0.12,84.1,3,0.0,10,16.9,36.8
2,9,0,0,1,84.0,0.0,2,0.0,0,0,9.53,0.12,80.7,3,0.0,10,20.5,38.5
2,9,0,0,1,84.0,0.0,2,0.0,0,0,15.84,0.12,81.5,3,0.0,10,21.3,39.0
1,1,1,0,0,60.0,60.0,0,0.0,0,4,14.15,0.04,60.0,25,0.22,10,16.0,31.5
1,1,1,0,0,60.0,60.0,0,0.0,0,4,13.15,0.04,60.0,25,0.44,10,19.0,31.0
1,1,1,0,0,60.0,60.0,0,0.0,0,4,12.95,0.04,60.0,25,0.66,10,22.0,34.5
1,1,1,0,0,60.0,60.0,0,0.0,0,4,7.82,0.04,65.0,25,0.22,10,19.0,33.5
1,1,1,0,0,60.0,60.0,0,0.0,0,4,4.42,0.04,65.0,25,0.44,10,22.0,36.1
1,1,1,0,0,60.0,60.0,0,0.0,0,4,9.84,0.04,65.0,25,0.66,10,16.0,30.1
1,1,1,0,0,60.0,60.0,0,0.0,0,4,1.17,0.04,70.0,25,0.22,10,22.0,36.0
1,1,1,0,0,60.0,60.0,0,0.0,0,4,1.07,0.04,70.0,25,0.44,10,16.0,33.4
1,1,1,0,0,60.0,60.0,0,0.0,0,4,1.39,0.04,70.0,25,0.66,10,19.0,33.2
0,7,1,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,69.0,20,0.28,10,11.0,36.4
0,8,1,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,63.0,20,0.28,10,11.0,36.3
0,8,1,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,66.0,20,0.28,10,11.0,35.0
0,12,1,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,65.0,20,0.28,10,14.7,38.4
0,12,1,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,67.0,20,0.28,10,12.9,37.1
0,0,1,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,65.0,20,0.28,10,14.0,38.0
0,5,1,0,1,28.0,28.0,0,0.0,0,0,0.0,0.01,65.0,20,0.28,10,12.1,36.6
1,1,1,0,7,37.0,37.0,1,25.0,1,3,0.0,0.06,65.0,20,0.24,10,14.5,30.2
