Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NO2-N (g_kg)
0,12,1,0,0,32.0,32.0,0,0.0,0,0,0.0,0.1,76.28,27,0.75,7,21.77,2.12
0,17,1,0,5,32.0,32.0,0,0.0,0,0,0.0,0.1,67.86,27,0.52,7,12.13,1.25
0,7,1,0,2,42.08,23.1,0,3.77,0,0,4.81,1.42,64.26,27,0.79,7,20.46,2.27
1,5,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,27,0.79,7,20.46,0.11
1,5,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,29,0.79,7,20.46,0.23
1,5,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,39,0.79,7,20.46,0.12
1,5,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,29,0.79,10,20.46,0.36
1,10,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,27,0.79,7,20.46,0.04
1,10,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,29,0.79,7,20.46,0.03
1,10,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,39,0.79,7,20.46,0.04
1,10,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,29,0.79,10,20.46,0.1
1,11,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,27,0.79,7,20.46,0.0
1,11,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,29,0.79,7,20.46,0.0
1,11,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,39,0.79,7,20.46,0.0
1,11,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,29,0.79,10,20.46,0.0
1,2,1,0,6,37.0,37.0,0,0.0,0,4,0.0,0.06,64.1,27,0.24,7,14.7,0.23
1,2,1,0,6,37.0,37.0,0,0.0,0,4,0.0,0.06,65.2,27,0.48,7,18.3,0.21
1,2,1,0,6,37.0,37.0,0,0.0,0,4,0.0,0.06,63.7,27,0.72,7,20.7,0.24
1,2,1,0,6,37.0,37.0,0,0.0,0,4,0.0,0.06,71.3,27,0.24,7,18.4,0.17
1,2,1,0,6,37.0,37.0,0,0.0,0,4,0.0,0.06,70.6,27,0.48,7,21.1,0.19
1,2,1,0,6,37.0,37.0,0,0.0,0,4,0.0,0.06,70.8,27,0.72,7,15.0,0.41
1,2,1,0,6,37.0,37.0,0,0.0,0,4,0.0,0.06,75.7,27,0.24,7,21.2,0.12
1,2,1,0,6,37.0,37.0,0,0.0,0,4,0.0,0.06,76.8,27,0.48,7,14.9,0.04
1,2,1,0,6,37.0,37.0,0,0.0,0,4,0.0,0.06,74.0,27,0.72,7,18.0,0.38
1,11,1,0,0,35.0,35.0,0,0.0,0,9,0.0,0.16,66.03,27,0.81,7,21.96,1.43
1,11,1,0,0,35.0,35.0,0,0.0,0,9,0.0,0.3,65.69,27,0.6,7,21.51,1.59
1,11,1,0,0,35.0,35.0,0,0.0,0,9,0.0,0.57,66.14,27,0.81,7,21.64,1.72
3,1,0,1,6,70.0,0.0,2,0.0,0,10,0.0,1.2,64.0,27,0.0,7,17.4,0.3
3,1,1,1,6,70.0,0.0,2,0.0,0,10,0.0,1.2,64.0,27,0.0,7,17.4,0.23
3,1,0,1,6,70.0,0.0,2,0.0,0,5,0.0,1.2,64.0,27,0.0,7,17.4,0.26
3,1,1,1,6,70.0,0.0,2,0.0,0,5,0.0,1.2,64.0,27,0.0,7,17.4,0.21
