Aeration method,Material_2,M1_is Enclosed,Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final GI (%)
1,7,1,1,6,56.0,28.0,0,0.0,0,7,16.95,0.4,65.0,4,0.0,11,24.28,130.88
1,7,1,1,6,56.0,28.0,0,0.0,0,7,25.43,0.4,65.0,4,0.0,11,23.31,136.58
1,7,1,1,6,56.0,28.0,0,0.0,0,7,9.04,0.4,65.0,4,0.0,0,23.17,88.47
1,7,1,1,6,56.0,28.0,0,0.0,0,7,10.17,0.4,65.0,4,0.0,0,23.07,98.5
1,7,1,0,3,35.0,35.0,0,0.0,0,8,2.25,0.02,65.15,14,0.5,11,29.01,115.9
1,7,1,0,3,35.0,35.0,0,0.0,0,8,3.32,0.02,64.81,14,0.5,8,26.95,109.7
1,7,1,0,3,35.0,35.0,0,0.0,0,8,4.07,0.02,65.15,14,0.5,8,29.05,125.1
1,11,1,0,6,40.0,30.0,1,30.0,8,5,0.0,0.11,64.55,22,7.69,11,16.54,94.39
1,11,1,0,6,40.0,30.0,1,30.0,8,5,6.0,0.11,63.56,27,7.32,11,16.4,84.2
1,11,1,0,6,40.0,30.0,1,30.0,8,5,15.0,0.05,62.07,26,6.82,11,15.97,102.03
1,11,1,0,6,40.0,30.0,1,30.0,8,5,1.46,0.11,65.17,28,7.79,11,16.35,94.1
1,11,1,0,5,56.0,56.0,1,0.0,0,10,0.0,0.13,55.0,22,1.11,11,25.02,56.41
1,11,1,0,5,56.0,56.0,1,0.0,0,10,2.0,0.13,55.0,4,1.11,11,25.09,65.5
1,11,1,0,5,56.0,56.0,1,0.0,0,10,4.0,0.13,55.0,4,1.11,11,25.0,72.85
1,11,1,0,5,56.0,56.0,1,0.0,0,10,6.0,0.13,55.0,4,1.11,11,23.99,81.34
1,11,1,0,5,56.0,56.0,1,0.0,0,10,8.0,0.13,55.0,4,1.11,11,22.32,87.63
1,11,1,0,5,56.0,56.0,1,0.0,0,10,12.0,0.13,55.0,4,1.11,11,21.14,98.63
1,11,1,0,5,56.0,56.0,1,0.0,0,10,18.0,0.13,55.0,4,1.11,11,20.4,125.3
1,1,1,0,6,35.0,35.0,0,0.0,0,3,0.0,0.06,69.2,22,0.3,11,18.4,103.46
1,1,1,0,6,35.0,35.0,0,0.0,0,3,1.64,0.06,69.2,11,0.3,7,18.4,108.12
1,1,1,0,6,35.0,35.0,0,0.0,0,3,1.64,0.06,69.2,12,0.3,9,18.4,93.04
1,1,1,0,6,35.0,35.0,0,0.0,0,3,1.64,0.06,69.2,5,0.3,9,18.4,100.42
1,1,1,0,6,35.0,35.0,0,0.0,0,3,1.64,0.06,69.2,11,0.3,9,18.4,72.98
1,5,1,0,6,50.0,50.0,1,10.0,6,7,2.39,0.18,58.1,20,5.97,11,27.91,69.2
1,5,1,0,6,50.0,50.0,1,10.0,6,6,2.5,0.18,60.0,20,6.25,11,17.6,46.8
1,5,1,0,6,50.0,50.0,1,10.0,6,6,2.5,0.18,60.0,20,6.25,11,24.0,52.5
1,5,1,0,6,50.0,50.0,1,10.0,6,6,2.5,0.18,60.0,20,6.25,11,32.4,60.0
1,5,1,0,6,50.0,50.0,1,10.0,6,6,2.5,0.18,60.0,20,6.25,11,40.3,59.0
1,5,1,0,6,50.0,50.0,1,10.0,6,6,2.5,0.18,60.0,27,6.25,10,24.0,52.5
1,5,1,0,6,50.0,50.0,1,10.0,6,6,5.0,0.18,60.0,27,6.25,10,24.4,50.2
1,5,1,0,6,50.0,50.0,1,10.0,6,6,7.5,0.18,60.0,27,6.25,10,24.1,51.8
1,5,1,0,6,50.0,50.0,1,10.0,6,6,10.0,0.18,60.0,27,6.25,10,24.1,51.5
1,5,1,0,6,35.0,35.0,1,10.0,6,4,2.5,0.18,60.0,29,6.25,10,27.0,57.7
1,5,1,0,6,35.0,35.0,1,10.0,6,4,9.23,0.18,60.0,29,6.25,10,26.0,63.6
1,5,1,0,6,35.0,35.0,1,10.0,6,4,16.92,0.18,60.0,29,6.25,10,26.3,60.5
1,5,1,0,6,35.0,35.0,1,10.0,6,4,24.62,0.18,60.0,29,6.25,10,25.3,74.6
3,7,0,1,6,81.0,0.0,2,0.0,0,15,0.0,16.0,65.0,22,0.0,11,14.42,103.98
3,7,0,1,6,81.0,0.0,2,0.0,0,16,8.8,16.0,65.0,4,0.0,11,15.15,116.85
1,11,1,0,6,30.0,30.0,0,0.0,0,5,0.0,0.12,66.11,22,2.57,11,17.58,97.57
1,11,1,0,6,30.0,30.0,0,0.0,0,5,5.0,0.12,66.23,0,2.57,11,23.76,114.51
1,11,1,0,6,30.0,30.0,0,0.0,0,5,10.0,0.12,62.65,0,2.57,11,16.93,127.95
1,11,1,0,6,30.0,30.0,0,0.0,0,5,20.0,0.12,58.41,0,2.57,11,18.93,139.78
1,11,1,0,6,30.0,30.0,0,0.0,0,5,1.0,0.12,66.85,7,2.57,11,25.51,120.96
1,12,1,0,6,28.0,28.0,0,0.0,0,3,0.0,0.06,62.06,22,0.36,11,17.91,92.19
1,12,1,0,6,28.0,28.0,0,0.0,0,3,10.0,0.06,58.69,27,0.36,11,18.23,89.94
1,11,1,0,5,56.0,56.0,0,0.0,0,10,0.0,0.1,56.03,22,3.06,11,25.17,64.17
1,11,1,0,5,56.0,56.0,0,0.0,0,10,10.0,0.1,55.0,29,1.35,11,25.18,105.63
1,11,1,0,5,56.0,56.0,0,0.0,0,10,10.0,0.1,55.0,15,1.35,11,25.67,98.2
1,11,1,0,5,56.0,56.0,0,0.0,0,10,10.0,0.1,55.0,2,1.35,11,25.44,101.85
1,1,1,0,3,30.0,30.0,1,40.0,2,3,0.0,0.06,53.59,22,0.79,11,32.46,86.01
