Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final TN (%)
0,22,1,0,0,15.0,6.0,0,0.0,0,0,3.44,0.17,70.1,29,0.28,11,16.88,2.16
0,22,1,0,0,15.0,6.0,0,0.0,0,0,3.69,0.17,69.8,29,0.28,11,16.27,2.07
0,22,1,0,0,15.0,15.0,0,0.0,0,0,0.0,0.17,71.5,30,0.28,12,17.7,2.3
0,22,1,0,0,15.0,15.0,0,0.0,0,0,3.67,0.17,72.3,29,0.28,11,18.42,1.98
0,22,1,0,0,15.0,15.0,0,0.0,0,0,7.02,0.17,71.3,29,0.27,11,19.39,1.7
0,22,1,0,0,15.0,15.0,0,0.0,0,0,10.35,0.17,71.1,29,0.27,11,19.25,1.5
1,10,1,0,6,42.0,21.0,0,0.0,0,0,0.0,0.4,71.68,30,0.24,12,32.89,0.93
1,10,1,0,6,42.0,21.0,0,0.0,0,0,3.5,0.4,64.85,3,0.51,12,33.86,0.96
1,10,1,0,6,42.0,21.0,0,0.0,0,0,10.6,0.4,62.23,3,0.38,12,35.56,1.04
1,10,1,0,6,42.0,21.0,0,0.0,0,0,17.7,0.4,61.77,3,0.39,12,37.15,1.08
1,10,1,0,6,42.0,21.0,0,0.0,0,0,24.7,0.4,59.64,3,0.42,12,38.62,1.13
1,10,1,0,6,42.0,21.0,0,0.0,0,0,31.8,0.4,66.08,3,0.43,12,42.46,1.19
3,0,0,2,5,42.08,23.1,2,3.77,0,11,4.81,1.42,64.26,30,0.79,12,20.46,2.77
3,0,0,2,5,42.08,23.1,2,3.77,0,11,4.81,1.42,64.26,3,0.79,12,20.46,2.58
1,16,1,0,6,44.0,44.0,1,20.0,3,6,0.0,0.27,68.45,30,0.46,12,12.59,2.11
1,16,1,0,6,44.0,44.0,1,20.0,3,6,5.89,0.28,66.71,3,0.45,12,13.37,2.0
1,16,1,0,6,44.0,44.0,1,20.0,3,6,11.86,0.28,67.58,3,0.44,12,14.22,2.1
1,16,1,0,6,44.0,44.0,1,20.0,3,6,21.41,0.28,65.41,3,0.43,12,14.81,1.95
1,14,1,0,6,22.0,22.0,0,0.0,0,11,3.05,0.0,57.9,15,0.52,12,17.29,2.23
1,14,1,0,6,22.0,22.0,0,0.0,0,11,3.05,0.0,58.2,15,0.52,12,17.29,2.18
1,14,1,0,6,22.0,22.0,0,0.0,0,11,3.05,0.0,59.4,15,0.52,12,16.96,2.79
1,14,1,0,6,22.0,22.0,0,0.0,0,11,3.05,0.0,57.5,15,0.4,12,16.18,2.67
1,14,1,0,6,22.0,22.0,0,0.0,0,11,0.0,0.0,58.2,30,0.42,12,18.47,1.92
1,12,1,0,5,45.0,45.0,1,17.0,4,19,0.0,2.4,55.0,30,6.67,12,30.49,1.43
1,12,1,0,5,45.0,45.0,1,17.0,4,19,0.44,2.4,55.0,1,6.67,12,29.15,3.12
1,12,1,0,5,45.0,45.0,1,17.0,4,19,0.44,2.4,55.0,33,6.67,12,31.29,2.38
1,14,1,0,3,19.0,19.0,0,0.0,0,9,0.0,0.48,70.0,30,10.0,12,26.39,1.33
1,14,1,0,3,19.0,19.0,0,0.0,0,9,3.0,0.51,70.0,25,10.0,12,26.39,1.44
1,14,1,0,3,19.0,19.0,0,0.0,0,9,6.9,0.51,70.0,23,10.0,4,26.35,1.84
1,14,1,0,3,19.0,19.0,0,0.0,0,9,9.9,0.57,70.0,25,10.0,8,26.35,1.9
3,7,0,1,8,35.0,0.0,2,0.0,0,7,3.02,1.0,66.85,25,0.0,12,18.23,1.88
3,7,0,1,8,35.0,0.0,2,0.0,0,7,6.06,1.0,67.02,11,0.0,13,18.23,2.0
3,7,0,1,8,35.0,0.0,2,0.0,0,7,8.87,1.0,66.18,11,0.0,13,20.05,2.05
3,7,0,1,8,35.0,0.0,2,0.0,0,7,11.88,1.0,66.32,11,0.0,13,19.55,2.18
1,14,1,0,7,34.0,34.0,1,30.0,9,8,0.0,0.06,60.0,30,0.0,12,20.87,2.82
1,14,1,0,7,34.0,34.0,1,30.0,9,8,7.5,0.06,60.0,43,0.0,12,19.98,3.18
1,14,1,0,7,34.0,34.0,1,30.0,9,8,7.5,0.06,60.0,38,0.0,12,20.24,3.16
1,14,1,0,7,34.0,34.0,1,30.0,9,8,7.5,0.06,60.0,21,0.0,4,20.3,3.11
1,14,0,1,7,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,30,0.79,12,20.46,2.4
1,14,0,1,7,42.08,23.1,0,3.77,0,12,4.81,1.42,64.26,27,0.79,12,20.46,2.2
3,14,0,1,7,112.0,0.0,2,0.0,0,12,0.0,1.24,64.9,30,0.0,12,15.75,2.9
3,14,0,1,7,112.0,0.0,2,0.0,0,12,2.82,1.63,64.5,27,0.0,12,13.04,3.3
1,6,1,0,6,21.0,21.0,1,1.0,3,2,0.0,0.05,61.72,30,0.17,12,12.7,2.47
1,6,1,0,6,21.0,21.0,1,1.0,3,2,0.03,0.05,58.87,9,0.17,12,13.88,3.04
1,22,1,0,7,40.0,30.0,1,30.0,10,6,0.0,0.11,64.55,30,7.69,12,16.54,2.76
1,22,1,0,7,40.0,30.0,1,30.0,10,6,6.0,0.11,63.56,38,7.32,12,16.4,3.1
1,22,1,0,7,40.0,30.0,1,30.0,10,6,15.0,0.05,62.07,35,6.82,12,15.97,3.0
1,22,1,0,7,40.0,30.0,1,30.0,10,6,1.46,0.11,65.17,42,7.79,12,16.35,3.1
1,22,1,0,6,56.0,56.0,1,0.0,0,11,0.0,0.13,55.0,30,1.11,12,25.02,1.34
1,22,1,0,6,56.0,56.0,1,0.0,0,11,2.0,0.13,55.0,3,1.11,12,25.09,2.33
1,22,1,0,6,56.0,56.0,1,0.0,0,11,4.0,0.13,55.0,3,1.11,12,25.0,2.57
1,22,1,0,6,56.0,56.0,1,0.0,0,11,6.0,0.13,55.0,3,1.11,12,23.99,2.6
1,22,1,0,6,56.0,56.0,1,0.0,0,11,8.0,0.13,55.0,3,1.11,12,22.32,2.64
1,22,1,0,6,56.0,56.0,1,0.0,0,11,12.0,0.13,55.0,3,1.11,12,21.14,2.79
1,22,1,0,6,56.0,56.0,1,0.0,0,11,18.0,0.13,55.0,3,1.11,12,20.4,2.6
3,4,0,1,4,69.0,0.0,2,0.0,0,18,3.0,0.08,80.7,3,0.0,12,22.77,0.93
3,4,0,1,4,69.0,0.0,2,0.0,0,18,4.0,0.08,80.7,40,0.0,12,19.47,1.03
1,1,1,0,7,35.0,35.0,0,0.0,0,4,0.0,0.06,69.2,30,0.3,12,18.4,2.58
1,1,1,0,7,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,16,0.3,7,18.4,3.26
1,1,1,0,7,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,17,0.3,9,18.4,3.06
1,1,1,0,7,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,4,0.3,9,18.4,2.91
1,1,1,0,7,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,16,0.3,9,18.4,2.59
1,16,1,0,6,50.0,50.0,1,20.0,6,7,0.0,0.29,67.71,30,0.11,12,21.24,2.1
1,16,1,0,6,50.0,50.0,1,20.0,6,7,12.0,0.29,66.08,3,0.23,12,21.21,2.25
3,14,0,2,7,82.0,0.0,2,0.0,0,15,1.38,5.46,63.7,25,0.0,12,15.4,2.63
3,14,0,2,7,82.0,0.0,2,0.0,0,15,9.64,5.46,63.7,3,0.0,10,17.51,2.44
1,12,1,0,7,50.0,50.0,1,10.0,8,8,2.39,0.18,58.1,25,5.97,12,27.91,1.63
1,12,1,0,7,50.0,50.0,1,10.0,8,7,2.5,0.18,60.0,25,6.25,12,17.6,3.08
1,12,1,0,7,50.0,50.0,1,10.0,8,7,2.5,0.18,60.0,25,6.25,12,24.0,2.26
1,12,1,0,7,50.0,50.0,1,10.0,8,7,2.5,0.18,60.0,25,6.25,12,32.4,1.76
1,12,1,0,7,50.0,50.0,1,10.0,8,7,2.5,0.18,60.0,25,6.25,12,40.3,1.34
1,12,1,0,7,35.0,35.0,1,10.0,8,5,2.5,0.18,60.0,43,6.25,10,27.0,1.86
1,12,1,0,7,35.0,35.0,1,10.0,8,5,9.23,0.18,60.0,43,6.25,10,26.0,1.67
1,12,1,0,7,35.0,35.0,1,10.0,8,5,16.92,0.18,60.0,43,6.25,10,26.3,1.47
1,12,1,0,7,35.0,35.0,1,10.0,8,5,24.62,0.18,60.0,43,6.25,10,25.3,1.34
3,19,0,1,0,50.0,0.0,2,0.0,0,9,0.0,0.06,60.6,30,0.0,12,22.5,1.56
3,19,0,1,0,50.0,0.0,2,0.0,0,9,25.49,0.06,60.1,14,0.0,12,23.4,1.54
1,22,1,0,7,30.0,30.0,0,0.0,0,6,0.0,0.12,66.11,30,2.57,12,17.58,2.49
1,22,1,0,7,30.0,30.0,0,0.0,0,6,5.0,0.12,66.23,0,2.57,12,23.76,2.63
1,22,1,0,7,30.0,30.0,0,0.0,0,6,10.0,0.12,62.65,0,2.57,12,16.93,2.86
1,22,1,0,7,30.0,30.0,0,0.0,0,6,20.0,0.12,58.41,0,2.57,12,18.93,2.96
1,22,1,0,7,30.0,30.0,0,0.0,0,6,1.0,0.12,66.85,7,2.57,12,25.51,2.62
1,23,1,0,7,28.0,28.0,0,0.0,0,4,0.0,0.06,62.06,30,0.36,12,17.91,2.01
1,23,1,0,7,28.0,28.0,0,0.0,0,4,10.0,0.06,58.69,38,0.36,12,18.23,2.1
3,13,0,2,7,26.0,0.0,2,0.0,0,7,0.0,1.2,65.0,30,0.0,12,22.46,1.46
3,13,0,2,7,26.0,0.0,2,0.0,0,7,15.68,1.2,65.0,3,0.0,12,24.97,1.32
3,13,0,2,7,26.0,0.0,2,0.0,0,7,31.36,1.2,65.0,3,0.0,12,26.48,1.28
3,13,0,2,7,42.08,23.1,2,3.77,0,7,4.81,1.42,64.26,3,0.79,12,20.46,1.17
1,1,1,0,7,35.0,35.0,1,30.0,4,2,0.0,0.06,67.6,30,0.38,12,17.43,2.4
1,1,1,0,7,35.0,35.0,1,30.0,4,2,0.41,0.06,63.37,32,0.38,12,14.84,2.58
1,1,1,0,7,35.0,35.0,1,30.0,4,2,0.41,0.06,67.38,5,0.38,12,16.2,2.28
1,1,1,0,7,35.0,35.0,1,30.0,4,2,0.41,0.06,66.1,32,0.38,1,13.98,2.6
1,1,1,0,7,28.0,28.0,0,0.0,0,5,0.0,0.06,57.54,30,0.48,12,19.25,2.54
1,1,1,0,7,28.0,28.0,0,0.0,0,5,2.45,0.06,58.47,16,0.48,12,27.18,2.62
1,1,1,0,7,28.0,28.0,0,0.0,0,5,2.45,0.06,58.47,15,0.48,12,26.35,2.58
1,1,1,0,7,28.0,28.0,0,0.0,0,5,4.35,0.06,62.72,18,0.48,12,16.85,2.16
0,6,1,0,5,21.0,21.0,1,10.0,9,0,0.0,0.1,58.88,30,0.2,12,14.95,2.35
0,6,1,0,5,21.0,21.0,1,10.0,9,0,0.25,0.1,58.85,37,0.2,12,15.05,2.74
0,6,1,0,5,21.0,21.0,1,10.0,9,0,5.25,0.1,57.52,37,0.2,12,13.83,2.79
0,6,1,0,5,21.0,21.0,1,10.0,9,0,5.0,0.1,57.52,25,0.2,12,13.15,2.43
1,22,1,0,5,42.0,42.0,0,0.0,0,2,0.0,0.17,53.8,30,0.07,12,16.6,1.03
1,22,1,0,5,42.0,42.0,0,0.0,0,2,10.8,0.17,49.3,3,0.07,12,18.6,0.99
1,1,1,0,7,35.0,0.0,0,0.0,0,6,0.0,0.06,69.2,30,0.25,12,18.43,2.58
1,1,1,0,7,35.0,0.0,0,0.0,0,6,8.87,0.06,63.46,16,0.25,8,18.43,3.26
1,1,1,0,7,35.0,0.0,0,0.0,0,6,4.0,0.06,65.48,38,0.25,12,18.43,2.65
1,1,1,0,7,35.0,0.0,0,0.0,0,6,8.87,0.06,63.46,16,0.25,12,18.43,2.58
0,14,1,0,6,42.08,23.1,1,3.77,11,0,4.81,1.42,64.26,30,0.79,12,20.46,1.27
