Additive_2,Application Rate (%DW),Period (d),Material_2,V1_Ventilation Type,Initial Moisture Content (%),Compost volume (m3),Additive_3,Initial pH,Material_3,V2_Ventilation Interval (min),Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),V3_Ventilation Duration (min),Turning times,Additive_1,Material_Main,Initial GI (%),M1_is Enclosed,Additive_4,V4_Ventilation Day, Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,3.1990872852277743,60.0,8.0,1.0,80.213282112542,2.147162565177521,4.0,8.945204404721416,4.0,139.0,45.04523356854974,3.050843082973479,36.31290216444567,4.0,20.0,0,27.32884658064516,1.0,1.0,51.0,2.0,1.596639959668374,71.92101990814174,101.648215,5.179789044026538,0.6917080283164978,0.2049883111153585,25.937718516043304
5.0,3.6571699925940706,131.0,3.0,1.0,64.0499778963689,2.147162565177521,4.0,9.486043114274288,0.0,32.0,25.883019117852726,2.7505689450401816,5.401255463542599,28.0,24.0,0,27.328846580645163,0.0,1.0,70.0,1.0,1.596639959668374,41.32586260042413,102.374545,2.819838353320272,1.1836711168289185,0.19601094748612377,26.036191927504742
1.0,6.289119829410897,53.0,13.0,1.0,55.32847829458782,2.147162565177521,4.0,4.569244173770134,3.0,1277.0,39.80260568285912,0.9275195405454217,35.28285985600324,7.0,28.0,0,27.32884658064516,1.0,1.0,49.0,0.0,1.596639959668374,63.55043073217637,102.71402699999999,4.239112382509862,0.7184967398643494,0.17909560585905232,25.192850647177572
5.0,3.1281274133046746,35.0,8.0,0.0,43.88449044118145,2.147162565177521,4.0,7.274770539950698,9.0,0.0,9.109649309049901,7.086112169640115,58.26826294204742,15.0,18.0,0,27.32884658064516,1.0,1.0,32.0,2.0,1.596639959668374,14.544830105394466,101.34595000000004,6.960428722673176,1.5423537492752075,0.17873752719147873,29.31416785568514
1.0,0.5596601270945369,50.0,5.0,0.0,61.18150290808072,2.147162565177521,4.0,5.4017878671824135,9.0,0.0,34.11602605276094,1.9698746854285587,1.1868332740385257,11.0,23.0,0,27.32884658064516,1.0,1.0,43.0,0.0,1.6818226479529281,53.847369089408346,102.21277800000001,1000000.0,1000000.0,1000000.0,1000000.0
5.0,3.3171086303611794,46.0,12.0,1.0,57.65932825440291,2.147162565177521,4.0,4.883272137442155,3.0,461.0,38.47757181452473,1.0021069370051183,45.454996995953834,3.0,33.0,0,27.32884658064516,1.0,1.0,45.0,1.0,1.596639959668374,61.43482871007973,104.961803,3.9432716300593764,0.8260210752487183,0.1981892268361467,25.782680314918778
6.0,4.580801010192646,112.0,5.0,1.0,75.60451359721236,2.147162565177521,4.0,9.212298560782221,0.0,1196.0,44.97261169014504,3.3787186010421877,5.719000560765544,22.0,24.0,0,27.32884658064516,1.0,1.0,60.0,2.0,1.596639959668374,71.80506891513461,101.78624899999998,4.342355878895996,0.34825074672698975,0.17016351022543372,24.229789883961264
1.0,0.5136520342546524,36.0,0.0,1.0,77.74330757152256,2.147162565177521,4.0,4.849778900093616,3.0,322.0,34.41565445776153,9.847717145676162,3.4874788180875482,0.0,23.0,0,27.32884658064516,0.0,1.0,36.0,2.0,1.596639959668374,54.94940914540107,104.92609700000003,2.3195159302571526,0.4803697466850281,0.15552295326185306,24.681508141256874
3.0,4.7698910132860375,40.0,13.0,1.0,60.60357126704169,2.147162565177521,4.0,11.104422728140896,2.0,534.0,18.363272005864122,1.8852012989280953,53.521371187636746,18.0,14.0,0,27.32884658064516,0.0,1.0,34.0,2.0,1.596639959668374,29.319533874822273,103.65337000000001,3.8579267651421993,1.6650426387786865,0.152843845483914,29.309602556589944
5.0,6.6857376437677205,111.0,0.0,1.0,52.628960022780866,2.147162565177521,4.0,8.296867611169077,0.0,1334.0,31.881516615723168,1.7390168655090643,59.83163733720546,13.0,8.0,0,27.32884658064516,1.0,1.0,34.0,0.0,1.596639959668374,50.90330340349484,100.14618100000001,5.628320106060848,0.38683652877807617,0.16582660569341914,22.953834697929356
