Compost volume (m3),Initial pH,V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Material_2,Additive_1,Period (d),Additive_2,Turning times,V3_Ventilation Duration (min),V2_Ventilation Interval (min),M1_is Enclosed,Application Rate (%DW),Material_3,Material_Main,V4_Ventilation Day,Initial GI (%), Composting Method,Additive_3,Additive_4,Initial C/N (%),V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0996875,6.9627748357961305,8.712167479633722,53.46960102404849,6.0,8.0,42.0,6.0,5.0,27.863646491765323,1265.0,1.0,4.437765122774677,0.0,1,21.0,27.32884658064516,1.0,4.0,1.0,40.941882480929856,1.0,2.754411318174137,112.77078449282861,112.44064700000008,7.260046433457146,0.33104875683784485,0.13918302612153355,18.132145603451775
0.0996875,7.070515645127925,0.0,83.71765988328531,2.0,25.0,114.0,2.0,7.0,0.0,0.0,1.0,5.811667939052225,4.0,1,0.0,27.32884658064516,0.0,4.0,1.0,36.20765813110419,2.0,2.754411318174137,99.7307833608932,112.81209800000006,4.703261328132621,0.3089488744735718,0.17533174462867748,15.690062073895609
0.0996875,4.714663001295292,0.0,50.99162521241048,4.0,14.0,32.0,1.0,3.0,0.0,0.0,0.0,5.519450631141231,5.0,1,0.0,27.32884658064516,1.0,4.0,1.0,38.846731620524054,2.0,2.754411318174137,106.99987724964458,112.90996400000003,6.157206264828531,0.4337407052516937,0.14961112301961987,20.45792104277562
0.0996875,4.786466803135456,0.6049852033108105,50.8427775988037,14.0,14.0,73.0,11.0,2.0,52.85022203279756,1358.0,1.0,0.672318284437019,2.0,1,23.0,27.32884658064516,0.0,4.0,1.0,42.95085190268577,1.0,2.754411318174137,118.30431260597885,113.26453450000004,3.0540842134974198,0.40339431166648865,0.13392599612446798,19.767206191931162
0.0996875,8.145069860239314,3.28903985246623,50.96323901291176,2.0,22.0,21.0,3.0,0.0,1.7664335179307322,466.0,0.0,0.33780932631406246,2.0,1,17.0,27.32884658064516,2.0,4.0,1.0,33.573595187304605,1.0,2.754411318174137,92.47549057570853,112.89346100000004,6.536305769433854,0.3069809675216675,0.14036869407665944,21.52849067270703
0.0996875,6.804678887937659,3.770851520146441,61.599245651882285,3.0,4.0,71.0,6.0,0.0,9.218044738983549,0.0,0.0,3.898343835105095,0.0,1,46.0,27.32884658064516,2.0,4.0,1.0,33.64040346085321,0.0,2.754411318174137,92.65950804051849,115.68710800000007,6.040148835440444,0.5798650979995728,0.14928221783775483,18.620510365968787
0.0996875,6.523195947510629,9.188622268716388,73.63862911138214,3.0,25.0,50.0,2.0,2.0,22.440626560476336,1405.0,1.0,5.044255706585945,9.0,1,34.0,27.32884658064516,0.0,4.0,1.0,42.484679421092224,1.0,2.754411318174137,117.02028184645626,113.87766750000004,4.034900790902877,0.41443657875061035,0.1694792286304442,18.897713151912136
0.0996875,4.810917173688065,0.0,75.96302689180278,14.0,20.0,15.0,11.0,5.0,0.0,0.0,1.0,2.3601529206270753,5.0,1,0.0,27.32884658064516,2.0,4.0,1.0,33.46447389165283,2.0,2.754411318174137,92.17492564391146,112.86874200000004,5.588690792325156,0.4241209626197815,0.20638525500228377,24.07716642841407
0.0996875,7.688101076534809,0.0,67.67640854220876,13.0,21.0,47.0,7.0,3.0,0.0,0.0,1.0,3.413222257623162,0.0,1,0.0,27.32884658064516,2.0,4.0,1.0,45.04062933154458,2.0,2.754411318174137,124.0604192084924,115.32853100000004,6.328275729768366,0.46779701113700867,0.1801405185895515,19.583096677184038
0.0996875,5.437413983687416,7.8037354777783925,45.87364818375751,6.0,16.0,66.0,0.0,5.0,29.872158634019815,343.0,1.0,1.338451277101681,2.0,1,18.0,27.32884658064516,0.0,4.0,1.0,35.17084748034796,1.0,2.754411318174137,96.87498036964675,113.47829350000004,3.5790421017101957,0.27571776509284973,0.17321787024972915,17.401083355611416
