Additive_3,Turning times,V2_Ventilation Interval (min), Composting Method,V1_Ventilation Type,Initial Moisture Content (%),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Additive_1,Initial pH,Material_2,V3_Ventilation Duration (min),Initial C/N (%),M1_is Enclosed,V4_Ventilation Day,Additive_2,Additive_4,Compost volume (m3),Initial GI (%),Material_3,Material_Main,Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
4.0,7.0,406.0,0.0,1.0,47.25533773547616,7.092362879884564,6.317915672406208,36.0,6.5117846076779955,8.0,55.95923186148066,16.57444112929845,1.0,7.0,6.0,1.0,0.314,27.32884658064516,9.0,5,43.0,1.4280600332415827,23.6692969500666,93.75310466666667,7.307164145897475,1.117217779159546,0.18926070500816133,24.42783060842291
4.0,6.0,0.0,1.0,2.0,72.9950321928908,4.279318140693603,0.0,33.0,11.411916251437102,14.0,0.0,6.533749966388209,1.0,0.0,1.0,1.0,0.314,27.32884658064516,0.0,5,54.0,1.4280600332415827,9.330587194192535,92.13188100000005,9.662064760094832,1.2059333324432373,0.19197963903967583,24.794949225637357
4.0,4.0,0.0,1.0,2.0,47.17203332235365,2.4313178611643487,0.0,35.0,11.512549755729395,13.0,0.0,6.955141534031821,1.0,0.0,3.0,1.0,0.314,27.32884658064516,9.0,5,16.0,1.4280600332415827,9.932359650289394,93.50250000000001,8.889038823895126,0.6610634922981262,0.16140679285168852,27.626671034805874
4.0,0.0,0.0,1.0,0.0,62.54147967885771,0.773027994587655,2.0997765604670002,27.0,10.778726556926436,0.0,22.530411704233234,29.59591352858872,0.0,47.0,11.0,1.0,0.314,27.328846580645163,0.0,5,49.0,1.4280600332415827,42.26474125745142,92.33485,6.1373235269380055,1.3687269687652588,0.18107801412032795,23.562585062595335
4.0,4.0,0.0,2.0,2.0,70.06663409712306,2.5321466093937914,0.0,22.0,7.9302789567914065,4.0,0.0,18.255353917908288,0.0,0.0,13.0,1.0,0.314,27.328846580645163,4.0,5,57.0,1.4280600332415827,25.125878570009405,92.68564000000003,6.910093584472732,0.5608320832252502,0.1712786798668886,1000000.0
4.0,9.0,730.0,2.0,1.0,80.79364339261028,8.355908191929093,5.814229186062876,34.0,10.492498314171304,13.0,39.69882379020059,23.11841804918844,0.0,77.0,13.0,1.0,0.314,27.32884658064516,9.0,5,94.0,1.4280600332415827,33.01448884781685,93.14663366666665,8.191080856590206,1.0089346170425415,0.15824153730730195,24.064733764053244
4.0,2.0,0.0,1.0,2.0,83.16857019104825,5.0043708755747645,0.0,37.0,8.483717684029134,8.0,0.0,43.67505504274783,0.0,0.0,11.0,1.0,0.314,27.32884658064516,2.0,5,42.0,1.4280600332415827,62.370600556174416,94.99159600000003,7.672984928488447,1.519433856010437,0.14856718823139328,21.277823824896267
4.0,7.0,1223.0,0.0,1.0,71.05895127220145,1.4725870452774856,3.557911243138587,13.0,10.47920257771666,0.0,23.976463310915122,13.355403899473536,1.0,2.0,13.0,1.0,0.314,27.328846580645163,9.0,5,35.0,1.4280600332415827,19.072318536636942,94.7616336666667,6.445873105301496,1.0997250080108643,0.17972154546188288,26.06508005700281
4.0,27.0,0.0,2.0,2.0,74.52979590936697,3.5617046801007177,0.0,34.0,6.327412049826762,5.0,0.0,22.15947679979018,0.0,0.0,12.0,1.0,0.314,27.32884658064516,9.0,5,31.0,1.4280600332415827,31.645063175324445,93.506003,6.874322986015757,0.8403624296188354,0.1519554904325078,24.24145338574917
4.0,5.0,417.0,2.0,1.0,64.41778626910896,3.0837294742820176,9.221422213727317,18.0,5.675386533897215,0.0,6.9979028414805,14.861042326579433,0.0,3.0,10.0,1.0,0.314,27.328846580645163,9.0,5,45.0,1.4280600332415827,21.22246059889959,93.22283566666668,5.1847690093466134,1.2090375423431396,0.15186083425474886,20.865540431724504
4.0,9.0,0.0,1.0,2.0,73.99671878904093,2.31766221005432,0.0,19.0,11.615370815091554,13.0,3.443747749422519,9.246462757472461,0.0,0.0,9.0,1.0,0.314,27.32884658064516,0.0,5,15.0,1.3687204832780575,13.20450391280318,92.42829300000001,1000000.0,1000000.0,1000000.0,1000000.0
4.0,7.0,1165.0,1.0,1.0,70.60751305523948,4.03452982092957,1.1901065288259376,27.0,8.99588928429214,0.0,20.59555524181271,21.618279705280997,0.0,3.0,11.0,1.0,0.314,27.32884658064516,9.0,5,43.0,1.4280600332415827,30.872201234549415,96.79360266666667,5.914921143381702,0.9240157604217529,0.17437911057303762,23.79973027734483
4.0,31.0,1058.0,0.0,1.0,46.53341972439105,5.640440121690555,2.763994282147727,13.0,9.753783175010897,12.0,58.000535666249846,31.38454999920769,1.0,2.0,1.0,1.0,0.314,27.32884658064516,9.0,5,22.0,1.4280600332415827,44.81902151514065,93.837352,8.031780253019274,0.922730565071106,0.16334584686497394,27.262418356734734
4.0,3.0,0.0,2.0,2.0,52.90492276852984,3.4148768362414526,0.0,37.0,10.901361027917243,5.0,0.0,15.166390359782401,1.0,0.0,2.0,1.0,0.314,27.32884658064516,3.0,5,32.0,1.4280600332415827,25.33841101894373,93.02974600000005,11.264118777559592,0.6609847545623779,0.12467643682300314,1000000.0
4.0,16.0,305.0,0.0,1.0,65.92249635338855,5.217648165130569,0.36623872750858766,37.0,7.14738341168707,6.0,36.33362394870912,44.27536846204335,1.0,7.0,12.0,1.0,0.314,27.32884658064516,9.0,5,20.0,1.4280600332415827,63.227884157688955,93.91019099999998,6.536653826427975,0.9454965591430664,0.17514378319992516,25.593170153805037
4.0,2.0,0.0,1.0,2.0,78.10293083896593,9.560084125358678,0.0,24.0,5.551332275483546,5.0,0.0,13.17895860251419,0.0,0.0,13.0,1.0,0.314,27.32884658064516,4.0,5,38.0,1.4280600332415827,18.849192028532332,93.15367100000007,8.724011921917523,0.6864590048789978,0.12975943063196677,1000000.0
4.0,6.0,0.0,1.0,2.0,71.16120105596642,8.33379644029478,0.0,37.0,5.831025239010433,12.0,0.429994237024791,35.93819821557538,0.0,0.0,9.0,1.0,0.314,27.32884658064517,0.0,5,58.0,1.4280600332415827,51.32190453837717,95.43923400000003,5.836266816397009,1.1901463270187378,0.15791687518874575,20.958174669708622
4.0,3.0,0.0,1.0,2.0,49.468317764814465,3.974001601751179,0.0,20.0,5.926027490938133,2.0,0.0,8.141927910378127,0.0,0.0,5.0,1.0,0.314,27.32884658064516,9.0,5,109.0,1.4280600332415827,11.627161842345158,93.05933700000001,9.924162909921455,0.5159739851951599,0.18711714396890128,15.086719711655475
4.0,5.0,0.0,1.0,2.0,76.34401735023147,9.751557446121058,0.0,33.0,7.3171672751496235,3.0,0.0,10.202739073173408,0.0,0.0,0.0,1.0,0.314,27.32884658064516,9.0,5,48.0,1.4280600332415827,14.570123899991211,96.34944800000005,9.249607399133298,0.6945346593856812,0.18749219940584844,17.638987719219756
4.0,8.0,918.0,1.0,1.0,48.7748409053094,9.707168423063997,0.8255235354379279,16.0,9.361369705262828,4.0,6.222142395930927,19.623221124060873,0.0,34.0,9.0,1.0,0.314,27.32884658064516,9.0,5,112.0,1.4280600332415827,28.0231378107333,95.47536366666664,7.522775690012419,0.9114957451820374,0.1573459896827989,25.94252160722612
4.0,6.0,0.0,2.0,2.0,62.450096503099005,2.1105635378929066,0.0,24.0,9.700199324563295,13.0,0.0,37.91549673383719,1.0,0.0,13.0,1.0,0.314,27.32884658064516,9.0,5,18.0,1.4280600332415827,53.90197740881995,92.53282400000002,8.180405837377192,0.7285696268081665,0.1910775343244676,1000000.0
4.0,16.0,440.0,2.0,1.0,78.90137023070744,4.269746711974844,8.020356136287623,11.0,9.21009273008995,12.0,4.893930657050437,22.356066777380907,0.0,23.0,12.0,1.0,0.314,27.32884658064516,9.0,5,42.0,1.4280600332415827,31.92580546525762,91.74386,7.704257674339609,0.9473679065704346,0.16303086232564803,24.350942895881772
4.0,8.0,0.0,1.0,2.0,69.48510775607932,3.4667358118855587,0.0,37.0,6.869947863663157,14.0,0.0,32.87534063621879,0.0,0.0,6.0,1.0,0.314,27.32884658064516,5.0,5,120.0,1.4280600332415827,46.947960041786956,92.31154100000002,8.040398430252676,0.6149379014968872,0.17884151871771722,20.612006377855902
4.0,3.0,0.0,1.0,2.0,59.419163432425435,7.380002114557531,0.0,33.0,8.68509357938614,6.0,0.0,37.18339587482283,0.0,0.0,3.0,1.0,0.314,27.32884658064516,9.0,5,19.0,2.080705092508143,53.10012154903442,96.21432700000003,1000000.0,1000000.0,1000000.0,1000000.0
4.0,2.0,0.0,1.0,2.0,80.96126624195776,2.8802853317001227,0.0,15.0,7.3513113421943626,2.0,0.0,6.068989472455532,0.0,0.0,6.0,1.0,0.314,27.32884658064516,9.0,5,75.0,1.4280600332415827,8.666881307777663,93.68148200000003,9.668594971356393,0.5595046877861023,0.19318896613282346,14.20508456310797
4.0,0.0,0.0,2.0,2.0,55.27723854927326,9.905447869975195,0.0,35.0,10.026411165442909,14.0,0.0,7.7650833545237505,0.0,0.0,12.0,1.0,0.314,27.32884658064516,0.0,5,34.0,1.4280600332415827,11.089005193384848,95.75752200000005,6.446875644337947,1.29427170753479,0.09126163957324913,24.06031730400383
4.0,16.0,212.0,2.0,1.0,67.62778901558947,3.4023351879717834,2.7892288392916,24.0,9.156155392595618,13.0,10.805843951227585,14.725560750477733,1.0,7.0,6.0,1.0,0.314,27.32884658064516,9.0,5,14.0,1.4280600332415827,21.028984774828178,93.98511699999999,6.772674010410666,0.9623192548751831,0.1548388162587527,30.93726623338165
