Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),NH3-N loss (%)
3,1,7.5,0,30.0,0,30.0,0.0,2.53615,2,0.06,0.2,58.46543,23.31472,2.05528,0,42.68316,4,0.57601,8.9
3,1,2.11111,0,19.0,0,19.0,0.0,0.0,2,0.0306,10.0,70.0,26.38728,1.73,0,45.65,6,0.82879,16.5467
3,1,2.11111,0,19.0,0,19.0,0.0,3.0,2,0.0306,10.0,70.0,26.38728,1.73,0,45.65,30,0.82879,12.879
3,1,2.11111,0,19.0,0,19.0,0.0,6.9,2,0.3946,10.0,70.0,26.34783,1.61,0,42.42,28,0.78782,12.879
3,1,2.11111,0,19.0,0,19.0,0.0,9.9,2,0.3946,10.0,70.0,26.34783,1.61,0,42.42,30,0.76493,2.9862
9,0,9.33333,1,112.0,0,42.0,0.0,0.0,4,0.28,0.2569,65.4,25.0,1.4,0,43.93961,6,0.42092,21.4
9,0,9.33333,1,112.0,0,42.0,0.0,2.94985,4,0.28,0.26221,66.1,25.0,1.6,0,44.09714,32,0.42642,20.7
9,0,9.33333,1,112.0,0,0.0,0.0,0.0,4,1.0664,0.0,64.9,17.22075,3.4,0,38.19286,6,0.74535,18.4
9,0,9.33333,1,112.0,0,0.0,0.0,2.8169,4,1.0664,0.0,64.5,18.53975,3.1,0,37.99286,32,0.7441,19.7
3,1,3.88889,0,35.0,0,35.0,0.0,2.25,4,0.02,0.5,66.647,29.0076,1.66134,0,41.4847,23,0.57359,27.1028
3,1,3.88889,0,35.0,0,35.0,0.0,1.8209,4,0.02,0.5,64.24035,32.0229,1.73107,0,41.8943,23,0.51128,0.46729
3,1,3.88889,0,35.0,0,35.0,0.0,2.5709,4,0.02,0.5,66.73435,30.3435,1.66134,0,41.5532,23,0.51435,10.42991
3,1,3.88889,0,35.0,0,35.0,0.0,3.3209,4,0.02,0.5,65.726,26.9466,1.74996,0,40.9596,23,0.55839,17.37382
3,1,3.88889,0,35.0,0,35.0,0.0,4.0709,4,0.02,0.5,67.2976,29.0458,1.66134,0,41.5532,23,0.57048,29.17756
9,1,6.66667,0,40.0,10,30.0,30.0,0.0,5,0.1604,7.69231,64.54545,16.53936,2.34,1,38.7021,6,0.62654,26.0
9,1,6.66667,0,40.0,10,30.0,30.0,6.0,5,0.1604,7.31707,63.55556,16.39658,2.31,1,37.8761,47,0.5264,11.8
9,1,6.66667,0,40.0,10,30.0,30.0,15.0,5,0.09105,6.81818,62.06897,15.97083,2.41,1,38.4897,42,0.30624,21.5
9,1,6.66667,0,40.0,10,30.0,30.0,1.46082,5,0.1604,7.79221,65.17413,16.34774,2.34,1,38.2537,50,0.65431,20.2
3,1,1.0,0,24.0,0,24.0,0.0,2.56049,1,0.03,0.76104,63.5,20.5,2.67561,0,33.15268,34,0.36,12.86
3,1,1.0,0,24.0,0,24.0,0.0,0.0,1,0.03,0.76815,63.5,20.5,2.67561,0,34.85369,6,0.356,10.23
3,1,5.27176,0,45.0626,1,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,1,39.47539,51,0.47575,9.64912
3,1,5.27176,0,45.0626,1,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,1,39.47539,24,0.47575,13.4503
8,1,5.09091,0,56.0,0,56.0,0.0,0.0,5,0.13,1.11111,55.0,25.02125,1.80435,1,45.1471,6,0.5,1.02
8,1,5.09091,0,56.0,0,56.0,0.0,2.0,5,0.13,1.11111,55.0,25.08996,1.84239,1,46.2255,6,0.5,0.2
8,1,5.09091,0,56.0,0,56.0,0.0,4.0,5,0.13,1.11111,55.0,25.00167,1.8587,1,46.4706,6,0.5,0.11
8,1,5.09091,0,56.0,0,56.0,0.0,6.0,5,0.13,1.11111,55.0,23.99361,1.95109,1,46.8137,6,0.5,0.11
8,1,5.09091,0,56.0,0,56.0,0.0,8.0,5,0.13,1.11111,55.0,22.31769,2.11957,1,47.3039,6,0.5,0.06
8,1,5.09091,0,56.0,0,56.0,0.0,12.0,5,0.13,1.11111,55.0,21.13909,2.27717,1,48.1373,6,0.5,0.04
8,1,5.09091,0,56.0,0,56.0,0.0,18.0,5,0.13,1.11111,55.0,20.40002,2.42935,1,49.5588,6,0.5,0.02
3,1,1.0,0,25.0,0,25.0,0.0,0.0,5,0.03,0.82386,66.0,17.0,3.16471,0,53.8,6,0.357,21.2
3,1,1.0,0,25.0,0,25.0,0.0,2.22035,5,0.03,0.80596,66.0,15.49512,2.91293,0,36.21375,29,0.36493,32.8
3,1,1.0,0,25.0,0,25.0,0.0,1.82166,5,0.03,0.80912,66.0,15.49512,2.91293,0,36.21375,29,0.3635,12.6
3,1,1.0,0,25.0,0,25.0,0.0,1.42297,5,0.03,0.8123,66.0,15.49512,2.91293,0,36.21375,29,0.36208,3.5
4,0,1.86486,1,69.0,0,0.0,0.0,0.0,1,0.08,0.0,80.7,20.37805,0.82,0,16.71,6,0.47273,11.4
4,0,1.86486,1,69.0,0,0.0,0.0,3.0,1,0.08,0.0,80.7,22.76667,0.9,0,20.49,6,0.47273,8.13793
4,0,1.86486,1,69.0,0,0.0,0.0,4.0,1,0.08,0.0,80.7,19.47368,0.95,0,18.5,48,0.47273,4.22508
4,0,1.86486,1,69.0,0,0.0,0.0,3.0,1,0.08,0.0,80.7,22.13253,0.83,0,18.37,48,0.47273,7.9278
9,1,8.75,0,35.0,0,35.0,0.0,0.0,5,0.06,0.3,69.2,18.4,2.04,0,37.48,6,0.62048,32.5
9,1,8.75,0,35.0,0,35.0,0.0,2.124,5,0.06,0.3,69.2,18.4,2.04,0,37.48,17,0.61727,14.5
9,1,8.75,0,35.0,0,35.0,0.0,2.124,5,0.06,0.3,69.2,18.4,2.04,0,37.48,18,0.61727,16.0
9,1,8.75,0,35.0,0,35.0,0.0,2.124,5,0.06,0.3,69.2,18.4,2.04,0,37.48,7,0.61727,13.3
9,1,8.75,0,35.0,0,35.0,0.0,2.124,5,0.06,0.3,69.2,18.4,2.04,0,37.48,17,0.61727,5.9
9,1,5.0,0,30.0,0,30.0,0.0,0.0,5,0.12,2.56621,66.11478,17.57895,1.94767,0,33.4,6,0.575,1.6
9,1,5.0,0,30.0,0,30.0,0.0,5.0,5,0.12,2.56621,67.19448,22.18489,1.94767,0,36.465,0,0.58474,1.184
9,1,5.0,0,30.0,0,30.0,0.0,10.0,5,0.12,2.56621,61.41148,17.07662,1.94767,0,36.7125,0,0.59448,0.864
9,1,5.0,0,30.0,0,30.0,0.0,20.0,5,0.12,2.56621,63.98,18.36949,1.94767,0,37.06894,0,0.61397,0.688
9,1,5.0,0,30.0,0,30.0,0.0,1.0,5,0.12,2.56621,64.93448,26.11489,1.94767,0,36.45,10,0.57695,0.848
9,1,7.0,0,28.0,0,28.0,0.0,0.0,6,0.06,0.36,62.06,17.91,1.95,0,34.9245,6,0.7402,13.18
9,1,7.0,0,28.0,0,28.0,0.0,10.0,6,0.06,0.36,58.69,18.23,1.96,0,35.7308,47,0.78068,11.36
3,1,7.5,0,30.0,4,30.0,40.0,0.0,5,0.06,0.3444,53.59,32.46,1.1,1,35.52,6,0.64438,23.17
3,1,7.5,0,30.0,4,30.0,40.0,0.0,5,0.06,0.52357,59.14902,22.72871,1.73399,1,36.07717,6,0.58322,14.5
3,1,7.5,0,30.0,4,30.0,40.0,2.54,5,0.06,0.5724,58.6187,22.71149,1.72699,1,35.97951,41,0.57909,12.31
3,1,7.5,0,30.0,4,30.0,40.0,2.54,5,0.06,0.5724,58.6187,22.71149,1.72699,1,35.97951,30,0.57909,20.84
9,0,3.71429,2,26.0,0,0.0,0.0,0.0,5,1.2,0.0,65.0,22.46154,1.69,0,37.96,6,0.375,26.82
9,0,3.71429,2,26.0,0,0.0,0.0,15.67944,5,1.2,0.0,65.0,24.96689,1.51,0,37.7,6,0.39375,21.65
9,0,3.71429,2,26.0,0,0.0,0.0,31.35889,5,1.2,0.0,65.0,26.48227,1.41,0,37.34,6,0.4125,7.31
9,0,3.71429,2,26.0,0,0.0,0.0,47.03833,5,1.2,0.0,65.0,29.88889,1.35,0,40.35,6,0.43125,5.47
9,1,17.5,0,35.0,5,35.0,30.0,0.0,5,0.06,0.38,67.6,17.4312,2.22446,1,38.775,6,0.4708,29.26
9,1,17.5,0,35.0,5,35.0,30.0,0.408,5,0.06,0.38,62.42,14.83745,2.06768,1,30.6791,38,0.40863,16.11
9,1,17.5,0,35.0,5,35.0,30.0,0.408,5,0.06,0.38,62.73,16.20429,2.16937,1,35.1531,8,0.41283,30.93
9,1,17.5,0,35.0,5,35.0,30.0,0.408,5,0.06,0.38,65.81,13.97506,2.27531,1,31.7976,38,0.43143,16.12
9,1,5.6,0,28.0,0,28.0,0.0,0.0,5,0.06,0.48,57.54093,19.25,2.13,0,38.5,6,0.53267,24.95
9,1,5.6,0,28.0,0,28.0,0.0,2.44988,5,0.06,0.48,55.20379,20.96213,2.14833,0,42.9042,17,0.53821,11.23
9,1,5.6,0,28.0,0,28.0,0.0,2.45195,5,0.06,0.48,55.20379,20.96213,2.15,0,42.9042,16,0.53821,22.85
9,1,5.6,0,28.0,0,28.0,0.0,4.35435,5,0.06,0.48,55.20379,20.86543,2.16833,0,43.0472,19,0.54251,26.71
8,1,5.66667,0,34.0,0,34.0,0.0,0.0,5,0.06,0.27211,65.0,11.37,2.216,0,37.144,6,0.58333,31.52
8,1,5.66667,0,34.0,0,34.0,0.0,10.0,5,0.06,0.26291,65.0,11.37,2.21292,0,36.997,47,0.60375,21.26
8,1,5.66667,0,34.0,0,34.0,0.0,10.28571,5,0.06,0.26265,65.0,11.37,2.21292,0,36.997,47,0.60433,16.22
8,1,5.66667,0,34.0,0,34.0,0.0,14.57143,5,0.06,0.2589,65.0,11.37,2.19768,0,37.2605,47,0.61308,14.88
9,1,5.83333,0,35.0,0,0.0,0.0,0.0,5,0.06,0.25,69.2,18.43351,2.03653,0,37.5404,6,0.33641,32.5
9,1,5.83333,0,35.0,0,0.0,0.0,8.24578,5,0.06,0.25,65.12895,18.43351,2.03653,0,37.5404,17,0.255,14.5
9,1,5.83333,0,35.0,0,0.0,0.0,4.0,5,0.06,0.25,66.63916,18.43351,2.03653,0,37.5404,47,0.33056,20.3
9,1,5.83333,0,35.0,0,0.0,0.0,8.24578,5,0.06,0.25,65.12895,18.43351,2.03653,0,37.5404,17,0.255,12.4
7,1,5.55556,0,50.0,0,34.6,0.0,0.0,5,0.1,0.312,60.0,31.0074,1.52371,0,42.64511,6,0.5,36.3
7,1,5.55556,0,50.0,0,34.6,0.0,2.0,5,0.1,0.262,60.0,30.0553,1.53458,0,44.7689,11,0.5,33.2
7,1,5.55556,0,50.0,0,28.8,0.0,4.0,5,0.1,0.272,60.0,30.3317,1.65677,0,44.20042,11,0.5,26.6
7,1,5.55556,0,50.0,0,33.8,0.0,6.0,5,0.1,0.272,60.0,30.5467,1.60643,0,45.91928,11,0.5,20.4
7,1,5.55556,0,50.0,0,34.0,0.0,8.0,5,0.1,0.18,60.0,31.0381,1.45139,0,43.86004,11,0.5,14.9
7,1,5.55556,0,50.0,0,24.2,0.0,10.0,5,0.1,0.125,60.0,30.7924,1.47792,0,42.02367,11,0.5,10.7
9,1,5.55556,0,50.0,0,50.0,0.0,0.0,5,0.1,0.3,55.0,25.0,2.084,0,52.1,6,0.54517,2.49315
9,1,5.55556,0,50.0,0,50.0,0.0,10.0,5,0.1,0.3,59.866,26.39749,1.94324,0,43.81105,6,0.4992,1.56621
9,1,5.55556,0,50.0,0,50.0,0.0,20.0,5,0.1,0.3,60.907,20.63798,2.17309,0,44.71416,6,0.46474,0.86301
9,1,5.55556,0,50.0,0,50.0,0.0,20.5,5,0.1,0.3,60.907,21.2284,2.17309,0,44.71416,6,0.46474,0.83105
9,1,5.55556,0,50.0,0,50.0,0.0,21.0,5,0.1,0.3,60.907,21.2284,2.17309,0,44.71416,6,0.46474,0.67656
9,1,5.55556,0,50.0,0,50.0,0.0,22.0,5,0.1,0.3,60.907,21.2284,2.17309,0,44.71416,6,0.46474,0.58067
8,1,4.85714,0,34.0,0,34.0,0.0,0.0,4,0.005,0.03367,67.6,33.5,1.46,0,42.91,6,0.55,8.7
8,1,4.85714,0,34.0,0,34.0,0.0,7.73359,4,0.005,0.03367,67.3,33.52459,1.22,0,40.9,29,0.43443,7.87
8,1,4.85714,0,34.0,0,34.0,0.0,7.12828,4,0.005,0.03367,66.8,33.1129,1.24,0,41.06,20,0.43159,6.6
8,1,4.85714,0,34.0,0,34.0,0.0,6.05043,4,0.005,0.03367,66.0,31.5303,1.32,0,41.62,29,0.56899,3.5
7,1,7.0,0,91.0,0,7.6,0.0,0.0,5,0.25,0.01275,60.0,20.0,1.99,0,39.8,6,0.46988,12.9281
7,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,6,0.47575,9.06668
7,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,15,0.47575,4.30644
7,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,6,0.47575,2.61249
7,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,6,0.47575,10.7421
7,1,5.27176,0,45.0626,0,22.82844,3.65844,4.66667,5,1.06823,0.67548,63.9703,21.47354,2.06181,0,39.47539,6,0.47575,7.72635
